a back answer,逆答え
shepherd check,羊飼いチェック
shepherd dog,牧羊犬
shepherd god,羊飼いの神
shepherd’s crook,羊飼いの杖
shepherd’s pie,シェパーズパイ
sheriff’s picture frame,保安官の写真立て
sherlock holmes,シャーロック・ホームズ
shetland wool,シェットランドウール
shield hand,シールドハンド
shield off,シールドオフ
shift gears,ギアチェンジ
shift key,シフトキー
shift off,シフトオフ
shift one’s ground,立場を変える
shift work,シフト勤務
shilling shocker,シリングショック
shin guard,すね当て
shine down,光を放つ
shine in,輝く
shine out,輝く
shine up to sb.,誰かを輝かせる。
ship a sea,船
ship biscuit,船のビスケット
ship breaker,船舶解体業者
ship broker,船舶ブローカー
ship canal,運河
ship carpenter,船大工
ship chandler,船舶用品店
ship chandlery,船舶用品店
ship fever,船熱
ship money,船のお金
ship of the desert,砂漠の船
ship of the line,戦列艦
ship of war,軍艦
ship off,船で出す
ship out,発送する
ship over,船で運ぶ
ship’s articles,船の備品
ship’s company,船員
ship’s husband,船の夫
ship’s log,船の航海日誌
ship’s paper,船の書類
ship’s papers,船舶書類
ship-owner,船主
shiping order,発送注文
shipping agent,運送業者
shipping articles,配送品
shipping bill,船荷証券
shipping clerk,発送係
shipping document,船積書類
shipping note,配送に関する注意事項
shipping office,船会社
shipping order,発送注文
shipping room,配送室
shire horse,シャイアホース
shock absorber,ショックアブソーバー
shock action,衝撃アクション
shock troops,突撃部隊
shock wave,衝撃波
shocking pink,ショッキングピンク
shoe buckle,靴のバックル
shoe leather,靴の革
shoe lifter,靴リフター
shoe the goose,ガチョウに靴を履かせる
shoe tree,シューツリー
shoot a line,ラインを打つ
shoot ahead,先へ撃つ
shoot at,撃つ
shoot away,撃ちまくれ
shoot down,撃ち落とす
shoot for,目標は
shoot forth,飛び出せ
shoot from the hip,即断即決
shoot off,撃ち出す
shoot one’s cookies,クッキーを撃つ
shoot one’s last bolt,最後の一発を撃つ
shoot one’s way,銃で撃つ
shoot out,銃撃戦
shoot out one’s lips,唇を突き出す
shoot straight,まっすぐ撃つ
shoot the breeze,雑談する
shoot the bull,ブルを撃つ
shoot the cat,猫を撃つ
shoot the crap,雑談
shoot up,撃ちまくる
shoot-out,銃撃戦
shooting angle,撮影角度
shooting box,シューティングボックス
shooting gallery,射撃場
shooting match,射撃競技
shooting range,射撃場
shooting schedule,撮影スケジュール
shooting star,流れ星
shooting stick,シューティングスティック
shooting war,銃撃戦
shop around,いろいろと調べてみよう
shop assistant,店員
shop card,ショップカード
shop drawing,ショップ図面
shop hours,営業時間
shop mall,ショッピングモール
shop steward,労働組合代表
shopping bag,ショッピングバッグ
shopping center,ショッピングセンター
shopping centre,ショッピングセンター
shopping mall,ショッピングモール
shore patrol,海岸警備隊
shore up,補強する
shore-based,陸上拠点
short trousers,ショートパンツ
short wave,短波
shortage of labour,労働力不足
shortage of manpower,人手不足
shortcut key,ショートカットキー
shortcut menu,ショートカットメニュー
shorten sail,帆を短くする
shortened form,短縮形
shorthand typist,速記タイピスト
shot down,撃墜された
shot effect,ショット効果
shot hole,ショットホール
shot put,砲丸投げ
shotgun wedding,駆け落ち結婚
shouder blade,ショルダーブレード
shoulder bag,ショルダーバッグ
shoulder belt,ショルダーベルト
shoulder blade,肩甲骨
shoulder board,肩章
shoulder bone,肩の骨
shoulder brace,肩サポーター
shoulder emblem,肩章
shoulder flash,ショルダーフラッシュ
shoulder joint,肩関節
shoulder knot,肩紐
shoulder loop,ショルダーストラップ
shoulder mark,肩の跡
shoulder pads,肩パッド
shoulder patch,肩章
shoulder pole,肩掛けポール
shoulder strap,ショルダーストラップ
shoulder to shoulder,肩を並べて
shout out,大声で叫ぶ
shout sb. down,誰かを怒鳴る
shout the odds,確率を叫ぶ
shouting distance,叫び声を発する距離
shove off,押し出す
shove sth. under the carpet,カーペットの下に何かを押し込む
show a clean pair of heels,きれいなハイヒールを見せる
show bill,ショービル
show biz,ショービジネス
show box,ショーボックス
show business,ショービジネス
show card,ショーカード
show date,ショーの日付
show deleted items,削除済みアイテムを表示する
show detail,詳細を表示
show fight,ショーファイト
show function keys,ファンクションキーを表示する
show guides,番組ガイド
show hidden files,隠しファイルを表示する
show him around,彼を案内してあげて
show indifference to sth.,何かに無関心を示す。
show itself,姿を現す
show jumping competition,障害飛越競技
show of hands,挙手
show off,見せびらかす
show one’s cards,手の内を明かす
show one’s colors,自分の本性を現す
show one’s face,顔を見せる
show one’s hand,手の内を明かす
show one’s head,頭を出す
show one’s horns,自分の角を見せる
show one’s ivories,自分の象牙を披露する
show one’s paces,自分の実力を示す
show one’s respect for,敬意を示す
show one’s teeth,歯を見せる
show oneself,姿を現す
show sb. the door,誰かにドアを見せる
show sb. the way,誰かに道を示す
show scroll bars,スクロールバーを表示する
show sth. the fire,火を見せる
show system files,システムファイルを表示する
show temper,気性を示す
show the cloven foot,二つに割れた足を見せてください
show the hoof,蹄を見せる
show the white feather,白い羽を見せる
show topics,トピックを表示
show trial,裁判を見せる
show up,現れる
show value,価値を示す
show window,ショーウィンドウ
shower bath,シャワーバス
shower cap,シャワーキャップ
shrink into oneself,自分の中に縮こまる
shrinking violet,内気なスミレ
shrove monday,懺悔の月曜日
shrove tuesday,懺悔の火曜日
shrug off,肩をすくめる
shuck off,殻をむく
shuck out of,殻をむく
shuffle along,よろよろと進む
shuffle into,シャッフルイン
shuffle off this mortal coil,この世の苦しみから解放される
shuffle out of,シャッフルして
shuffle the cards,カードをシャッフルする
shuffle through,シャッフルスルー
shuffle up,シャッフルアップ
shui-bian,水辺
shut away,閉じ込める
shut down,シャットダウン
shut down on,シャットダウン
shut in,閉じ込められる
shut off,電源を切る
shut one’s eyes to,目を閉じて
shut one’s pan,鍋を閉じる
shut out,締め出す
shut the books,帳簿を閉じる
shut to,閉鎖
shut up,黙れ
shut up shop,店を閉める
shut-down,シャットダウン
shutter release,シャッターレリーズ
shutter speed,シャッタースピード
shuttle bus,シャトルバス
shuttle cock,シャトルコック
shuttle race,シャトルレース
shuttle train,シャトル列車
shy away,遠慮する
shy from,恥ずかしがり屋
shy off,遠慮する
siamese twins,シャム双生児
sick as a dog,ひどく具合が悪い
sick bay,医務室
sick benefit,病気手当
sick berth,病室
sick call,病欠の連絡
sick headache,ひどい頭痛
sick into death,死に至るほどの重病
sick leave,病気休暇
sick list,病欠者リスト
sick parade,病人のパレード
sick pay,病気休暇手当
sick person,病人
sick to death of,死ぬほどうんざりしている
sick up,病気
sicken of,病気になる
sickle cell anemia,鎌状赤血球貧血
side arms,サイドアーム
side bet,サイドベット
side by side,並んで
side chapel,側礼拝堂
side dish,副菜
side door,側面ドア
side drum,サイドドラム
side effect,副作用
side elevation,側面図
side entrance,側面入口
side face,側面
side horse,サイドホース
side issue,サイドイシュー
side meat,副肉
side of the road,道路脇
side of the verge,崖っぷちの側
side pocket,サイドポケット
side road,脇道
side show,サイドショー
side step,横歩き
side table,サイドテーブル
side view,側面図
side wind,横風
side-by-side,並べて
side-effect,副作用
side-effects,副作用
side-project,サイドプロジェクト
side-scrolling,横スクロール
side-to-side,左右に
side-valve,サイドバルブ
sidecar body,サイドカー本体
sidecar machine,サイドカーマシン
sidecar wheel,サイドカーのホイール
sidereal day,恒星日
sidereal year,恒星年
sidewalk artist,歩道アーティスト
siege artillery,攻城砲
siege economy,包囲経済
siege gun,攻城砲
siege money,包囲戦資金
siege train,包囲列車
siemens-schuckert,シーメンス・シュッケルト
sierra leone,シエラレオネ
sierra madre,シエラマドレ
sierra nevada,シエラネバダ
sieve cells,篩管細胞
sieve plate,ふるい板
sieve pore,ふるい孔
sift through,ふるいにかける
sigh away,ため息をつく
sigh for,ため息をつく
sigh out,ため息をつく
sight bill,視力標識
sight bill draft,目視請求書草案
sight draft,目視喫水
sight seeing bus,観光バス
sigmoid flexure,S状結腸屈曲
sign and countersign,署名と副署
sign away,サインアウト
sign for,サインする
sign in,サインイン
sign language,手話
sign manual,サインマニュアル
sign of inequality,不平等の兆候
sign of the cross,十字架の印
sign off,サインオフ
sign on,サインオン
sign on the dotted line,点線上に署名する
sign out,サインアウト
sign painter,看板画家
sign up,サインアップ
sign-off,サインオフ
sign-on,サインオン
signal book,信号書
signal box,信号所
signal code,信号コード
signal corps,通信隊
signal fire,信号弾
signal flag,信号旗
signal flare,信号弾
signal generator,信号発生器
signal gun,信号銃
signal lamp,信号灯
signal rocket,信号ロケット
signal station,信号所
signal tower,信号塔
signal-to-noise,信号対雑音比
signature file,署名ファイル
signature tune,テーマソング
signet ring,シグネットリング
signing messages,署名メッセージ
signs and wonders,しるしと不思議
signs of the zodiac,星座
silence gives consent.,沈黙は同意を意味する。
silence is gold,沈黙は金なり
silent as the grave,墓場のように静か
silent cinema,サイレント映画
silent film,無声映画
silent films,無声映画
silent partner,サイレントパートナー
silent picture,サイレント映画
silent system,サイレントシステム
silent treatment,沈黙による対応
silent vote,無言の投票
silica gel,シリカゲル
silicic acid,ケイ酸
silicon carbide,炭化ケイ素
silicon dioxide,二酸化ケイ素
silicotungstic acid,ケイタングステン酸
silk cotton,シルクコットン
silk floss,絹糸
silk hat,シルクハット
silk mercer,シルクマーサー
silk mill,絹織物工場
silk painting,絹絵
silk road,シルクロード
silk stockings,シルクのストッキング
silkworm moth,カイコガ
silly billy,おバカなビリー
silly season,おかしな季節
silt up,泥が溜まる
silver age,銀の時代
silver anniversary,銀婚式
silver birch,シラカバ
silver bromide,臭化銀
silver carp,銀色の鯉
silver certificate,銀証明書
silver chain,シルバーチェーン
silver foil,銀箔
silver fox,シルバーフォックス
silver gray,シルバーグレー
silver iodide,ヨウ化銀
silver jubilee,銀婚式
silver leaf,銀箔
silver nitrate,硝酸銀
silver paper,銀紙
silver plate,銀メッキ
silver point,シルバーポイント
silver print,銀塩プリント
silver salt,銀塩
silver sand,銀砂
silver screen,銀幕
silver spoon,銀のスプーン
silver standard,銀基準
silver wedding,銀婚式
silver-gilt,銀メッキ
simhath torah,シムハト・トーラー
similar-looking,似たような外観
similar-sounding,似たような音の
similarity sign,類似性を示す記号
simmer down,落ち着く
simmer with,弱火で煮込む
simple equation,簡単な方程式
simple file transfer protocol,シンプルなファイル転送プロトコル
simple fraction,簡単な分数
simple fracture,単純骨折
simple html editor,シンプルなHTMLエディタ
simple interest,単利
simple internet provider,シンプルなインターネットプロバイダー
simple machine,単純機械
simple mail transport protocol,簡易郵便輸送プロトコル
simple motion,単純な動作
simple network time protocol,シンプルネットワークタイムプロトコル
simple sentence,単文
simple-minded,単純な
simplex circuit,シンプレックス回路
simplex system,単体システム
simplex telegraphy,シンプレックス電信
simplified character,簡体字
simulated pearl,模造真珠
simultaneous equations,連立方程式
sin against,罪に対して
sin money,罪のお金
sin offering,罪の供え物
sine die,サイン・ディエ
sine qua non,必要不可欠なもの
sine wave,正弦波
sing another song,別の歌を歌う
sing on,歌い続けよう
sing one’s own praises,自分の功績を称える
sing out,歌い出す
sing sb.‘s praises,誰かを褒め称える
sing small,小さく歌う
sing the blues,ブルースを歌う
sing the same song,同じ歌を歌う
sing up,サインアップする
sing-along,一緒に歌おう
sing-off,歌合戦
singapore-based,シンガポールを拠点とする
singe one’s feathers,羽を焦がす
singe one’s wings,翼を焦がす
singe sb.‘s beard,誰かのあごひげを焦がす
singed cat,焦げた猫
singer-songwriter,シンガーソングライター
singer-songwriters,シンガーソングライター
sink down,沈む
sink in,沈む
sink into absurdity,不条理に陥る
sink into the mind,心に染み込む
sink money,無駄遣い
sink or swim,溺れるか泳ぐか
sink the shop,店を沈める
sinking fund,減債基金
sinn fein,シン・フェイン
sino-british,中英
sino-french,中仏
sino-indian,中国・インド
sino-japanese,日中関係
sino-soviet,中ソ
sino-tibetan,シナ・チベット語
sino-vietnamese,中越
sint-truiden,シント・トルイデン
sip up,すすり上げる
siphon off,吸い上げる
sister of one’s sister-in-law,義理の姉の姉
sister-in-law,義理の姉妹
sisters of mercy,慈悲の修道女会
sistine chapel,システィーナ礼拝堂
sit about,座って
sit around,座って過ごす
sit at the stern,船尾に座る
sit back,ゆったりと座ってください
sit by,座って
sit crosslegged,あぐらをかいて座る
sit crosslegged,あぐらをかいて座る
sit down,座って下さい
sit down before,座る前に
sit down under,座る
sit heavy on,重く座る
sit in,座り込み
sit in on,座る
sit light on,軽く座る
sit loose,リラックスして座る
sit on,座る
sit on the fence,どちらにもつかない
sit on the lid,蓋の上に座る
sit out,座る
sit pretty,いい感じ
sit through,座って
sit tight,じっと待っていてください
sit under,座る
sit up,座る
sit up and take notice,目を覚まして注目しよう
sit up late,夜更かしする
sit with,一緒に座る
sit-down,座って下さい
sit-down strike,座り込みストライキ
sit-in,座り込み
sit-ins,座り込み
site-specific,サイト固有の
sitting duck,格好の標的
sitting room,リビングルーム
siwalik hills,シワリク丘陵
siwalik range,シワリク山脈
sixteenth note,16分音符
sixth column,第六列
sixth sense,第六感
sixth-form,高校最終学年
sixth-largest,6番目に大きい
sixth-place,6位
sixth-round,第6ラウンド
sixty-four-dollar question,64ドルの質問
sixty-fourth note,64番目のメモ
size and orientation,サイズと向き
size down,ワンサイズ下げる
size for,サイズ
size picture,サイズ画像
size stick,サイズスティック
size up,ワンサイズ上
sizing grid,サイズグリッド
skate over,スケートオーバー
skate over thin ice,薄氷の上をスケートする
skating rink,スケートリンク
skeleton army,骸骨軍団
skeleton at the feast,宴会での骸骨
skeleton key,スケルトンキー
skeleton map,骨格図
sketch block,スケッチブロック
sketch clock,スケッチクロック
sketch in,スケッチする
sketch map,略図
sketch out,スケッチする
sketch plan,スケッチプラン
sketching party,スケッチパーティー
skew at,歪む
skew bridge,斜橋
ski boot,スキーブーツ
ski jump,スキージャンプ
ski jumping competition,スキージャンプ競技
ski pants,スキーパンツ
ski pole,スキーポール
ski run,スキーコース
ski stick,スキーのストック
ski suit,スキーウェア
ski tow,スキーリフト
ski troops,スキー部隊
skid row,スキッド・ロウ
skill in,スキル
skilled worker,熟練労働者
skim milk,スキムミルク
skim over,ざっと目を通す
skim through,ざっと目を通す
skimmed milk,スキムミルク
skimming dish,スキミング皿
skin a flea for its hide,ノミの皮を剥ぐ
skin a flint,火打ち石の皮
skin alive,スキン・アライブ
skin and bone,皮膚と骨
skin and bones,骨と皮だけ
skin disease,皮膚疾患
skin dive,スキンダイビング
skin flick,スキンフリック
skin game,スキンゲーム
skin grafting,皮膚移植
skin milk,スキンミルク
skin resistance,皮膚抵抗
skin test,皮膚テスト
skip bail,逃亡保釈
skip blanks,空白をスキップ
skip classes,授業をサボる
skip over,飛ばす
skip tracer,スキップトレーサー
skipping rope,縄跳び
skirt dance,スカートダンス
skirt the coast,海岸沿い
skirting board,幅木
skittle alley,スキットル場
skittle ball,スキットルボール
skittle out,スキットルアウト
skull cracker,スカルクラッカー
skull session,頭蓋骨セッション
sky blue,スカイブルー
sky diving,スカイダイビング
sky pilot,スカイパイロット
sky sign,スカイサイン
sky truck,スカイトラック
sky wave,スカイウェーブ
skye terrier,スカイテリア
slack off,怠ける
slack suit,スラックススーツ
slack tide,潮止まり
slack up,緩める
slack water,緩流
slacken one’s gait,歩調を緩める
slag heap,鉱滓の山
slag tap,スラグタップ
slag wool,スラグウール
slam off,ドスンと落ちる
slam the door,ドアをバタンと閉める
slam the door in sb.‘s face,誰かの目の前でドアをバタンと閉める
slap around,叩きつける
slap down,叩き落とす
slap one’s wrist,軽く叱責する
slap sb. in the face,誰かの顔を平手打ちする
slap sb. on the back,誰かの背中を叩く
slap together,叩き合わせる
slash-and-burn,焼き畑農業
slate pencil,スレートペンシル
slave driver,奴隷監督
slave ship,奴隷船
slave station,スレーブステーション
slave trade,奴隷貿易
slave trader,奴隷商人
sledge hammer,大ハンマー
sleep around,複数の人と関係を持つ
sleep in,寝坊する
sleep like a log,ぐっすり眠る
sleep like a top,トップのように眠る
sleep on,寝る
sleep on a problem,問題を一晩寝て考える
sleep on a question,質問について一晩寝る
sleep on both ears,両耳で寝る
sleep on it,一晩考えてみる
sleep out,野宿
sleep over,お泊まり会
sleep rough,野宿
sleeper with couchettes,寝台車（簡易ベッド付き）
sleeping bag,寝袋
sleeping beauty,眠れる森の美女
sleeping car,寝台車
sleeping carriage,寝台車
sleeping draught,睡眠薬
sleeping partner,寝る相手
sleeping pill,睡眠薬
sleeping potion,睡眠薬
sleeping powder,眠り薬
sleeping rent,宿泊費
sleeping sack,寝袋
sleeping sickness,睡眠病
sleeve emblem,袖のエンブレム
sleeve link,スリーブリンク
sleeve target,スリーブターゲット
slew around,ぐるぐる回った
slice from,スライスから
slice of bread,パン一切れ
slice off,切り取る
slice up,スライスして
sliced meat,スライスした肉
slick chick,ずる賢い女の子
slick up,滑らかにする
slicked up,ツルツルに磨かれた
slide fastener,スライドファスナー
slide into,滑り込む
slide over,スライドして
slide projector,スライドプロジェクター
slide rule,計算尺
slide show,スライドショー
slide valve,スライドバルブ
sliding axle,スライド式車軸
sliding bearing,滑り軸受
sliding board,スライドボード
sliding door,引き戸
sliding gear,スライドギア
sliding roof,スライド式ルーフ
sliding rule,スライド定規
sliding scale,スライド式スケール
slight heat,わずかな熱
slight illness,軽度の病気
slim down,スリムになる
slime mold,粘菌
slime pit,ぬめり穴
sling over,スリングオーバー
slip a cog,歯車を滑らせる
slip carriage,スリップキャリッジ
slip cover,スリップカバー
slip down,滑り落ちる
slip into,滑り込む
slip noose,スリップノックロープ
slip one’s memory,記憶が曖昧になる
slip one’s wind,息を漏らす
slip over,スリッポン
slip rail,スリップレール
slip ring,スリップリング
slip road,ランプウェイ
slip sheet,スリップシート
slip something on,何かをさっと身につける
slip sth. over,何かを被せる
slip stitch,すべり目
slip the collar,襟を滑り込ませる
slip the leash,リードを外す
slip through sb.‘s fingers,誰かの指の間からすり抜ける
slip up,ミスをする
slip-on shoe,スリッポンシューズ
slippery as an eel,ウナギのように滑りやすい
slippery road surface,滑りやすい路面
slit trench,塹壕
sloan-kettering,スローン・ケタリング
sloop-of-war,スループ型軍艦
slop basin,汚水槽
slop over,べちゃべちゃ
slop pail,汚物バケツ
slope away,傾斜して
slope off,傾斜を緩める
slot machine,スロットマシン
slot man,スロットマン
sloth bear,ナマケグマ
sloth monkey,ナマケザル
slouch hat,スローチハット
slough off,脱ぎ捨てる
slough over,スラウオーバー
slough up,スラウアップ
slow and steady,ゆっくりと着実に
slow coach,鈍行列車
slow down,減速する
slow match,スローマッチ
slow motion,スローモーション
slow time,スロータイム
slow train,鈍行列車
slow up,ゆっくり
slow-growing,成長が遅い
slow-motion,スローモーション
slow-moving,動きが遅い
slow-paced,ゆっくりとしたペース
slugging average,長打率
sluice gate,水門
sluice valve,水門弁
slumber away,眠りに落ちる
slush fund,裏金
sm card,SMカード
sm-liiga,SMリーガ
smack down,叱責する
smaller-scale,小規模
smart aleck,生意気な奴
smart card,スマートカード
smart for,スマートな
smart from,スマートな
smart money,賢いお金
smart set,スマートセット
smarted up,賢くなった
smarten up,身なりを整える
smash hit,大ヒット
smash in,叩きつける
smash up,ぶち壊す
smear word,中傷の言葉
smell a rat,怪しい
smell about,匂いがする
smell of shop,店の匂い
smell of the stable,厩舎の匂い
smell out,匂いを消す
smell up,匂いがする
smelling bottle,香りのボトル
smelling salts,嗅ぎ薬
smile on,笑顔で
smite hip and thigh,腰と太ももを打つ
smite under the fifth rib,第5肋骨の下を打つ
smite with the tongue,舌で打ちのめす
smithfield ham,スミスフィールドハム
smithsonian institution,スミソニアン協会
smoke ball,煙玉
smoke bomb,発煙弾
smoke helmet,スモークヘルメット
smoke like a chimney,煙突のように煙を出す
smoke out,煙を出す
smoke sb.‘s coat,誰かのコートを煙で燻す
smoke screen,煙幕
smoke the calumet together,一緒にカルメットを吸おう
smoke the pipe of peace,平和のパイプを吸う
smoke-free,禁煙
smoking car,喫煙車
smoking cigarette end,タバコを吸う終わり
smoking jacket,スモーキングジャケット
smoking room,喫煙室
smoky gray,スモーキーグレー
smooth down,滑らかに
smooth out,滑らかにする
smooth over,滑らかにする
smooth things,スムーズなもの
smoothed line,滑らかな線
smoothing iron,アイロン
smuggle in,密輸する
smuggle out,密輸する
smuggle through,密輸する
smyth sewed,スミスが縫った
snack bar,スナックバー
snack table,スナックテーブル
snail mail,普通郵便
snake charmer,ヘビ使い
snake eyes,一のゾロ目
snake fence,ヘビのフェンス
snake oil,蛇油
snake pit,ヘビの巣
snake-like,蛇のような
snap at,スナップする
snap back,スナップバック
snap bug,カメムシ
snap cap,スナップキャップ
snap fastener,スナップファスナー
snap link,スナップリンク
snap lock,スナップロック
snap one’s fingers at,指を鳴らす
snap sb. up,スナップ sb.アップ
snap shooter,スナップシューター
snap shot,スナップショット
snap to grid,グリッドにスナップ
snapping beetle,カミキリムシ
snare drum,スネアドラム
snatch at,スナッチ
snatch up,奪い取る
sneak attack,奇襲攻撃
sneak out of,こっそり抜け出す
sneak thief,こっそり泥棒
sneer at,嘲笑する
sneeze into a basket,かごの中にくしゃみをする
snooze away,うたた寝
snoqualmie falls,スノクォルミー滝
snore away,いびきをかいて
snout beetle,鼻甲虫
snout-vent,鼻先肛門
snow bear,雪熊
snow blindness,雪目
snow fence,雪よけ柵
snow goggles,スノーゴーグル
snow goose,シロガモ
snow leopard,ユキヒョウ
snow line,雪線
snow plant,スノープラント
snow tire,スノータイヤ
snow train,スノートレイン
snow under,雪の下に
snow water,雪解け水
snow-capped,雪をかぶった
snow-covered,雪に覆われた
snowy white,雪のように白い
snub nose,鼻が低い
snuff at,嗅ぎタバコ
snuff color,嗅ぎタバコの色
snuff colour,嗅ぎタバコの色
snuff out,消し去る
so as,そのため
so as to,そうすれば
so far,これまでのところ
so far as,これまでは
so far as i know,私の知る限りでは
so far,so good.,ここまでは順調ですね。
so it does,そうなんです
so long,さよなら
so long as,限り
so much as,非常に
so that,となることによって
so the world wags.,それで世界は揺れ動く。
so you say,つまり、あなたはこう言う
so-called,いわゆる
so-named,そう名付けられた
soak in,浸す
soak into,染み込む
soak out,浸す
soak up,吸収する
soak up the sun,日光浴をする
soap bubble,シャボン玉
soap dish,石鹸置き
soap flakes,石鹸フレーク
soap opera,ソープオペラ
soap powder,石鹸
soap works,石鹸は効く
soapbox oratory,演説台での演説
sob out,すすり泣きながら
sob story,悲しい話
sober down,しらふになる
sober up,酔いを覚ます
soccer-specific,サッカー特有の
social accout,ソーシャルアカウント
social charges,社会的な負担
social class,社会階級
social climber,社交界の成り上がり者
social credit,社会信用
social dance,ソーシャルダンス
social democracy,社会民主主義
social disease,社会病
social evil,社会悪
social insurance,社会保険
social ladder,社会的地位
social psychology,社会心理学
social register,社会登録簿
social science,社会科学
social security,社会保障
social service,社会福祉
social studies,社会科
social wasp,社会的なスズメバチ
social welfare,社会福祉
social work,ソーシャルワーク
social worker,ソーシャルワーカー
social-democratic,社会民主主義
socialist economy,社会主義経済
socialist party,社会党
socialized medicine,社会化された医療
society column,社会コラム
socio-cultural,社会文化的
socio-economic,社会経済的
socio-political,社会政治的
sock in,靴下
sock it to sb.,誰かを殴る。
socket wrench,ソケットレンチ
socratic method,ソクラテス式問答法
soda biscuit,ソーダビスケット
soda cracker,ソーダクラッカー
soda fountain,ソーダファウンテン
soda pop,炭酸飲料
soda water,ソーダ水
sodium bicarbonate,炭酸水素ナトリウム
sodium carbonate,炭酸ナトリウム
sodium chloride,塩化ナトリウム
sodium cyanide,シアン化ナトリウム
sodium fluoride,フッ化ナトリウム
sodium hydroxide,水酸化ナトリウム
sodium hyposulfite,次亜硫酸ナトリウム
sodium lamp,ナトリウムランプ
sodium monoxide,一酸化ナトリウム
sodium nitrate,硝酸ナトリウム
sodium oxide,酸化ナトリウム
sodium silicate,ケイ酸ナトリウム
sodium sulfate,硫酸ナトリウム
sodium sulfite,亜硫酸ナトリウム
sodium thiosulfate,チオ硫酸ナトリウム
sodium-vapor lamp,ナトリウム蒸気ランプ
soenda islands,ソエンダ諸島
sofa bed,ソファベッド
soft coal,軟炭
soft currency,ソフトカレンシー
soft detergent,中性洗剤
soft drink,ソフトドリンク
soft felt hat,柔らかいフェルト帽
soft fire makes sweet malt.,弱火でじっくりと火を焚くと、甘い麦芽が生まれる。
soft font,ソフトフォント
soft glances,優しい視線
soft goods,ソフトグッズ
soft iron,ソフトアイロン
soft loan,ソフトローン
soft money,ソフトマネー
soft palate,軟口蓋
soft pedal,ソフトペダル
soft sawder,ソフトソーダー
soft sell,ソフトセールス
soft sex,ソフトセックス
soft shoulder,ソフトショルダー
soft snap,ソフトスナップ
soft soap,ソフトソープ
soft solder,軟質はんだ
soft spot,柔らかい部分
soft steel,軟鋼
soft tommy,ソフトトミー
soft touch,ソフトタッチ
soft water,軟水
soft-bodied,柔らかい体
soft-boiled eggs,半熟卵
soft-spoken,物静かな
soften up,柔らかくする
software engineer,ソフトウェアエンジニア
software newsgroup,ソフトウェアニュースグループ
software-based,ソフトウェアベース
soil conservation,土壌保全
soil dressing,土壌改良
soil improvement,土壌改良
soil pipe,排水管
solar apex,太陽の頂点
solar battery,太陽電池
solar calendar,太陽暦
solar cell,太陽電池
solar corona,太陽コロナ
solar day,太陽日
solar eclipse,日食
solar furnace,太陽炉
solar month,太陽月
solar plexus,太陽神経叢
solar system,太陽系
solar telescope,太陽望遠鏡
solar year,太陽年
solar-powered,太陽光発電
sold-out,完売
soldering iron,はんだごて
soldier crab,ヨタカガニ
soldier of fortune,傭兵
soldier’s medal,兵士の勲章
soldiers’ home,兵士の家
sole leather,ソールレザー
sole plate,底板
solicitor general,法務長官
solicitor-general,法務長官
solid angle,立体角
solid color,無地
solid geometry,立体幾何学
solid ivory,純象牙
solid matter,固体物質
solid rocket,ソリッドロケット
solid-fuel,固体燃料
solid-state,固体
solid-state physics,固体物理学
solidifying point,凝固点
solitary confinement,独房監禁
solitary gland,単腺
soluble glass,溶解性ガラス
solway firth,ソルウェイ湾
some day,いつか
some day or other,いつか
some extent,ある程度
some or other,どれか
some other time,また別の機会に
some time,いつか
some time or other,いつか
somebody else,他の誰か
somehow or other,何らかの形で
someone else,他の誰か
something else,何か別のもの
something of,何か
something of the kind,似たようなもの
something or other,何か
something the matter,何か問題
something to write home about,特筆すべきこと
somewhere around,あたり
somogyi unit,ソモギー単位
son and heir,息子であり後継者
son of a gun,なんてこった
son of god,神の子
son of toil,労働の息子
son-in-law,義理の息子
song sparrow,ウタスズメ
song thrush,ウタツグミ
songwriting,作詞作曲
songhua river,松花川
sonic barrier,音速の壁
sonic boom,ソニックブーム
sonic mine,ソニックマイン
sons-in-law,婿
soon ripe and soon rotten.,すぐに熟し、すぐに腐る。
soon-to-be,まもなく
sooner or later,遅かれ早かれ
sop up,吸い取る
sorbic acid,ソルビン酸
sore throat,喉の痛み
soroptimist club,ソロプチミストクラブ
sort ascending,昇順
sort bey,ソートベイ
sort by date,日付順に並べ替える
sort by name,名前で並べ替え
sort by priority,優先度順に並べ替える
sort by sender,送信者順に並べ替え
sort by size,サイズ順に並べ替え
sort by subject,科目別に並べ替える
sort by type,タイプで並べ替え
sort of,まあ、そんな感じ。
sort order,ソート順
sort out,整理する
sort program,ソートプログラム
sort routine,ソートルーチン
sorting code,ソートコード
sorting office,仕分け所
sorting table,ソートテーブル
sotto voce,ささやくように
sought-after,引っ張りだこ
soul brother,ソウルブラザー
soul kiss,魂のキス
soul mate,ソウルメイト
soul music,ソウルミュージック
soul sister,ソウルシスター
sound arrester,防音装置
sound articulation,発音
sound barrier,音の壁
sound blaster,サウンドブラスター
sound box,サウンドボックス
sound camera,サウンドカメラ
sound code,サウンドコード
sound code file,サウンドコードファイル
sound controls,サウンドコントロール
sound detector,音検出器
sound driver,サウンドドライバー
sound effects,効果音
sound engineer,サウンドエンジニア
sound field,音場
sound file,音声ファイル
sound film,音声映画
sound hole,サウンドホール
sound import,サウンドインポート
sound in wind and limb,風と枝の音
sound man,音響技師
sound motion picture,音声付き映画
sound note,音符
