11 Downing Street,唐寧街11
trouble at mill,在磨坊的麻煩
trouble in paradise,天堂的麻煩
truck in,卡車
truck out,離開
true blue,真誠
true colours,真實的本質
true stripes,真實條紋
true to form,如常
true up,使一致
truly yours,誠摯地
Trump bump,川普效應
Trump slump,川普的支持率下降
trump up,捏造
trundle along,慢慢移動
truss up,加固
trust me bro,相信我，兄弟
trust someone to,信任某人
trust the process,相信過程
truth be told,事實上
truth is stranger than fiction,事實比虛構更離奇
truth will out,真相會大白
try as one may,儘管如此
try as one might,儘管
try it on,嘗試
try on,試穿
try on for size,試驗
try one's hand,嘗試
try one's hand at something,嘗試
try one's luck,嘗試運氣
try out,嘗試
try the veal,嘗試羊肉
tua culpa,你的錯
tube steak,管狀牛肉
tuck away,收起來
tuck in,收好
tuck into,塞進
tuck out,收起
tuck up,收起
tucker out,耗盡
tug at,拉扯
tug of war,拔河
tug one's forelock,懊惱
tulip mania,鬱金香狂熱
tumble down,倒塌
tumble in,翻滾
tumble on,翻滾
tumble to,跌倒
tumble together,混在一起
tumble up,翻滾
tune down,降低
tune in,收看
tune out,忽略
tune up,調整
tuned in,關注
tuppence worth,一英鎊
turd in the punchbowl,酒杯中的糞便
turf out,踢出
turf war,草地戰爭
turkey shoot,一舉擊斃
turn a blind eye,視而不見
turn a blind eye to something,對某事視而不見
turn a corner,轉彎
turn a deaf ear,置之不理
turn a hair,梳頭髮
turn a phrase,轉述
turn a profit,獲利
turn a setback into a comeback,將挫折轉化為成功
turn a trick,謀劃
turn about,改變方向
turn about is fair play,公平競爭
turn against,反對
turn around,轉身
turn aside,偏離
turn away,轉身
turn back,返回
turn back the clock,倒流時間
turn down,關閉
turn forth,出來
turn heads,引起注意
turn in,提交
turn in on oneself,自食其成
turn in one's grave,在墓中悔悟
turn into,變成
turn into a pumpkin,變成南瓜
turn loose,放開
turn of events,突發事件
turn of speed,加速
turn of the screw,螺絲
turn off,關閉
turn on,開啟
turn on its head,反過來
turn on one's heel,離開
turn one's coat,變節
turn one's color,變色
turn one's nose up,嫌棄
turn or burn,轉或燒
turn out,最終結果
turn over,翻過
turn over a new leaf,重新開始
turn round,轉身
turn someone's head,使人心動
turn tail,逃跑
turn the air blue,讓空氣變藍
turn the boat,轉動船
turn the corner,轉彎
turn the other cheek,寬恕他人
turn the page,翻頁
turn the scale,稱重
turn the screw,擰
turn the tables,顛覆局面
turn the tide,改變趨勢
turn to,轉向
turn to dust,化為灰燼
turn to good account,充分利用
turn together,一起轉
turn turtle,轉彎
turn two,轉動
turn under,翻轉
turn up,調高
turn up for the book,參加讀書會
turn up one's nose,嫌棄
turn up the heat,提高溫度
turn up the volume on,調大音量
turn up trumps,取得勝利
turn upon,打開
turn upside down,倒過來
turnabout is fair play,報復是公平的手段
turned of,關閉
turning point,轉捩點
turtle down,退後
turtle head,烏龜頭
turtle up,向上移動
twat about,關於
twat around,隨意行動
tweak on,調整
tweak out,調整
twelve-ounce curls,十二盎司捲髮
twenty bucks is twenty bucks,二十美元就是二十美元
twenty dollars is twenty dollars,二十美元是二十美元
twenty to the dozen,二十⁴
twenty whole dollars,二十美元
twenty winks,小睡
twenty-twenty hindsight,事後檢視
twiddle one's thumbs,漫無目的地閒晃
twilight industry,黃昏產業
twilight years,晚年
twilight zone,黃昏區
twinkle in one's daddy's eye,在父親的眼中閃爍
twinkle in one's father's eye,在父親的眼中閃爍
twinkle out,閃爍
twist and turn,彎曲和轉動
twist in the wind,風中變化的
twist of fate,命運的轉折
twist up,扭曲
twists and turns,彎曲和轉彎
two a penny,一文錢
two birds with one stone,一舉兩得
two birds/one stone,一舉兩得
two birds—one stone,一舉兩得
two bob,兩英鎊
two can play at that game,兩個也可以玩
two can play at this game,兩個都可以玩
two can play that game,兩個也可以玩
two can play this game,兩個也可以玩
two cents,一角
two for two,買一送一
two ha'pennies for a penny,一美分換兩美分
two heads are better than one,集思廣益
two left feet,笨手笨腳
two left hands,雙手難合
two penn'orth,兩美分
two pennies to rub together,用硬幣互相摩擦
two pennies' worth,一美分
two plus two equals five,兩加兩等於五
two sides of the same coin,同一硬幣的兩面
two slips of latinum,兩張拉丁
two steps ahead,領先兩步
two tears in a bucket,一個水桶裡兩個眼淚
two thumbs up,兩隻拇指讚賞
two up,兩倍
two upon ten,兩比十
two wrongs don't make a right,錯誤不能創造正確
two wrongs make a right,錯誤相抵可以彌正
two's company and three is none,兩人同在，三人孤獨
two-fisted drinker,嗜酒如命
two-forty on a plank road,在木板路上的兩點四
two-hit wonder,一時成名
two-second rule,兩秒規則
two-way street,雙向的
type out,打字
type up,整理成文字
tyre kicker,輪胎推車
ugly American,美國佬
ugly customer,令人不快的顧客
ugly duckling,醜小鴨
ugly up,變醜
ultra vires,超越權限
unable to can,無法
under a cloud,陰影籠罩下
under a lucky star,在好運之星下
under a spell,被魔法控制
under arrest,被逮捕
under canvas,在帳篷裡
under center,中心
under construction,正在施工
under control,在控制之中
under correction,更正
under cover,在掩護下
under cover of darkness,在黑暗中
under cover of night,在黑夜中
under erasure,被刪除
under fire,受到批評
under glass,在玻璃罩中
under hack,在...之下
under hatches,在艙蓋下
under lock and key,嚴鎖保護
under no circumstance,無論何種情況
under no circumstances,無論如何
under oath,宣誓
under one roof,在同一棟建築物裡
under one's arm,在自己手臂上
under one's belt,已完成
under one's breath,低聲說
under one's feet,腳下
under one's hand,在某人手中
under one's hat,私下裡
under one's own steam,自行運作
under one's thumb,在某人的控制下
under one's very eyes,在某人的眼前
under one's very nose,在某人眼前
under one's wing,庇護之下
under pain of,以…為代價
under par,比標準分數低
under protest,抗議
under sail,乘風
under seal,密封狀態
under someone's nose,在某人的鼻孔旁
under someone's roof,在某人的家中
under the auspices of,在…的贊助下
under the bootheel of,在靴子的跟下方
under the breath,低聲
under the carpet,在地毯下面
under the cosh,在cosh函數下
under the counter,在櫃檯下
under the covers,在被子下面
under the fist of,在拳頭之下
under the gun,處於緊迫境地
under the hammer,在拍賣會上
under the hood,內部
under the illusion,在虛假中
under the impression,誤以為
under the influence,在…影響下
under the influence of,在…影響下
under the jail,在監獄裡
under the knife,在手術台上
under the lee,陰影處
under the mahogany,在紅木下
under the microscope,在顯微鏡下
under the pump,處於壓力之下
under the radar,不為人知的
under the rose,在玫瑰下
under the rug,在地毯下
under the rule,在…的規定下
under the saya,在沙雅
under the sheets,在床墊下面
under the stars,在星空下
under the sun,在陽光下
under the surface,在表面之下
under the table,在桌子底下
under the terms of,根據
under the weather,身體不適
under the weight of,在…的壓力下
under the wire,在危險邊緣
under the yoke,在束縛之下
under water,水下
under way,正在進行
under wraps,秘密
underneath one's breath,低聲說
underneath the hood,引擎內部
underpromise and overdeliver,過度承諾，然後超出預期
understand the assignment,理解任務
undress with one's eyes,脫光衣服
unga bunga,無聊
unicorn barf,獨角獸嘔吐
unicorn puke,獨角獸嘔吐
unicorn vomit,獨角獸嘔吐
uniformly continuous,均勻連續
union is strength,團結就是力量
union makes strength,團結就是力量
unity is strength,團結就是力量
unity makes strength,團結就是力量
university of life,人生的學校
university of the streets,街頭大學
unknown quantity,未知的量
unmask one's batteries,展現真實自我
uno ab alto,從高處
unring a bell,停止鈴聲
unsung hero,默默無聞的英雄
until all hours,直到深夜
until further notice,目前
until hell freezes over,直到地獄結冰
until Kingdom come,直到國度降臨
until next time,下次見
until one's dying day,直到某人去世的那一天
until proven otherwise,除非有證據證明相反
until the cows come,直到牛回來
until the cows come home,直到牛回來
until the cows freeze over,直到牛凍僵
until the last dog is hung,直到最後一只狗被處決
until the pips squeak,直到小珠子發出聲音
until the wheels fall off,直到輪子壞掉
until we meet again,再次見面
unto itself,與自身
unto the ages of ages,永恆
unto time,隨著時間
unused to,不習慣
up a close,更接近
up a creek,陷入困境
up a creek without a paddle,無招手可樂
up a gum tree,攀登一棵樹
up a height,增加高度
up a storm,風暴
up a stump,讓某人難以置信
up a tree,爬上樹
up against,對抗
up against the ropes,在籠中
up and at 'em,立刻行動
up and away,飛上天空
up and coming,冉冉升起
up and down,上下
up and running,正常運作
up close and personal,親密接觸
up for,準備
up for grabs,可供出售
up front,事先
up goes the donkey,驢抬起來
up hill and down dale,山間和谷間
up in one's grill,在某人身上
up in the air,懸掛在空中
up line,上游
up on one's ear,聽從某人的建議
up one's own ass,自戀
up one's sleeve,藏在袖裡
up one's sleeves,準備好使用秘密武器
up poo creek,一無是從
up shit creek,陷入困境
up shit creek without a paddle,無助
up shit's creek,陷入困境
up shit's creek without a paddle,無助
up someone's alley,打擊
up someone's ass,崇拜
up someone's strasse,提升某人的地位
up someone's street,某人的興趣
up the aisle,走在禮堂中央
up the ante,提高標準
up the booai,抬起
up the boohai,向上
up the creek,陷入困境
up the creek without a paddle,一無是處
up the duff,一無是從
up the flume,向上導水
up the Oxo Tower,攀登牛頭塔
up the pole,爬上柱
up the proverbial,符合預期
up the river,上游
up the spout,掉進歧管
up the stick,向上
up the stump,解決困難
up the wall,爬在牆上
up the walls,攀牆
up the wazoo,大喊大叫
up the yin-yang,平衡陰陽
up the ying yang,平衡陰陽
up the ying-yang,平衡陰陽
up to anything,不設限制
up to eleven,最多十一
up to no good,搞惡作劇
up to one's ass in alligators,陷入困境
up to one's chin,直到下巴
up to one's ears,淹沒
up to one's elbows,直到手肘
up to one's eyeballs,完全
up to one's eyebrows,超出常規
up to one's eyes,完全
up to one's neck,從頸部以下
up to one's neck in alligators,陷入困境
up to one's old tricks,回到舊習慣
up to par,符合標準
up to scratch,符合標準
up to snuff,符合標準
up to something,為了
up to speed,迅速掌握
up to the chin,直到下巴
up to the elbows,從手肘處
up to the hammer,直到敲擊
up to the hub,直達中心
up to the knocker,直到敲門
up to the mark,符合標準
up to the nines,全力以赴
up to the tonsils,直到扁桃體
up to time,截至時間
up until,直到
up what spring,向上，春天
up with the chickens,和雞一起
up with the lark,與早起的人一同享受
up with the larks,一起享受生活
uphill battle,艱難的挑戰
upon a sixpence,不承諾
upon a stound,在…的情況下
upon a sudden,突然
upon a time,很久以前
upon my sivvy,恕我不能
upon my soul,在我的靈魂上
upon one's legs,靠雙腿
upon one's speed,根據速度
upon pain of,若不
upon reflection,經過反思
upon the back of,在...背面
upon the books,在書籍上
upon the carpet,在地毯上
upon the heels of,在...之後
upon the instant,當下
upon the matter,關於這個問題
upon the pad,在墊上
upon the point of,在...的關鍵上
upon the square,在正方形上
upon the strength of,基於
upon the tapis,在舞台中央
upon the wing,在翅膀上
upper crust,上層階級
upper hand,主導地位
upper storey,上層
ups and downs,起伏
upset the applecart,打亂事態
upward of,超過
upwardly mobile,快速晉升
ur mum,你的媽媽
urban fabric,城市結構
urge on,鼓勵
urge to merge,促成合併
use in anger,用憤怒
use it or lose it,用不著就丟
use one's coconut,用自己的椰子
use one's head,動腦
use one's noggin,動腦
use to,使用
use up,用完
use your words,用自己的話
used to,曾經
useful as a chocolate teapot,無實際用途
useful as tits on a bull,像公牛上的乳頭一樣有用
useless as tits on a bull,像公牛上的乳頭一樣無用
usher in,帶來
uterine cancer,子宮癌
vacuum up,吸塵
valar dohaeris,瓦拉 德哈瑞斯
valar morghulis,諸神保佑
vale of tears,淚之谷
valley of death,死亡谷
valley of the shadow of death,死亡之谷
vamp up,提升
vanish to the four winds,消失得無影無蹤
vanishing act,消失的表演
variety is the spice of life,多樣性是人生的精華
vast majority,大多數
veg out,消磨時間
vehicularly challenged,有交通問題
vehicularly housed,車輛停放
vel non,然而
vel sim.,請
velvet handcuffs,天鵝絨手鎱
verb. sap.,削弱
verbum sap,聖經
verbum sapienti,言歸於義
verbum sat,聖經
verge on,在...邊
vertically challenged,身高不夠
very good,非常好
very well,非常好
vestra culpa,您的過失
vibe out,放鬆
vibe with,感覺
victim of one's own success,自身成功者的犧牲品
victory at sea,海上勝利
vide infra,下文
vide supra,如上所述
view from the top,俯瞰視角
vim and vigor,Vim和活力
Virtue is her own reward,品德是最好的獎勵
virtue is its own reward,品德本身就是獎勵
virtuous circle,良性循環
vision out,遠景
visually impaired,視力障礙
vive la difference,擁抱差異
voice in the wilderness,荒野中的聲音
voices off,背景音
vomit up,嘔吐
vostra culpa,您的錯
vote blue no matter who,無論誰，都投票給藍黨
vote down,否決
vote in,投票
vote off the island,將其丟入大海
vote out,罷免
vote up,點讚
vote with one's feet,用行動表達
vote with one's wallet,用消費來表達自己的偏好
vouch for,推薦
VR legs,虛擬腿
vulture culture,禿鷹文化
W-shaped recession,W形衰退
wack out,搞砸
wade in,涉水
wade through,艱難地穿過
waft off,飄散
waft over,飄過
wag a finger,指責
wag the dog,擺弄牠
wail on,哀嚎
wait and see,等而見
wait around,等待
wait for,等待
wait for Godot,等待戈多
wait for it,等待
wait for the ball to drop,等待球落地
wait for the dust to settle,等待灰塵落定
wait in the wings,在幕後等待
wait on,等待
wait on someone hand and foot,寸步不離地照顧
wait out,等待
wait till the clouds roll by,等雲朵過去
wait up,等一下
wait upon,侍奉
wait upon hand and foot,全心全意侍奉
waiting game,等待遊戲
waiting in the wings,潛在
waiting to happen,即將發生
wake and bake,清醒並吸食
wake the dead,喚醒死者
wake up,起床
wake up and die right,醒來然後死去
wake up and smell the coffee,起床，聞聞咖啡
wake up one day,某天早上
wale on,在
walk a mile in someone's shoes,設身處地
walk all over,踐踏
walk around,散步
walk away,走開
walk away from,離開
walk away with,離開
walk back,撤回
walk behind,在...後面走
walk down,走下來
walk free,自由地走
walk in,走進
walk in on,闖入
walk in the park,在公園散步
walk in the snow,在雪地裡散步
walk into,走進
walk of life,生活方式
walk off,走開
walk off with,奪走
walk on,走路
walk on broken glass,在破碎的玻璃上行走
walk on by,走過去
walk on eggshells,小心翼翼
walk on sunshine,在陽光下漫步
walk on the wild side,在狂野邊緣漫步
walk on water,在水上行走
walk one's chalks,走回原點
walk out,走開
walk out on,離開
walk out with,走開
walk over,走過
walk the beat,巡邏
walk the chalk,走白粉
walk the dog,遛狗
walk the floor,走動
walk the line,遵守紀律
walk the plank,丟 overboard
walk the streets,在街上漫步
walk the talk,言行一致
walk the walk,言行一致
walk through,走過
walk with,一起走
wall in,牆
wall of silence,沉默的牆
wall off,隔離
wall up,築高牆
walls have ears,牆壁也有耳朵
Wally World,沃爾瑪
wander off,走失
wank off,自慰
wanker's cramp,噁心的扭曲
wanna bet,想賭
want for,想要
want for nothing,沒有匱乏
want in,想要
want must be one's master,想要必須成為自己的主人
want out,想要離開
want someone's nachos,想吃某人的納許
want to,想要
want to bet,想下賭注
want to know,想知道
wanton kittens make sober cats,想要讓小貓咪們保持清醒
war bride,戰爭新娘
war is hell,戰爭是地獄
war of nerves,心理戰
war of words,言戰
ward off,阻止
warm body,溫暖的身體
warm down,緩和
warm over,溫暖
warm regards,親切問候
warm the cockles of someone's heart,溫暖某人的心
warm up,熱身
warmest regards,最誠摯的祝福
warn off,警告
warts and all,真實、不加修飾
wash a blackamoor white,將黑人雕像染成白色
wash and squash,清洗和壓扁
wash away,沖洗掉
wash down,沖洗
wash off,洗掉
wash one's dirty laundry in public,公開宣揚自己的醜事
wash one's dirty linen in public,在公共場合公開談論自己的私事
wash one's elbows,清洗手臂
wash oneself of,洗淨
wash out,泡掉
wash over,淹沒
wash up,洗乾淨
wash with,清洗
washed out,失敗
wasp around,黃蜂
waste away,逐漸衰弱
waste breath,浪費口氣
waste of breath,無謂之言
waste of space,浪費
watch back,觀看後
watch it,觀看
watch one's language,注意自己的言辭
watch one's mouth,閉嘴
watch one's step,小心
watch out,小心
watch over,照看
watch the world burn,觀看世界毀滅
watch the world go by,靜靜地看著世界 passing by
watch this space,留意這一步
watched toast never burns,看著吐司，永遠不會燒焦
water down,稀釋
water finds its level,水總是找到平衡
water finds its own level,水總是會找到平衡
water is wet,水是濕的
water over the dam,水流過水壩
water seeks its level,水總是會找到最低點
water seeks its own level,水總是會找到平衡
water to one's mill,將水引到磨坊
water under the bridge,已經過去的事情
waterfowl alignment,鴨類對齊
watering hole,小酒吧
watery grave,水流的墳墓
wave aside,輕輕一笑
wave away,輕輕擺手
wave down,示意
wave goodbye,揮手告別
wave goodbye to something,向某物揮手告別
wave in,波
wave of the hand,揮手
wave off,退卻
wave the white flag,舉白旗
wave through,通過
wax and wane,漲落
wax down,融化
wax on,塗蠟
wax the dolphin,打蠟
way back when,很久以前
way of thinking,思考方式
way out of a paper bag,從紙袋中脫穎而出
we all bleed red,我們都流紅色血液
we all make mistakes,我們都會犯錯
we been knew,我們已經知道
we hardly knew ye,我們幾乎不認識你
we haven't got all day,我們沒有時間
we live in a society,我們生活在一個社會
we wuz kangz,我們是康
we wuz kangz n sheeit,我們是狂人
we wuz kangz n shiet,我們是狂人
weak sister,弱氣妹妹
weak tea,淡茶
weaken up,使恢復
weaker vessel,較弱的船
weakly cardinal,微弱的
weakly contractible,弱可壓縮
wean off,逐漸停止
weaponized incompetence,有意識的無能
weapons free,無武器
weapons hold,武器
weapons tight,武器緊繃
wear and tear,磨損
wear away,磨損
wear down,磨損
wear in,穿
wear many hats,身兼多職
wear off,消失
wear on,穿著
wear one's heart on one's sleeve,坦率地表達自己的情感
wear out,磨損
wear out one's welcome,讓人感到厭煩
wear rose-colored glasses,戴著玫瑰色的眼鏡
wear sackcloth and ashes,穿麻布和灰
wear the trousers,掌握主導權
wear thin,逐漸磨損
wear through,磨損
wear too many hats,同時擔任多項職責
wear two hats,同時扮演兩種角色
wear up,穿上
wear yellow stockings,穿著黃色魚襪
weary out,精疲力竭
weasel into,偷偷溜進
weasel out,逃避
weather out,應對
weather the storm,度過難關
wedge up,擠壓
weed out,清除
Weekend at Bernie's,與伯尼度過週末
weep Irish,愛爾蘭人
weigh against,權衡
weigh down,增加負擔
weigh in,稱重
weigh off,衡量
weigh on,權衡
weigh out,稱重
weigh up,權衡
weight down,壓低
weight of the world,世界的重量
weird and wonderful,古怪又奇妙
weird flex but OK,很奇怪，但沒關係
weird out,感到奇怪
welcome back,歡迎回來
welcome home,歡迎回家
welcome to my life,歡迎來到我的生活
welcome to my world,歡迎來到我的世界
welcome to the club,歡迎加入
weld together,焊接
welfare Cadillac,社會福利
well and good,很好
well and truly,徹底地
well begun is half done,開頭良好，已成功一半
well done,做得很好
well played,做得很好
well said,說得很好
well up,情緒激動
well-oiled machine,運轉順暢的機器
Welsh comb,威爾斯梳
were it not for,如果沒有
were you born in a tent,你是在帳篷裡出生的嗎
wet behind the ears,經驗不足
wet blanket,破滅者
wet boy,濕的男孩
wet down,弄濕
wet firecracker,濕潤的鞭炮
wet one's beak,啄食
wet one's pants,尿褲子
wet one's whistle,解渴
wet out,浸濕
wet the bed,尿床
wet the shamrock,浸濕的四葉草
wet through,完全濕透
whack off,性交
whack on,猛擊
whack one out,快速完成
whack out,迅速消失
whack up,提高
whale away,遠離
whale on,鯨
wham bam thank you ma'am,砰砰，謝謝您
what a shame,真可惜
what a small world,真巧
what about the children,關於孩子們
what am I bid,我能出多少
what am I looking at,我在看什麼
what are the odds,機率
what are you like,你是什麼樣的人
what are you looking at,你在看什麼
what are you smoking,你在吸什麼
what are you waiting for,你在等什麼
what can I say,我該說什麼
what can I tell you,我可以告訴你什麼
what cheer,你好嗎
what color is your Bugatti,你的寶格提汽車是什麼顏色
what colour is your Bugatti,你的寶格提汽車是什麼顏色
what comes around goes around,報報還還
what did I tell you,我對你說了什麼
what do I know,我了解什麼
what do you know,你知道什麼
what do you make the time,你覺得現在幾點
what do you say,你怎麼說
what do you want: blood?,你想要什麼：血液
what else is new,還有什麼新的
what foot the shoe is on,鞋在哪隻腳
what gives,什麼能帶來
what go round come round,世事難免
what goes around comes around,報報還還
what goes round comes round,報復
what goes up must come down,漲勢終止
what good is,有什麼好處
what happens twice happens thrice,反覆出現的事情，最終會再次出現
what has someone done,某人做了什麼
what in tarnation,天哪
what in time,什麼時候
what is more,什麼比較
what is one to do,該怎麼做
what is the matter,發生什麼事
what is the time,現在幾點
what is your job,你的工作是什麼
what is your problem,你的問題是什麼
what it is,那是什麼
what it takes,需要什麼
what next,接下來
what o'clock is it,現在幾點
what price,價格
what say you,你覺得怎麼樣
what seems to be the problem,似乎是什麼問題
what someone is about,某人的本質
what someone said,某人說的話
what someone says goes,說什麼就什麼
what that mouth do,那是什麼
what the crap,這有什麼問題
what the deuce,怎麼了
what the Devil,什麼是魔鬼
what the doctor ordered,醫生所需要的
what the ef,這是什麼
what the eff,怎麼了
what the fish,怎麼會
what the flip,怎麼回事
what the flying fuck,靠
what the fuck,靠
what the fudge,這有什麼問題
what the goodyear,什麼是固特爾
what the hay,怎麼辦
what the heck,到底怎麼回事
what the hell,到底怎麼回事
what the helly,到底怎麼回事
what the hey,怎麼回事
what the shit,這有什麼問題
what time do you make it,你打算什麼時候開始
what time have you got,你幾點
what was someone smoking,有人在吸什麼
what was someone thinking,某人當時在想什麼
what was your first clue,你第一個線索是什麼
what would Jesus do,耶穌會怎麼做
what's cooking,正在準備
what's doing,最近怎麼樣
what's done cannot be undone,已發生的事情無法改變
what's done is done,已經完成
what's eating,在吃
what's eating you,你在煩惱什麼
what's going on,發生了什麼
what's in a name,名字裡有什麼
what's in it for me,我能得到什麼
what's in the bag,裡面有什麼
what's it to you,這跟您有什麼關係
what's more,什麼更
what's new,最新消息
what's next,接下來
what's not to like,什麼不好
what's not to love,什麼不好
what's occurring,正在發生的
what's old is new again,舊的東西又變得流行
what's one's angle,一個人的觀點
what's someone's damage,損害
what's the beef,什麼是問題
what's the betting,賭注是什麼
what's the big idea,到底是什麼主意
what's the crack,情況如何
what's the craic,最近怎麼樣
what's the damage,造成的損害
what's the deal,到底發生了什麼
what's the difference,區別是什麼
what's the good of,有什麼好處
what's the haps,最近怎麼樣
what's the matter,怎麼了
what's the scam,什麼是詐騙
what's the story,這是一個故事
what's the time,現在幾點
what's the use,有什麼用
what's up,最近如何
what's up Doc,怎麼樣
what's up with,怎麼了
what's what,這是什麼
what's with,怎麼回事
what's yer poison,你想要什麼
what's your game,你玩什麼
what's your pleasure,您喜歡什麼
what's your poison,你喜歡什麼
what's your problem,你遇到了什麼問題
whatcha know good,你知道什麼
whatever butters your biscuit,無論什麼讓你感到快樂
whatever butters your biscuits,無論什麼讓你感到快樂
whatever butters your bread,無論什麼讓你感到快樂
whatever butters your muffin,無論什麼讓你感到滿足
whatever butters your toast,無論你喜歡什麼來塗在吐司上
whatever creams your twinkie,任何你喜歡的奶油
whatever floats your boat,無論你喜歡什麼
whatever helps you sleep at night,什麼能幫助你晚上入睡
whatever humps your camel,無論你想要什麼
whatever it takes,無論如何
whatever melts your butter,任何能融化你的奶油的東西
whatever next,還有什麼
whatever sizzles your bacon,無論你喜歡什麼
whatever the case may be,無論如何
whatever tickles your pickle,無論你喜歡什麼
whatever winds your clock,無論你認為如何
whatever you do,無論你做什麼
what’s wrong with this picture?,這張圖片有什麼問題
wheat bread,麵包
wheel about,討論
wheel and deal,談判、交易
wheel around,轉動
wheel away,滾走
wheel out,推出來
wheel round,轉動
wheel within a wheel,一個套在另一個輪子裡
wheeler and dealer,交易者
wheeling and dealing,交易、斡旋
wheels are turning,輪子在轉
wheels of steel,鋼鐵輪
when Adam was an oakum boy,當亞當還是碼頭工人
when all is said,總之
when all is said and done,總之
when everything is said and done,總而言之
when Hell freezes over,當地獄結冰
when in Rome,在羅馬就當羅馬人
when it comes to,當提到
when it's at home,在家的時候
when opportunity knocks,當機會來臨時
when pigs fly,當豬飛
when push comes to shove,當情況變得緊急時
when the balloon goes up,當氣球升空
when the cat's away,當貓不在
when the chips are down,當情況變得困難
when the music stops,當音樂停止
when the time comes,當那時來臨
when two Fridays come together,當兩個星期五重疊時
when two Sundays come together,當兩個星期日重疊時
when two Sundays meet,當兩個星期日相遇
whenever one turns around,每當某人轉身
where are the snows of yester-year,過去的積雪在哪裡
where are the snows of yesteryear,過去的積雪在哪裡
where are the toilets,廁所在哪裡
where away,在哪裡
where do I sign up,在哪裡註冊
where do you live at,你住在哪裡
where got,在哪裡
where I come from,我來自哪裡
where is the lie,在哪裡
where someone is coming from,來自哪裡
where the puck is going,球要往哪裡飛
where the puck is heading,球要往哪裡飛
where the shoe pinches,鞋子勒到
where the sun doesn't shine,陽光照不到的地方
where the sun don't shine,陽光照不到的地方
where there is a will,只要有決心
where there's muck there's brass,有壞就有人
where's the beef,牛肉在哪
where's the fire,在哪裡
where's the lie,在哪裡
where's the lie tho,實際上是哪裡
whet one's appetite,激發食慾
whether or not,無論是...還是
which foot the shoe is on,那隻腳穿著的鞋
which way the wind is blowing,風向如何
whichever way one slices it,無論如何看
while away,消磨時間
while we're young,當我們年輕時
while you're down there,在那裡
whip down,快速處理
whip hand,鞭打
whip in,快速攪拌
whip into shape,塑形
whip it on,用力攪打
whip off,猛踢
whip out,拿出來
whip the cat,虐待貓
whip through,快速通過
whip together,快速混合
whip up,快速製作
whip up a storm,製造風暴
whips and jingles,鞭子和裝飾
whisk away,拂去
whisk off,輕輕拂去
whiskey dick,威士忌
whisper campaign,低調傳播謠言
whistle Dixie,吹口哨
whistle for,吹口哨
whistle in the dark,在黑暗中吹口哨
whistle in the wind,在風中吹口哨
whistle past,短促地吹口哨
whistle past the graveyard,含糊其辭
whistle up,吹口哨
whistle walk,哨聲, 散步
white as a sheet,像白紙一樣
white bread,白麵包
white coat hypertension,白衣高血壓
white flight,白人遷徙
white hat,白帽
white knight,好人
white lie,小謊
white lives matter,白人的生命也很重要
white magic,白魔法
white marriage,跨族裔婚姻
white night,白色夜晚
white on rice,在米飯上放白飯
white out,徹底清除
white pee,尿液顏色變白
white rabbit,白兔
white rider,白衣騎士
white satin,白色緞子
white sheep,白色的羊
white trash,窮人
white trashery,白色垃圾
white up,變白
whither away,消逝
Whitman's sampler,惠特曼的選物
whittle away,一點點地減少
whittle down,逐步減少
who am I kidding,我在騙誰
who are you telling,你對誰說
who ate all the pies,誰把所有的派都吃光了
who died and made you boss,誰讓你成了老闆
who died and made you king,誰讓你成為國王
who died and made you president,誰讓你當總統
who died and made you queen,誰讓你成為女王
who do you think you are,你認為你是誰
who goes there,你是誰
who hurt you,誰傷害了你
who knew,誰知道
who knows,誰知道
who put a quarter in you,誰給了你一個 25 美分硬幣
who shot John,誰開槍射殺了約翰
who wants to know,誰想知道
who was your servant last year,去年我的僕人是誰
who watches the watchers,誰監督監督
who would have guessed,誰會想到
who would have known,誰能預料
who would have thought it,誰能想到
who would have thunk it,誰能想到
who would've thunk it,誰能想到
who woulda thunk it,誰能想到
who writes this stuff,誰寫這些
who'd a thunk it,誰能想到
who'd have thunk it,誰能想到
who'd've thunk it,誰能想到
who'da thunk it,誰能想到
who's asking,請問
who's robbing this coach,誰在偷襲這位教練
who's to say?,誰知道呢
who's who,誰是誰
who's who in the zoo,動物園裡的各人
who's your daddy,你的爸爸是誰
whoever smelt it dealt it,誰聞到就拿走
whole ball of wax,一整塊
whole box of tricks,所有障礙
whole cloth,完全相信
whole enchilada,全部
whole package,完整套裝
whole shebang,全部
whole shooting match,全部
whom am I kidding,我是在騙誰
whomp on,砰
whomp up,衝撞
whoop ass,狠狠地打敗
whoop it up,盡情歡樂
whore after,妓女
whore around,通客
whore out,賣淫
whore up,妓女
whose foot the shoe is on,那隻腳
whose ox is gored,誰的牛被宰
why am I not surprised,我為什麼不感到意外
why God invented,為什麼上帝創造
why in God's name,為什麼
why in the world,為什麼
why in time,在...的時間裡
why not Zoidberg,為什麼不能是佐伊伯格
why oh why,為什麼
why on Earth,為什麼
why so serious,為什麼這麼嚴肅
wicked tongue,惡毒的言詞
wide awake,精神飽滿
wide berth,寬闊的空間
wide of the mark,偏離主題
wide open,廣闊的
widen one's horizons,拓展視野
widen up,擴大
widow's mite,寡婦的微小捐款
wife up,奮鬥
wig on to,假髮
wig onto,假髮
wig out,瘋狂
wiggle out of,脫身
wild blue yonder,廣闊的天空
wild child,不受控制的孩子
wild horses,野馬
