you,Bạn
permaculture,nông nghiệp bền vững
all-expenses-paid,bao gồm tất cả chi phí.
spanish-speaking,nói tiếng Tây Ban Nha
bary,bary
storrs,storrs
shipload,hàng hóa
backbeat,nhịp nền
clamshell,vỏ sò
whirligig,chong chóng
slaughterer,người giết mổ
chr,chr
aco,aco
paratroops,lính dù
polyglot,đa ngôn
basti,basti
up-to-the-minute,cập nhật từng phút
sanda,cát
hufflepuff,Hufflepuff
vaginally,âm đạo
theoretician,nhà lý thuyết
agitates,khuấy động
handpick,chọn lọc
rucksacks,ba lô
paves,lát đường
palpate,sờ nắn
milian,mili
molnar,molnar
rbi,rbi
sheehy,sheehy
eustis,eustis
priggish,kiêu căng
nachi,nachi
nagara,nagara
mirabilis,mirabilis
mcevoy,mcevoy
outlives,sống lâu hơn
sinless,không tội lỗi
anak,con
nonthreatening,không đe dọa
carouse,say sưa
maces,chùy
koons,Koons
wahine,wahine
structuring,cấu trúc
non-combatants,những người không tham chiến
boe,boe
anca,anca
amram,amram
disenchantment,sự vỡ mộng
kawanishi,kawanishi
phantasmagoria,ảo ảnh
deeming,coi như
varden,varden
breathalyser,máy đo nồng độ cồn trong hơi thở
bn,tỷ
biofuel,nhiên liệu sinh học
tenaciously,kiên trì
endor,Endor
subcontract,hợp đồng phụ
mady,mady
detoxify,giải độc
cetus,cetus
noire,đen
dampener,bộ giảm chấn
picton,picton
fui,fui
bloody-minded,cứng đầu
twelves,mười hai
bloodcurdling,rùng rợn
stratum,tầng
roofed,mái nhà
commonsense,lẽ thường
non-military,không thuộc quân đội
go-karting,đua xe kart
merino,len merino
incontestable,không thể tranh cãi
coren,Coren
webmaster,quản trị viên web
casters,bánh xe
lapdogs,chó nhỏ
umbra,vong linh
thankfulness,lòng biết ơn
alginate,alginate
iconoclast,kẻ phá bỏ biểu tượng
abbreviate,viết tắt
ticonderoga,Cononderoga
electrocardiogram,điện tâm đồ
denys,phủ nhận
hellenistic,thời Hy Lạp hóa
pylos,trụ
sonatas,sonata
signy,signy
murayama,murayama
ridgely,có gờ
forewoman,quản đốc
catullus,cây xương rồng
blue-eyes,mắt xanh
cokie,cokie
lampe,đèn
acetic,axit axetic
reenacted,tái hiện
strong-arming,ép buộc
nimr,nimr
butterman,người bán bơ
bawls,tiếng la hét
wreathed,được kết vòng
pounders,máy đập lúa
bullfinch,chim sẻ mỏ dày
backroom,phòng sau
top-ranked,xếp hạng cao nhất
neustadt,neustadt
kock,tiếng kêu
procreating,sinh sản
top-selling,bán chạy nhất
nidal,nidal
sabbat,ngày Sa-bát
holstered,được cất trong bao súng
north-northwest,bắc-tây bắc
woofer,loa trầm
jangled,leng keng
kins,họ hàng
oversimplification,sự đơn giản hóa quá mức
burgundian,người Burgundy
saginaw,saginaw
rebates,giảm giá
revellers,những người vui chơi
scripps,phiếu giảm giá
florio,Florio
creatives,những người sáng tạo
mendelsohn,Mendelsohn
system-wide,trên toàn hệ thống
tromp,giẫm đạp
sidon,sidon
moaner,người hay than vãn
admissibility,khả năng chấp nhận
divined,tiên tri
cobden,cobden
tonality,âm giai
neurotoxins,chất độc thần kinh
airframe,khung máy bay
staplers,máy dập ghim
rundstedt,rundstedt
ramsden,ramsden
tavernier,chủ quán rượu
muzz,tiếng rít
troublemaking,kẻ gây rối
snowbound,bị bao phủ bởi tuyết
sealy,biển
secondaries,thứ cấp
waw,waw
evaders,những kẻ trốn tránh
nhi,nhi
moselle,sông Moselle
metastases,di căn
goldin,vàng
amari,amari
self-examination,tự kiểm tra
blat,blat
kadesh,Kadesh
gann,gann
sleepwalks,mộng du
chickadees,chim sẻ
superintendents,giám thị
greystone,đá xám
keenness,sự nhiệt tình
workaround,giải pháp thay thế
qutb,qutb
preservers,chất bảo quản
hanrahan,hanrahan
wallflowers,hoa tường
ex-prisoners,cựu tù nhân
unlearned,chưa học
globalized,toàn cầu hóa
salwar,quần salwar
eberhardt,eberhardt
tippet,dây buộc
guiness,bia Guinness
spirulina,tảo xoắn
nct,NCT
basso,basso
dumbing,ngu ngốc
backlogged,tồn đọng
antagonized,đối kháng
hoody,áo hoodie
oakville,Oakville
presences,sự hiện diện
efren,efren
vindictiveness,sự trả thù
mapp,bản đồ
bluejay,chim giẻ cùi xanh
bako,bako
zoroastrian,Zoroastrian
ealdorman,ealdorman
aragonese,người Aragon
bulldogging,sự chó bull
upcountry,vùng cao nguyên
nose-ring,khuyên mũi
hexham,Hexham
intrudes,xâm nhập
haltingly,ngập ngừng
wolfbane,cây sói độc
dewayne,Dewayne
genoese,genoese
batt,trận đấu
tsugaru,tsugaru
wolter,wolter
buchwald,buchwald
duping,lừa đảo
derisively,một cách chế nhạo
muscleman,người đàn ông cơ bắp
breyer,Breyer
eagle-eyed,mắt đại bàng
nubbins,những mẩu nhỏ
allergist,bác sĩ dị ứng
frats,hội nam sinh
bombo,bom
sultanate,vương quốc Hồi giáo
receptacles,ổ cắm
french-speaking,nói tiếng Pháp
travelogue,nhật ký hành trình
navratilova,navratilova
ladysmith,Ladysmith
returnable,có thể trả lại
outfielder,cầu thủ ngoài sân
hse,hse
spiker,người đánh bóng
facilitation,sự hỗ trợ
first-floor,tầng một
preece,chính xác
ten-inch,mười inch
weezer,Weezer
hands-down,chắc chắn
habit-forming,gây nghiện
dead-set,quyết tâm
bourgogne,rượu vang Bourgogne
geopolitics,địa chính trị
lorrain,Lorrain
skopje,skopje
vaporizes,bốc hơi
vocalizations,tiếng kêu
whalebone,xương cá voi
backus,trở lại
silver-plated,mạ bạc
smoke-filled,đầy khói
curwen,Curwen
guignol,guignol
mcauley,McAuley
postmortems,khám nghiệm tử thi
scuppered,bị phá hỏng
swellings,sưng tấy
skedaddled,bỏ chạy
untiring,không mệt mỏi
by-laws,quy chế
thoroughfares,đường phố chính
kafkaesque,Kafkaesque
humpy,gồ ghề
idiosyncrasy,đặc điểm riêng biệt
flagrantly,trắng trợn
lla,lla
streptococcus,liên cầu khuẩn
dynamited,bị đánh bom
wolverton,Wolverton
filched,bị đánh cắp
postnatal,sau sinh
sockeye,cá hồi sockeye
bemis,bemis
aprile,tháng tư
doubleheaded,đầu kép
knitter,người đan len
braggy,khoe khoang
dogleg,khúc cua
stoneham,Stoneham
gide,hướng dẫn
happed,đã xảy ra
nasi,nasi
campout,cắm trại
pusey,pusey
gentles,người đàn ông lịch lãm
basileus,basileus
t-cells,tế bào T
add-ons,các tiện ích bổ sung
alprazolam,alprazolam
time-bomb,bom hẹn giờ
acrylics,acrylics
outbuilding,nhà kho
kit-kat,kit-kat
schramm,schramm
pag,trang
krane,krane
repton,repton
nebel,tinh vân
whitacre,màu trắng
overruns,vượt quá
lichens,địa y
eyeteeth,răng nanh
saphenous,hiển
meanly,một cách hèn hạ
oxbow,khúc cua
dalmatia,chó đốm
mothball,viên chống mối mọt
reexamined,kiểm tra lại
erasure,xóa bỏ
beyer,Beyer
campania,Campania
latin-american,Mỹ Latinh
salcedo,salcedo
sapsucker,chim gõ kiến
contortions,sự biến dạng
necessitate,cần thiết
eradicator,kẻ diệt trừ
shirttail,đuôi áo
kunstler,nghệ sĩ
twi,twi
black-and-whites,đen trắng
raptured,say mê
bandying,trao đổi
creat,tạo ra
postoperative,sau phẫu thuật
midsummer,giữa mùa hè
dairies,sữa
hilaire,hilaire
arica,arica
rcs,rcs
aur,aur
contaminates,gây ô nhiễm
cobbling,lát đá
amenity,tiện nghi
stoped,dừng lại
katowice,Katowice
charcuterie,thịt nguội
macedon,Macedonia
troposphere,tầng đối lưu
meda,meda
pion,pion
simplex,đơn giản
unfurnished,không có đồ đạc
wineries,các nhà máy rượu vang
spumoni,bọt biển
waterholes,hố nước
ball-peen,đầu bi
steam-powered,chạy bằng hơi nước
swinburne,Swinburne
ligo,ligo
fitton,fitton
ugly-looking,xấu xí
tulum,tulum
draftsman,người vẽ bản thiết kế
comprehensively,một cách toàn diện
landor,đất
teton,Teton
westernized,phương Tây hóa
involvements,sự tham gia
finger-painting,vẽ tranh bằng ngón tay
gooses,ngỗng
deigns,thiết kế
flemings,người Flemish
pflp,pflp
infra,cơ sở hạ tầng
boppers,những người chơi nhạc bopper
unrecorded,chưa được ghi nhận
walk-off,bỏ cuộc
spaceflight,chuyến bay vào vũ trụ
lawbreaker,kẻ vi phạm pháp luật
hangdog,con chó buồn bã
busse,xe buýt
redistributed,phân phối lại
beseeching,van xin
extol,ca ngợi
wallpapered,dán giấy dán tường
energised,tràn đầy năng lượng
formers,người sáng lập
inflow,dòng chảy vào
perret,perret
supe,siêu cấp
spritzing,phun sương
electrochemical,điện hóa
riddling,câu đố
remakes,bản làm lại
stand-alone,độc lập
bonelli,xương
long-running,kéo dài
marinas,bến du thuyền
eklund,eklund
naxalite,người theo chủ nghĩa Naxalite
persnickety,khó tính
headhunting,săn đầu người
pyrotechnic,pháo hoa
epp,epp
dianna,Diana
bromberg,bromberg
downe,xuống
belittles,coi thường
bookmarks,dấu trang
fraternise,kết nghĩa
reveled,vui mừng
hernias,thoát vị
urticaria,nổi mề đay
movie-star,ngôi sao điện ảnh
shadowless,không có bóng
scalawag,kẻ phản bội
deafen,điếc
nabs,bắt giữ
workingman,người lao động
steffan,Steffan
amol,amol
pharmacological,dược lý
reacquire,giành lại
ondine,ondine
focaccia,bánh mì focaccia
populi,dân chúng
lockstep,đồng bộ
reveres,tôn kính
humbler,khiêm nhường hơn
relativistic,tương đối tính
galla,galla
mccleary,McCleary
co-owners,đồng sở hữu
sheringham,Sheringham
clamming,bắt sò
zep,zep
sickie,ốm
dowel,chốt gỗ
prudential,thận trọng
parkas,áo khoác parka
strachey,strachey
unpick,tháo gỡ
intangibles,tài sản vô hình
bootlegs,hàng nhái
frights,nỗi sợ hãi
coining,đặt ra
booby-traps,bẫy mìn
ill-informed,thiếu thông tin
propos,đề xuất
subsidised,được trợ cấp
trenchcoat,áo khoác dài
lower-class,tầng lớp thấp hơn
hous,nhà
calo,calo
winnemucca,winnemucca
lanchester,lanchester
repurpose,tái sử dụng
groff,groff
wotcha,wotcha
f-stop,khẩu độ
corsages,hoa cài áo
stone-age,thời kỳ đồ đá
spectrograph,máy quang phổ
ebbed,giảm dần
accessorizing,trang trí
hayter,máy cắt cỏ khô
beachcomber,người nhặt rác trên bãi biển
mcneill,McNeill
putts,cú đánh bóng vào lỗ
medicus,bác sĩ
errs,lỗi
educates,giáo dục
toeing,đi chân
ssg,ssg
unwinds,thư giãn
pontificating,thuyết giảng
factoid,thông tin thú vị
skirted,váy
mutineer,kẻ nổi loạn
kick-started,khởi động
designates,chỉ định
charleroi,charleroi
oakdale,Oakdale
ramus,nhánh
janissaries,lính Janissary
misdemeanours,tội nhẹ
revelled,vui vẻ
scats,phân
dissembling,che đậy
prostration,sự phủ phục
bengtsson,bengtsson
latvians,người Latvia
womanizers,những kẻ lăng nhăng
browsed,đã duyệt
jiggered,đã được chỉnh sửa
fraudsters,những kẻ lừa đảo
hypospray,thuốc xịt mũi
victimization,nạn nhân hóa
unbidden,không được mời
dilution,pha loãng
one-star,một sao
distil,chưng cất
expander,bộ mở rộng
hamstrung,gân kheo
magne,nam châm
k-pax,k-pax
prostrated,nằm sấp
framer,người đóng khung
primark,Primark
elmwood,cây du
bunko,trò lừa bịp
sympathizes,đồng cảm
naser,naser
nebulizer,máy phun sương
bradstreet,phố Bradstreet
whigs,đảng Whig
signer,người ký
selectman,ủy viên hội đồng
abortive,không thành công
low-born,người xuất thân thấp kém
longshot,cơ hội mong manh
outdraw,rút tiền
mandrill,khỉ đầu chó
eliana,Eliana
unitas,đơn vị
coffman,quan tài
germanium,germani
sardis,cá mòi
esq,luật sư
unalterable,không thể thay đổi
enmeshed,vướng mắc
saddening,buồn bã
transvaal,Transvaal
demigods,á thần
socking,tất
blustering,huênh hoang
triumphing,chiến thắng
hellmuth,Hellmuth
tunisians,người Tunisia
portmanteau,vali
paraguayans,người Paraguay
radicalised,cực đoan hóa
depressant,thuốc an thần
self-published,tự xuất bản
sauerbraten,thịt bò hầm chua
tagus,tagus
nz,nz
overachievers,những người xuất sắc
fairburn,fairburn
regulus,regulus
galvanize,mạ kẽm
ancora,ancora
townsmen,người dân thị trấn
fruited,có quả
imbibing,uống
scaffolds,giàn giáo
o-ring,vòng chữ O
carapace,mai rùa
smoke-free,không khói thuốc
saxophones,kèn saxophone
michaux,Michaux
backdrops,phông nền
whatley,whatley
foreskins,bao quy đầu
dup,trùng lặp
mischance,rủi ro
kallio,kallio
cavalrymen,kỵ binh
sentimentally,một cách tình cảm
yorkshireman,người Yorkshire
collaborations,sự hợp tác
reining,kiềm chế
caretaking,chăm sóc
teetotaller,người kiêng rượu
goebel,goebel
hoth,Hoth
equalled,bằng nhau
heure,giờ
uncannily,kỳ lạ
superscript,chỉ số trên
nanotubes,ống nano
integrates,tích hợp
sandcastles,lâu đài cát
screener,người sàng lọc
aerate,sục khí
hirsh,chim ưng
heartbeat,nhịp tim
ground-based,trên mặt đất
dullards,những kẻ ngu dốt
coty,coty
wistfully,một cách luyến tiếc
candidature,ứng cử viên
mds,mds
impinging,va chạm
tajikistan,Tajikistan
nutley,hạt dẻ
thimbles,cái kim khâu
bazin,bazin
sangster,ca sĩ
tranter,chuyển đổi
knorr,knorr
celebrant,người chủ trì lễ
refractive,khúc xạ
britannic,Britannic
hymnals,sách thánh ca
coady,coady
haeckel,haeckel
enumerate,liệt kê
gipsies,người du mục
palmerston,Palmerston
mouldering,mục nát
xxl,XXL
tines,răng
uncorroborated,chưa được xác minh
danker,danker
chadwell,chadwell
abid,abid
a-z,a-z
spooned,thìa
hidey-hole,chỗ ẩn náu
novello,tiểu thuyết
hair-trigger,dễ kích hoạt
louvain,Louvre
angleton,Angleton
slacked,lười biếng
conks,conks
dosimeter,máy đo liều
sulaiman,Sulaiman
chitchatting,trò chuyện tán gẫu
dentsu,răng giả
sublevel,cấp độ phụ
tiu,tiu
saltpetre,diêm tiêu
exhaled,thở ra
trocar,trocar
splurging,phung phí
diffuser,bộ khuếch tán
back-to-front,từ sau ra trước
garnets,ngọc hồng lựu
kazakhs,người Kazakh
tai-pan,tai-pan
trebled,gấp ba lần
irc,IRC
bilking,lừa đảo
taiyuan,thái nguyên
locker-room,phòng thay đồ
agnelli,Agnelli
bellatrix,bellatrix
simmers,hầm
dro,dro
foresees,dự đoán
dangler,vật treo
carcinogen,chất gây ung thư
pilloried,bị bêu riếu
counterinsurgency,chống nổi dậy
rss,rss
exchanger,bộ trao đổi
tatra,tatra
rhinebeck,Rhinebeck
sullying,làm ô uế
permeable,thấm nước
steadying,ổn định
gamy,thịt xông khói
miniseries,phim ngắn
lic,giấy phép
replanting,trồng lại
ahchoo,hắt hơi
trow,ném
aberystwyth,Aberystwyth
gritting,rải muối
equipping,trang bị
langa,langa
uttermost,tối cao
hubbs,trung tâm
sarasvati,Sarasvati
dunmore,Dunmore
wildernesses,vùng hoang dã
adorno,trang trí
pensione,lương hưu
denigrating,hạ thấp
patricians,quý tộc
lamination,cán màng
jodrell,Jodrell
nigra,nigra
thornley,gai
vaquero,cao bồi
dianetics,dianetics
teale,màu xanh ngọc
chromatic,màu sắc
sweepings,quét dọn
roa,đường
meccano,Meccano
unties,tháo gỡ
genomic,bộ gen
baraka,baraka
goodhue,màu sắc tốt
ssp,ssp
mayest,có thể
stoicism,chủ nghĩa khắc kỷ
fertilizes,bón phân
fiddle-faddle,vĩ cầm vô nghĩa
merril,Merril
isfahan,Isfahan
exorcize,trừ tà
tanglewood,cây rối
reframe,tái định hình
carrigan,carrigan
tenable,có thể chấp nhận được
unceasingly,không ngừng nghỉ
carcassonne,carcassonne
cheyennes,người Cheyenne
cobo,cobo
payloads,tải trọng
fungicide,thuốc diệt nấm
calibrations,hiệu chuẩn
orientated,định hướng
enrages,làm cho tức giận
depressurize,giảm áp suất
copyist,người sao chép
open-hearted,cởi mở
aylmer,aylmer
shootouts,các cuộc đấu súng
geminis,Song Tử
kuomintang,Quốc dân đảng
beshrew,người đàn bà đanh đá
inattention,sự thiếu chú ý
navajos,người Navajo
undine,Undine
shanahan,Shanahan
copybook,vở
aeroflot,aeroflot
tangential,tiếp tuyến
nanyang,Nanyang
takedown,hạ gục
self-effacing,khiêm nhường
antagonists,kẻ đối kháng
churl,dân quê
mafias,các băng đảng mafia
disease-free,không mắc bệnh
threepenny,ba xu
espana,Tây Ban Nha
pargo,pargo
high-res,độ phân giải cao
shutoff,tắt
conceptualize,khái niệm hóa
tellus,hãy cho chúng tôi biết
crosser,người băng qua đường
coexisted,cùng tồn tại
hand-drawn,vẽ tay
bumper-to-bumper,kẹt xe nối đuôi nhau
decoction,thuốc sắc
misdiagnosis,chẩn đoán sai
pulchritude,vẻ đẹp
centralised,tập trung
alums,cựu sinh viên
extubate,rút ống nội khí quản
tongued,lưỡi
histrionic,kịch tính
laury,laury
fitters,thợ lắp đặt
petaling,cánh hoa
deconstructing,phân tích
cornetto,cornetto
awb,alb
molson,molson
effed,bị hỏng
hinterlands,vùng nội địa
trollope,xe ngựa
promis,lời hứa
swiper,kẻ quẹt thẻ
ponces,ponces
infrastructures,cơ sở hạ tầng
soros,Soros
muckraking,vạch trần sự thật
gropes,sờ soạng
gaea,gaea
pantanal,quần dài
va-va-voom,va-va-voom
vocations,nghề nghiệp
brickhouse,nhà gạch
faves,yêu thích
cybersex,tình dục trên mạng
letterkenny,Letterkenny
grosz,grosz
dredger,máy nạo vét
barthes,barthes
mateus,mateus
meighan,Meighan
tetley,tetley
obligingly,mang ơn
gali,gali
papier-mache,giấy bồi
ghazal,ghazal
affronted,bị xúc phạm
aubert,aubert
somedays,ngày
sike,đùa thôi
crabapple,táo dại
saman,saman
missa,missa
contrasted,tương phản
palpitating,tim đập thình thịch
televise,truyền hình
reynosa,Reynosa
regressions,hồi quy
feature-length,phim dài
americanized,Mỹ hóa
high-toned,âm cao
deleterious,có hại
striae,vết rạn da
dentition,răng
rainie,mưa
varices,giãn tĩnh mạch
imbalances,sự mất cân bằng
norepinephrine,norepinephrine
vadis,vadis
chok,nghẹn
cut-and-dried,đơn giản， rõ ràng
batley,Batley
split-level,chia tầng
battleaxe,rìu chiến
caracalla,caracalla
zur,zur
seminoles,người Seminole
hennings,hennings
vibrancy,sự sống động
barbeques,tiệc nướng
idolised,được thần tượng hóa
cantando,hát
coble,coble
average-sized,kích thước trung bình
isms,chủ nghĩa
filles,lấp đầy
smelted,nấu chảy
chippies,khoai tây chiên
susquehanna,susquehanna
u-turns,quay đầu xe
misplacing,thất lạc
rajahmundry,Rajahmundry
voo,voo
duxbury,Duxbury
dyed-in-the-wool,nhuộm lông cừu
underpins,nền tảng
shrewdness,sự khôn ngoan
tabbouleh,tabbouleh
culbertson,culbertson
diodes,điốt
stimpson,stimpson
flowerbeds,luống hoa
vasopressin,vasopressin
chambord,chambord
avaunt,avaunt
sieges,các cuộc vây hãm
heiresses,những người thừa kế
blackguards,bọn lưu manh
sadhana,sadhana
parsing,phân tích cú pháp
encyclical,thông điệp giáo hoàng
nullifies,vô hiệu hóa
sugarcoating,che đậy sự thật
bargain-basement,giá rẻ
zook,sở thú
dunkley,Dunkley
fittingly,phù hợp
predated,có trước đó
protegee,người được bảo trợ
double-barrel,nòng đôi
barrettes,kẹp tóc
caging,lồng
crossways,đường ngang
commonsense,lẽ thường
aggregation,sự tổng hợp
improvisations,sự ngẫu hứng
teargas,hơi cay
five-a-side,năm người một đội
cements,xi măng
on-scene,tại hiện trường
quiff,kiểu tóc vuốt ngược
longbottom,đáy dài
goldberger,vàng
hurly-burly,hỗn loạn
teresita,teresita
fabricius,Fabricius
baleen,tấm lọc thức ăn
vol-au-vent,vol-au-vent
buxtehude,buxtehude
revote,bỏ phiếu lại
salvos,loạt đạn
suplex,vật lộn
similes,so sánh
kap,kap
catarrh,viêm mũi
ponty,cầu phao
stuka,stuka
relaxants,thuốc giãn cơ
spink,spink
locarno,locarno
everard,Everard
unverified,chưa được xác minh
ferreting,săn chồn
untuck,bỏ nếp gấp
upend,lật ngược
podgy,mập mạp
schwarzkopf,schwarzkopf
yellowed,ngả vàng
cardiologists,bác sĩ tim mạch
ballantyne,Ballantyne
businesspeople,doanh nhân
cajon,cajon
dilettantes,những người nghiệp dư
laserdisc,đĩa laser
doux,ngọt ngào
superficiality,sự hời hợt
twinned,kết đôi
crinkled,nhăn nhúm
modernizing,hiện đại hóa
commutes,đi lại
meltwater,nước tan chảy
rearrange,sắp xếp lại
trac,theo dõi
gyrate,xoay quanh
verrazano,verrazano
guida,hướng dẫn
smuts,những điều tục tĩu
coexisting,cùng tồn tại
jimmies,jimmies
chut,chut
statins,statin
bulking,tăng cân
skittle,trò chơi ném bóng
astrologist,nhà chiêm tinh
perfumery,nước hoa
dictations,bài đọc chính tả
sapphic,đồng tính nữ
tatted,được ren
slunk,lén lút
dawlish,dawlish
pipette,ống nhỏ giọt
crappier,tệ hơn
wagnerian,Wagner
abstentions,bỏ phiếu trắng
passers,người qua đường
depreciate,khấu hao
manis,manis
seaward,hướng ra biển
debug,gỡ lỗi
out-of-towner,người ngoại tỉnh
outfitting,trang bị
back-channel,kênh bí mật
hophead,kẻ nghiện bia
embolization,tắc mạch
whole-wheat,lúa mì nguyên cám
gms,gam
rowboats,thuyền chèo
atavistic,nguyên thủy
beltane,Beltane
uruk,Uruk
vyborg,vyborg
outgrowing,vượt quá giới hạn
lived-in,có người ở
meddles,can thiệp
udine,udine
shellfire,pháo kích
injectable,tiêm
fortin,fortin
sculptress,nhà điêu khắc
adjudicated,đã được xét xử
baumgarten,baumgarten
belin,belin
kawaii,kawaii
triple-check,kiểm tra ba lần
beanery,đậu hầm
runty,lùn tịt
karakorum,karakorum
glitterati,người nổi tiếng
golconda,golconda
breitling,Breitling
matriculate,nhập học
stratospheric,tầng bình lưu
schein,ánh sáng
bria,Bria
chomped,bị cắn
transience,sự phù du
quilter,thợ may chăn bông
titillation,sự kích thích
echos,tiếng vọng
subito,subito
hemlines,đường viền gấu
subaltern,cấp dưới
gendron,gendron
swa,swa
protrusion,phần nhô ra
interlace,đan xen
chf,chf
follett,follett
dreiser,dreiser
criolla,criolla
esterhazy,esterhazy
sculptured,điêu khắc
virology,virus học
retorts,phản bác
newlywed,mới cưới
hoboes,những kẻ lang thang
moderators,người điều hành
blick,blick
headcheese,đầu heo
crist,Chúa Kitô
gren,xanh lá cây
damson,mận
redbird,chim đỏ
gallus,gà
rawalpindi,Rawalpindi
outsized,quá khổ
cosworth,Cosworth
disabuse,gỡ bỏ
experiential,trải nghiệm
curbed,hạn chế
flashers,đèn nháy
paled,tái nhợt
neurologic,thần kinh
altai,Altai
debuts,ra mắt
elzevir,Elzevir
interconnectedness,sự kết nối
crumples,nhàu nát
tattled,mách lẻo
witticism,câu nói dí dỏm
kristopher,Kristopher
scorning,khinh miệt
hanoverian,người Hanover
horn-rimmed,viền sừng
reenlist,tái nhập ngũ
initiations,lễ khởi đầu
compartmentalization,phân vùng
x-mas,Giáng sinh
sanaa,sanaa
nightwish,ước đêm
outstrip,vượt trội
mauler,kẻ tấn công
stile,phong cách
galette,bánh galette
jao,jao
coarseness,độ thô
federer,federer
flamethrower,súng phun lửa
daphnis,daphnis
unaffiliated,không liên kết
clum,vụng về
right-thinking,suy nghĩ đúng đắn
thk,cảm ơn
representational,mang tính biểu tượng
imdb,imdb
underwritten,được bảo lãnh
reeducated,cải tạo giáo dục
adit,lối vào
lso,cũng vậy
hampden,hampden
cdos,cdos
switchback,đường ngoằn ngoèo
chay,chay
unprocessed,chưa xử lý
men-at-arms,binh lính
gabble,nói lảm nhảm
hastens,đẩy nhanh
prestidigitation,ảo thuật
smelters,nhà máy luyện kim
rending,xé rách
chatterton,chatterton
misaligned,lệch
overhauling,đại tu
colwyn,colwyn
gulu,gulu
beanbags,túi đậu
heartbreaks,đau lòng
fff,fff
jism,tinh dịch
scornfully,một cách khinh miệt
buzzwords,từ khóa
rds,rds
spongers,người ăn bám
pell-mell,hỗn loạn
pinch-hit,người thay thế
churchman,giáo sĩ
espy,espy
monofilament,sợi đơn
northwood,gỗ bắc
totter,lung lay
propylene,propylene
girling,cô gái
skywriter,người viết trên bầu trời
biliary,đường mật
cruelty-free,không thử nghiệm trên động vật
yayo,yayo
yaris,yaris
retroperitoneal,sau phúc mạc
top-grade,chất lượng hàng đầu
bookworms,mọt sách
carboniferous,kỷ cacbon
travertine,đá travertine
boult,boult
proscenium,sân khấu
eliezer,Eliezer
domaine,miền
mournfully,buồn bã
malingerer,người giả vờ ốm
hightailing,bỏ chạy
valiente,dũng cảm
autoerotic,tự kích thích tình dục
loke,nhìn
pretorius,người đứng đầu
blogged,đã đăng trên blog
levante,levante
briarwood,cây bụi gai
pericardiocentesis,chọc hút dịch màng ngoài tim
kix,kix
masi,masi
regaling,chiêu đãi
becaus,bởi vì
reintroduction,tái giới thiệu
plenipotentiary,đại diện toàn quyền
twofold,gấp đôi
rub-a-dub,rub-a-dub
fortissimo,cực mạnh
lyles,lyles
unstructured,không có cấu trúc
discloses,tiết lộ
not-for-profit,phi lợi nhuận
invalided,vô hiệu hóa
hyperventilation,tăng thông khí
debits,ghi nợ
frittered,chiên
goodland,vùng đất tốt
cinematograph,máy quay phim
bakelite,bakelite
geosynchronous,địa tĩnh
splats,vết bắn tung tóe
civitavecchia,civitavecchia
kells,kells
geoffroy,Geoffroy
rearrangement,sắp xếp lại
orienteering,định hướng
surfeit,sự dư thừa
leen,len
draperies,rèm cửa
atheistic,vô thần
walthamstow,Walthamstow
feedbag,túi đựng thức ăn
camara,máy ảnh
demonizing,ma hóa
overtaxed,đánh thuế quá mức
zinnias,hoa cúc zinnia
offsets,bù trừ
pigeon-toed,chân vòng kiềng
plasticity,tính dẻo
millbank,ngân hàng nhà máy
hrd,cứng
expletives,những lời chửi thề
unloving,không yêu thương
thal,thal
bittern,chim cốc
coin-operated,hoạt động bằng tiền xu
right-oh,đúng rồi
longhair,tóc dài
abboud,aboud
goulding,goulding
dagenham,Dagenham
obstinately,ngoan cố
kasem,kasem
hallman,người đàn ông Hallman
carriageway,đường dành cho xe cộ
amphion,amphion
shoulder-to-shoulder,sát cánh bên nhau
doman,miền
rechecked,kiểm tra lại
seconde,thứ hai
crawlies,côn trùng bò
bandung,Bandung
dispelling,xua tan
prepay,trả trước
daves,daves
sheva,sheva
demain,ngày mai
alveoli,phế nang
moncrieff,moncrieff
chancing,cơ hội
pdr,pdr
earing,bông tai
thirstier,khát hơn
bell-bottoms,quần ống loe
two-lane,hai làn đường
scrimshaw,chạm khắc trên xương
ihm,ihm
crosbie,crosbie
hyannis,hyannis
sandbank,bãi cát
self-assurance,sự tự tin
crs,crs
businesswomen,nữ doanh nhân
nodule,nốt sần
affinities,mối quan hệ
pozo,pozo
montagu,người dân Montagu
langan,langan
thrushes,chim họa mi
norrington,Norrington
gies,gies
predilections,sở thích
petrel,chim hải âu
protuberance,chỗ lồi
earnhardt,Earnhardt
consignments,hàng hóa
adherents,những người theo đạo
jujube,táo tàu
airstrips,đường băng
guttering,máng xối
invictus,bất khả chiến bại
mushroomed,mọc lên như nấm
boccaccio,boccaccio
cannibalized,bị ăn thịt
vacationed,đã đi nghỉ mát
telomerase,telomerase
steelworkers,công nhân thép
dividers,vách ngăn
cuvier,cuvier
fixers,người sửa chữa
antioxidant,chất chống oxy hóa
amistad,bạn bè
sicario,sát thủ
womanising,tán tỉnh phụ nữ
rundle,rundle
belched,ợ hơi
bushmaster,bushmaster
incapacitating,làm mất khả năng hoạt động
calve,bê con
devilled,quỷ
eying,nhìn chằm chằm
outpatient,ngoại trú
shuttering,đóng cửa
frigidaire,tủ lạnh
outshoot,nhánh
kristallnacht,đêm Kristall
napper,người ngủ trưa
reaming,khoan
starker,rõ rệt hơn
wittering,nói lảm nhảm
parque,công viên
lieve,tin
