you,คุณ
interstitial,ระหว่างเซลล์
catgut,ลำไส้แมว
neckerchief,ผ้าพันคอ
olivine,โอลิวีน
anal-retentive,ทวารหนัก-กักเก็บ
garbanzo,ถั่วชิกพี
pedestals,ฐานรอง
babysits,พี่เลี้ยงเด็ก
curler,ลูกกลิ้ง
cosas,โคซาส
anti-immigration,ต่อต้านการเข้าเมือง
barbour,บาร์เบอร์
toffee-nosed,จมูกคาวลูกอม
onix,โอนิกซ์
quist,ควิสต์
end-of-the-year,สิ้นปี
freedom-loving,ผู้รักอิสระ
ebullient,ร่าเริง
butt-fuck,ร่วมเพศทางทวารหนัก
chicken-hearted,ขี้ขลาด
virchow,เวอร์โชว์
begorra,เบกอร์รา
quantifiable,วัดปริมาณได้
stunners,น่าทึ่ง
penitentiaries,เรือนจำ
foward,ไปข้างหน้า
darkling,มืด
ribald,หยาบคาย
diez,ดีเอซ
odes,บทกวี
balenciaga,บาเลนเซียกา
squirter,เครื่องฉีดน้ำ
eschew,หลีกเลี่ยง
kalinga,กาลินกา
leaver,ผู้ออกจากงาน
proscribed,ห้าม
toddies,ทอดดี้ส์
deathbed,เตียงนอนรอความตาย
dismissals,การไล่ออก
mep,เมป
inducements,สิ่งจูงใจ
sachets,ซอง
sugarcoat,เคลือบน้ำตาล
lessening,ลดลง
moff,มอฟฟ์
critiquing,การวิจารณ์
trost,โทรสต์
kinnear,คินเนียร์
syndromes,กลุ่มอาการ
inconsiderable,เล็กน้อย
high-tops,รองเท้าหุ้มข้อสูง
metatarsal,กระดูกฝ่าเท้า
boyfriend,แฟน
belgrano,เบลกราโน
gasman,ช่างแก๊ส
chloroformed,คลอโรฟอร์ม
dry-cleaners,ร้านซักแห้ง
syn,ซิน
phraseology,วลีวิทยา
coachmen,คนขับรถม้า
fermilab,เฟอร์มิแล็บ
trammel,อุปสรรค
bleeped,เซ็นเซอร์เสียงบี๊บ
beamers,บีมเมอร์
ots,โอทส์
monkshood,มังค์ฮูด
family-style,แบบครอบครัว
expandable,ขยายได้
shilly-shallying,ลังเลใจ
spermatozoa,อสุจิ
krim,ครีม
excitements,ความตื่นเต้น
bottom-feeders,ผู้ที่หากินอยู่ก้นบ่อ
septal,ผนังกั้น
gros,กรอส
goyim,คนต่างศาสนา
ccp,ซีซีพี
mechanization,การใช้เครื่องจักร
gaullist,ผู้สนับสนุนกอล
monteverde,มอนเตเวอร์เด
moonie,มูนนี่
bavarians,ชาวบาวาเรีย
jilt,ทิ้ง
dawid,ดาวิด
droit,ดรอยต์
dickhead,ไอ้โง่
thiopental,ไทโอเพนทัล
unchaperoned,ไม่มีผู้ดูแล
insufficiently,ไม่เพียงพอ
gunnel,แคม
symmetrically,สมมาตร
impressionistic,อิมเพรสชั่นนิสต์
photoelectric,โฟโตอิเล็กทริก
mezuzah,เมซูซาห์
decommissioning,การปลดประจำการ
jigsaws,จิ๊กซอว์
bipeds,สัตว์สองขา
choate,โชเอต
pepsi-cola,เป๊ปซี่-โคล่า
repatriate,การส่งตัวกลับ
jepson,เจปสัน
bunching,การรวมกลุ่ม
html,html
chorale,คณะนักร้องประสานเสียง
moffitt,มอฟฟิตต์
wretchedly,อย่างน่าเวทนา
makar,มาการ์
maxson,แม็กซ์สัน
submersibles,เรือดำน้ำ
osan,โอซาน
cimino,ซิมิโน
cuvee,คูเว่
dreadnoughts,เรือรบขนาดใหญ่
exhort,ชักชวน
remodelled,ปรับปรุงใหม่
dhe,ดีเฮ
off-hours,นอกเวลาทำการ
knotting,การผูกปม
borger,เบอร์เกอร์
pseudoephedrine,ซูโดเอเฟดรีน
footballing,ฟุตบอล
sterilisation,การฆ่าเชื้อ
paquette,แพ็กเก็ตต์
bedsprings,สปริงเตียง
wakeman,วาเคแมน
instills,ปลูกฝัง
emad,เอมาด
shouty,ตะโกน
seabury,ซีบิวรี
wist,ไหวพริบ
dagos,ดาโกส
squalling,เสียงดังลั่น
luzon,ลูซอน
cut-price,ลดราคา
kingsford,คิงส์ฟอร์ด
pennywise,เพนนีไวส์
crated,ลัง
inking,การลงหมึก
striven,มุ่งมั่น
hollinger,โฮลลิงเกอร์
erg,เอิร์ก
quintals,ควินทัล
whoof,ใครกัน
wrongdoers,ผู้กระทำผิด
tarja,ทาร์จา
marketeer,นักการตลาด
bleacher,อัฒจันทร์
trios,สามคน
teagan,ทีแกน
sheepfold,คอกแกะ
magnetometer,แมกนีโตมิเตอร์
nar,นาร์
repeatable,ทำซ้ำได้
preprogrammed,ตั้งโปรแกรมไว้ล่วงหน้า
prettiness,ความสวยงาม
radom,ราดอม
neutering,การทำหมัน
poofters,พวกตุ๊ด
fluorescence,การเรืองแสง
embodying,การแสดงออก
bleaker,หดหู่ลง
swoons,เป็นลม
hemline,ชายกระโปรง
damping,การลดทอน
bodrum,บอดรัม
cannabinoids,สารแคนนาบินอยด์
gamelan,กาเมลัน
lectern,แท่นบรรยาย
backlight,แสงไฟด้านหลัง
bambini,บัมบินี
gentrified,การเปลี่ยนแปลงทางสังคมและเศรษฐกิจ
maillot,เสื้อหมายเลข
leu,ลิว
wildcard,ไวลด์การ์ด
popinjay,ป๊อปปินเจย์
aport,ท่าเรือ
borsch,บอร์ช
headstart,การเริ่มต้นที่ดี
sun-drenched,แดดสาดส่อง
asch,แอช
marketeers,นักการตลาด
daughtry,ลูกสาว
ridicules,การเยาะเย้ย
imams,อิหม่าม
masaka,มาซากะ
restorations,การบูรณะ
shit-hot,ร้อนมาก
ragman,คนขายเศษผ้า
chickasaw,ชิคกาซอว์
kickapoo,คิกคาปู
counterespionage,การต่อต้านการจารกรรม
brandes,แบรนด์
subdivided,แบ่งย่อย
clinique,คลินิก
gooden,กู๊ดเดน
agon,อะกอน
enrolment,การลงทะเบียน
resistors,ตัวต้านทาน
reorganise,จัดระเบียบใหม่
winship,วินชิป
shoemakers,ช่างทำรองเท้า
loincloths,ผ้าคาดเอว
junco,จุนโก้
oops-a-daisy,อุ๊ปส์-อะ-เดซี่
trouble-free,ไม่มีปัญหา
know-all,ผู้รู้ไปหมดทุกเรื่อง
giron,จิรอน
authoress,ผู้เขียน
rogier,โรเจียร์
batboy,เด็กตีค้างคาว
binns,บินส์
bourges,ชนชั้นกลาง
brekkie,อาหารเช้า
cuckolding,การนอกใจ
malky,มัลกี้
proportionately,ตามสัดส่วน
preteen,เด็กก่อนวัยรุ่น
briand,บริแอนด์
streeter,สตรีเตอร์
accra,อักกรา
rebreather,เครื่องช่วยหายใจ
wingmen,วิงแมน
orfeo,ออร์เฟโอ
psu,พีเอสยู
yapper,อ้าปากค้าง
glamourous,มีเสน่ห์
thumbprints,ลายนิ้วมือ
jac,แจ็ค
widgeon,วิจเจียน
bluefish,ปลาบลูฟิช
broadminded,เปิดใจกว้าง
tomislav,โทมิสลาฟ
blanton,แบลนตัน
vaal,วาอัล
vexes,น่ารำคาญ
chicanos,ชิคาโน
allerton,อัลเลอร์ตัน
bh,บีเอช
vira,วีร่า
niacin,ไนอะซิน
anti-semites,พวกต่อต้านยิว
annecy,อานซี
bidi,บีดี
ush,อุช
ios,ไอโอเอส
hyping,การโฆษณาเกินจริง
kefir,เคฟีร์
aan,อาน
revitalization,การฟื้นฟู
peretz,เพเร็ตซ์
cabman,คนขับรถแท็กซี่
armbruster,อาร์มบรูสเตอร์
wayfarer,นักเดินทาง
rusticated,เรียบง่าย
guardroom,ห้องยาม
mayotte,มายอตต์
cultivates,เพาะปลูก
grenville,เกรนวิลล์
thousandfold,พันเท่า
cardiogram,คาร์ดิโอแกรม
unhinge,หลุดออก
urania,ยูราเนีย
snowstorms,พายุหิมะ
townley,ทาวน์ลีย์
baccalaureate,ปริญญาตรี
breakdance,เบรกแดนซ์
bellwether,เบลล์เวทเธอร์
cannibalize,กินเนื้อพวกเดียวกัน
cashiered,แคชเชียร์
perforating,การเจาะ
partook,มีส่วนร่วม
muffed,สะเปะสะปะ
intermingled,ผสมผสาน
post-coital,หลังมีเพศสัมพันธ์
thir,ที่สาม
crocheting,การถักโครเชต์
davor,ดาวอร์
fairweather,คนชอบอากาศดี
cambria,แคมเบรีย
characterizes,ลักษณะเฉพาะ
ois,โออิส
headcount,จำนวนหัว
lunging,การพุ่งตัว
participle,คำกริยาไม่แท้
assiduously,ขยันหมั่นเพียร
tiepolo,ตีเอโปโล
ague,ไข้มาลาเรีย
funning,ฟันนิ่ง
handsomeness,ความหล่อเหลา
cost-cutting,การลดต้นทุน
osteosarcoma,มะเร็งกระดูกชนิดออสทีโอซาร์โคมา
kalil,คาลิล
pavone,ปาโวน
brickell,บริคเคลล์
bridgework,งานสะพาน
recycler,ผู้รีไซเคิล
tako,ทาโกะ
irst,แรก
telegraphing,การส่งโทรเลข
gavotte,กาโวต์
durex,ดูเร็กซ์
rerouting,การเปลี่ยนเส้นทาง
disarms,ปลดอาวุธ
biogenic,ชีวภาพ
e-commerce,อีคอมเมิร์ซ
oversea,ต่างประเทศ
unitarian,ยูนิทาเรียน
irretrievable,ไม่สามารถเรียกคืนได้
puzzlement,ความงุนงง
tangents,เส้นสัมผัส
recreates,สร้างใหม่
self-supporting,พึ่งพาตนเองได้
cayo,cayo
barbwire,ลวดหนาม
barbells,บาร์เบล
demonology,ปีศาจวิทยา
dinkins,ดิงกินส์
mapuche,มาปูเช่
kaliningrad,คาลินินกราด
sartorius,ซาร์โทเรียส
squealers,คนชอบฟ้อง
runners-up,รองชนะเลิศ
snowblower,เครื่องเป่าหิมะ
mome,โมเม
arguable,โต้แย้งได้
illusionary,ภาพลวงตา
appia,แอปเปีย
simplification,การทำให้ง่ายขึ้น
forza,ฟอร์ซ่า
jerker,คนกระตุก
ashikaga,อาชิกากะ
verbose,วกวน
sande,แซนเด
goddaughter,ลูกสาวทูนหัว
preseason,ช่วงปรีซีซั่น
tender-hearted,ใจอ่อนโยน
scampered,วิ่งเหยาะๆ
unk,อันค์
interrogates,สอบสวน
masseurs,หมอนวด
hampering,ขัดขวาง
outdated,ล้าสมัย
thinness,ความผอม
overwrite,เขียนทับ
scrunchies,ยางรัดผม
defibrillate,กระตุ้นหัวใจด้วยไฟฟ้า
cromer,โครเมอร์
sicked,ป่วย
pensioned,บำนาญ
lujan,ลูจาน
demonically,อย่างปีศาจ
keach,คีช
red-carpet,พรมแดง
skyhawk,สกายฮอว์ก
chastisement,การลงโทษ
imac,ไอแมค
careen,เท่
rectification,การแก้ไข
arq,อาร์ค
ascher,แอสเชอร์
klotz,คลอตซ์
cantonment,ฐานทัพ
equalized,เท่ากัน
scrimped,ประหยัด
phone-in,โทรศัพท์เข้ามา
banalities,เรื่องธรรมดาๆ
malan,มาลัน
smallwood,ไม้เล็ก
languedoc,ล็องก์ด็อก
e2,อี2
hog-tie,มัดหมู
bookkeeper,พนักงานบัญชี
imaged,ถ่ายภาพ
direst,ตรงที่สุด
astoundingly,น่าทึ่งมาก
swashbuckler,นักดาบผจญภัย
piaget,ปิอาเจต์
compounder,คอมพาวเดอร์
sry,ขอโทษ
inchworm,หนอนคืบ
biv,บิฟ
dni,ดีเอ็นไอ
shanties,กระท่อม
warbird,นกนักรบ
diocesan,สังฆมณฑล
lynchburg,ลินช์เบิร์ก
fukuyama,ฟุกุยามะ
guntur,กุนตูร์
nail-biting,ลุ้นระทึก
arran,อาร์รัน
globus,โกลบัส
shart,ชาร์ท
profitably,อย่างมีกำไร
leveller,เครื่องปรับระดับ
takata,ทากาตะ
treadmills,เครื่องวิ่ง
teg,เต็ก
titter,เสียงหัวเราะคิกคัก
locky,ล็อคกี้
whitsun,วิทซัน
packhorse,ม้าบรรทุกสัมภาระ
teruel,เตรูเอล
pigeonholed,จัดหมวดหมู่
vortexes,กระแสน้ำวน
nonspecific,ไม่เฉพาะเจาะจง
invertebrate,สัตว์ไม่มีกระดูกสันหลัง
multicolored,หลากสี
palpitation,ใจสั่น
ligation,การผูก
irritations,อาการระคายเคือง
sachsenhausen,ซัคเซินเฮาเซน
plies,ชั้น
personify,บุคคล
bronchi,หลอดลม
accented,เน้นเสียง
daemons,ปีศาจ
familiarized,คุ้นเคย
matzah,มัตซาห์
temperaments,อารมณ์
snorkelling,ดำน้ำตื้น
paperbacks,หนังสือปกอ่อน
goatskin,หนังแพะ
swinish,เหมือนหมู
porkpie,พายหมู
pancaked,แพนเค้ก
knebworth,เนบเวิร์ธ
griffey,กริฟฟีย์
rotherham,รอเธอร์แฮม
cronk,โครนก์
brenton,เบรนตัน
de-stress,คลายเครียด
artilleryman,พลปืนใหญ่
tgif,tgif
straightener,เครื่องหนีบผม
raiment,เครื่องนุ่งห่ม
cementing,การอัดซีเมนต์
obnoxiously,อย่างน่ารังเกียจ
rohm,โรห์ม
thwaites,ธเวทส์
ecru,สีครีม
jone,โจนส์
cometary,ดาวหาง
brianne,ไบรอันน์
brawlers,นักสู้
link-up,การเชื่อมต่อ
eyeholes,ช่องมอง
single-parent,ผู้ปกครองคนเดียว
fite,ไฟท์
mackin,แม็คคิน
vegetarianism,มังสวิรัติ
lma,แอลมา
dependability,ความน่าเชื่อถือ
strafed,ถูกยิงกราด
albano,อัลบาโน
sealer,ซีลเลอร์
booboos,บูบูส์
self-starter,ริเริ่มด้วยตนเอง
redcap,หมวกแดง
transitive,สกรรมกริยา
oscillate,แกว่ง
riveter,ช่างตอกหมุด
marbling,ลายหินอ่อน
spangle,เลื่อม
bengals,เบงกอล
racialist,เหยียดเชื้อชาติ
joly,ดีใจ
legalised,ถูกกฎหมาย
gestational,การตั้งครรภ์
odense,โอเดนเซ่
lugubrious,เศร้าโศก
straightly,โดยตรง
suda,ซูดา
cermak,เซอร์มัก
profuse,มากมาย
high-low,สูง-ต่ำ
shipshape,เรียบร้อย
sancta,ศักดิ์สิทธิ์
mollusc,หอย
unreleased,ยังไม่เผยแพร่
countersuit,การฟ้องกลับ
objectification,การทำให้เป็นวัตถุ
brooded,ครุ่นคิด
datin,เดทติน
belling,กระดิ่ง
barkeeper,บาร์เทนเดอร์
respectably,อย่างน่านับถือ
gome,โกเม
thornburg,ธอร์นเบิร์ก
noncommissioned,ไม่ได้รับมอบหมาย
ablation,การทำลายเนื้อเยื่อ
monta,มอนตา
spattering,การกระเด็น
cryptogram,รหัสลับ
dera,เดร่า
sidetrack,เบี่ยงเบน
stumping,การตัดตอ
jinan,จินาน
plantar,ฝ่าเท้า
refire,ยิงซ้ำ
pre-christian,ก่อนคริสต์ศาสนา
four-wheeler,รถสี่ล้อ
blackish,สีดำคล้ำ
macbook,แมคบุ๊ก
afl,เอเอฟแอล
impulsiveness,ความหุนหันพลันแล่น
winder,เครื่องกว้าน
jodhpurs,กางเกงจ็อดเพอร์
supercomputers,ซูเปอร์คอมพิวเตอร์
bastide,บาสตีด
riggers,ช่างติดตั้ง
stepbrothers,พี่น้องต่างพ่อต่างแม่
plateful,จาน
sandys,แซนดี้ส์
free-form,รูปแบบอิสระ
pex,เพ็กซ์
elitism,ชนชั้นสูง
whetstone,หินลับมีด
tabla,ตับลา
inaccuracy,ความไม่ถูกต้อง
rip-roaring,เสียงดังสนั่น
annunziata,อันนุนซิอาตา
nimbly,คล่องแคล่ว
striping,การตีเส้น
septicaemia,ภาวะติดเชื้อในกระแสเลือด
scratchers,ขูด
freeport,ฟรีพอร์ต
halogen,ฮาโลเจน
ql,คิวแอล
cmp,ซีเอ็มพี
faroe,หมู่เกาะแฟโร
misquote,อ้างผิด
rabelais,ราเบเลส์
izzard,พิซซ่า
blinkered,มองแคบ
pulseless,ไม่มีชีพจร
twenty-fifth,ยี่สิบห้า
barest,เปลือยเปล่าที่สุด
staycation,พักผ่อนในประเทศ
terminators,เทอร์มิเนเตอร์
backstairs,บันไดหลังบ้าน
misjudging,ตัดสินผิดพลาด
deaden,ทำให้ชา
pestilent,โรคระบาด
nilo,นิโล
civil-rights,สิทธิพลเมือง
wowing,ว้าว
mentee,ผู้รับการฝึกฝน
ubuntu,อูบันตู
dugdale,ดักเดล
palimpsest,ปาลิมเซสต์
eliott,เอลิออตต์
vertex,จุดยอด
full-out,เต็มที่
partiality,ความลำเอียง
name-brand,ยี่ห้อดัง
blue-ribbon,ริบบิ้นสีน้ำเงิน
standins,ตัวแทน
tatler,แทตเลอร์
thana,ธานา
suffix,คำต่อท้าย
toque,หมวกไหมพรม
piedra,ปิเอดรา
sampras,สัมปรา
hibernated,จำศีล
badal,บาดาล
radicchio,ราดิชชิโอ
telegraphs,โทรเลข
townsman,ชาวเมือง
entente,เอ็นเทนเต้
peronist,เปโรนิสต์
tehachapi,เทฮาชาปี
minor-league,ลีกรอง
bamako,บามาโก
kuna,คูนา
hurtled,พุ่งทะยาน
nunavut,นูนาวุต
marimba,มาริมบา
breadcrumb,เศษขนมปัง
upstair,ชั้นบน
chacon,ชาคอน
enliven,ทำให้มีชีวิตชีวา
burnet,เบอร์เน็ต
mccreary,แมคครีรี
wallen,วอลเลน
levesque,เลเวสค์
bullfrogs,กบวัว
steadied,มั่นคงขึ้น
artesian,น้ำบาดาล
epically,อย่างยิ่งใหญ่
interfaced,อินเทอร์เฟซ
choses,เลือก
reflexology,การนวดฝ่าเท้า
recapitulate,สรุป
blowy,ลมแรง
marm,มาร์ม
cameos,บทรับเชิญ
organisational,องค์กร
nighter,ไนท์เตอร์
offloaded,ขนถ่ายออก
porcine,หมู
blau,สีน้ำเงิน
payphones,ตู้โทรศัพท์สาธารณะ
ibbotson,อิบบอตสัน
posada,โพซาดา
rodham,ร็อดแฮม
blue-blooded,ผู้มีเชื้อสายสูง
undistinguished,ไม่โดดเด่น
understudies,ตัวสำรอง
buckteeth,ฟันเหยิน
anti-inflammatories,ยาต้านการอักเสบ
fireplug,ปลั๊กไฟ
health-food,อาหารเพื่อสุขภาพ
hypothesize,ตั้งสมมติฐาน
returnees,ผู้ที่เดินทางกลับมา
bejeweled,ประดับด้วยอัญมณี
fishtail,หางปลา
thuggish,อันธพาล
falconry,การฝึกเหยี่ยว
ath,ath
hough,ฮัฟ
huguenot,ฮิวเกนอต
fron,จาก
svenska,สเวนสกา
pestis,ศัตรูพืช
sashaying,เดินเฉิดฉาย
blackboards,กระดานดำ
basildon,บาซิลดอน
indochina,อินโดจีน
beane,ถั่ว
investiture,การแต่งตั้ง
crime-fighter,นักปราบปรามอาชญากรรม
toughs,คนแข็งแกร่ง
bucktooth,ฟันยื่น
askari,อัสการี
inverting,การกลับด้าน
sert,เซอร์
breaky,อาหารเช้า
accordionist,นักเล่นแอคคอร์เดียน
zygote,ไซโกต
voc,โวค
vang,วัง
salutary,เป็นประโยชน์
drin,เครื่องดื่ม
high-yield,ผลผลิตสูง
co-hosting,การร่วมเป็นเจ้าภาพ
holey,รูพรุน
latigo,ลาติโก
prepositions,คำบุพบท
barrera,บาร์เรรา
swimming-pool,สระว่ายน้ำ
kneaded,นวด
waterfowl,นกน้ำ
vasari,วาสารี
ridgewood,ริดจ์วูด
blanchet,บลองเชต์
benefitting,ได้รับประโยชน์
paddocks,ทุ่งหญ้า
nansen,นันเซ็น
fica,ฟิก้า
pompano,ปอมปาโน
recombine,รวมใหม่
hobgoblins,ฮอบก็อบลิน
devaney,เดวานีย์
sycophantic,คนประจบสอพลอ
norwalk,นอร์วอล์ค
hasdrubal,ฮาสดรูบัล
sportive,สปอร์ต
bava,บาว่า
shootouts,การยิงต่อสู้
mackinaw,แมคคินาว
incredulity,ความไม่เชื่อ
towpath,ทางเดินริมคลอง
dmx,dmx
nabisco,นาบิสโก้
baia,ไบอา
subsystem,ระบบย่อย
exultation,ความปีติยินดี
opals,โอปอล
brutalize,ทำร้ายร่างกาย
brannon,แบรนนอน
marcuse,มาร์คัส
gilpin,กิลปิน
word-for-word,คำต่อคำ
eyewear,แว่นตา
fluency,ความคล่องแคล่ว
overpay,จ่ายเกินไป
medi,มีดี
armor-plated,หุ้มเกราะ
by-pass,ทางเลี่ยง
yare,ยาเร
roseland,โรสแลนด์
pectorals,กล้ามเนื้อหน้าอก
arrhythmias,ภาวะหัวใจเต้นผิดจังหวะ
unionized,สหภาพแรงงาน
saturnalia,ซาเทอร์นาเลีย
sca,สกา
crabgrass,หญ้าปู
pwd,พีดับบลิวดี
whosever,ใครก็ตาม
kase,คาเซะ
perjurer,ผู้ให้การเท็จ
chaffing,การเสียดสี
ldl,แอลดีแอล
distilleries,โรงกลั่น
whelk,หอยทาก
runic,รูนิก
lynchings,การรุมประชาทัณฑ์
xviii,18
unhappiest,คนที่ไม่มีความสุขที่สุด
sputter,พ่นออกมา
shakespearian,เชกสเปียร์
fallacies,ความเข้าใจผิด
t2,ที2
goopy,เหนียวหนึบ
shiites,ชีอะห์
gip,จิป
pistol-whip,แส้ปืน
echoey,เสียงสะท้อน
satchels,กระเป๋าถือ
ioc,ไอโอซี
embellishments,การตกแต่ง
blooey,เลือดสาด
inversely,ในทางกลับกัน
belisarius,เบลิซาริอุส
roughs,ภาพร่าง
orangey,สีส้ม
cobbett,คอบเบตต์
zellweger,เซลล์เวเกอร์
meditates,ทำสมาธิ
engenders,ก่อให้เกิด
motioned,เคลื่อนไหว
scuba-diving,การดำน้ำลึก
heliotrope,เฮลิโอโทรป
ranker,แรงเกอร์
pfeffer,เพฟเฟอร์
jacobin,จาโคบิน
overheats,ร้อนเกินไป
styrene,สไตรีน
intoxicants,สารเสพติด
crofts,คราฟต์
battenberg,บัตเทนเบิร์ก
hemsworth,เฮมส์เวิร์ธ
mujahid,มูจาฮิด
touch-ups,การปรับแต่ง
stanchion,เสาหลัก
obliquely,เฉียง
mottola,มอตโตลา
unpaved,ถนนลูกรัง
fishhook,เบ็ดตกปลา
ligatures,การเชื่อม
bul,บูล
vernal,ฤดูใบไม้ผลิ
sako,ซาโกะ
sedating,ทำให้สงบ
heartrending,สะเทือนใจ
honeymooned,ฮันนีมูน
swigs,จิบ
wineglass,แก้วไวน์
shaanxi,ฉานซี
bloodletting,การเจาะเลือด
hybridization,การผสมพันธุ์
deadpool,เดดพูล
kingsbury,คิงส์เบอรี
refusals,การปฏิเสธ
lunsford,ลันส์ฟอร์ด
nail-biter,คนชอบกัดเล็บ
cornerback,กองหลัง
country-club,คันทรีคลับ
jackknifed,พับงอ
keizer,ไคเซอร์
tosi,โทซี
nonexistence,การไม่มีอยู่จริง
arrowsmith,ช่างทำลูกศร
schacht,ชัคท์
encapsulate,ห่อหุ้ม
self-driving,การขับขี่อัตโนมัติ
rockabye,ร็อคอะบาย
worryingly,น่าเป็นห่วง
coagulant,สารทำให้แข็งตัว
triplett,ทริปเพล็ตต์
macmurray,แมคเมอร์เรย์
frazzle,ชำรุด
panko,ปังโกะ
homogenized,ทำให้เป็นเนื้อเดียวกัน
phylum,ไฟลัม
lilas,ไลลา
tempos,จังหวะ
reggaeton,เร็กเกตัน
octogenarian,ผู้สูงอายุแปดสิบปี
shutdown,การปิดระบบ
rostock,รอสต็อก
encryptions,การเข้ารหัส
beautifying,การทำให้สวยงาม
eiderdown,ขนเป็ด
replays,รีเพลย์
polluters,ผู้ก่อมลพิษ
glenlivet,เกลนลิเวต
blabbers,คนพูดมาก
kudzu,เถาคุดซู
rousting,การขับไล่
multidimensional,หลายมิติ
skipjack,ปลาทูน่าครีบเหลือง
healings,การรักษา
antipodes,แอนติโพดส์
rovira,โรวิรา
rsd,อาร์เอสดี
rosenblum,โรเซนบลูม
afton,แอฟตัน
extrapolation,การคาดการณ์ล่วงหน้า
leftovers,อาหารเหลือ
blok,บล็อก
nayar,นายาร์
katzenjammer,แคทเซนแจมเมอร์
bioengineering,วิศวกรรมชีวภาพ
rahu,ราหู
elixirs,ยาอายุวัฒนะ
spoony,ช้อน
wigmore,วิกมอร์
strutted,ค้ำยัน
tight-fitting,กระชับพอดี
compartmented,แบ่งเป็นช่องๆ
self-destructed,ทำลายตัวเอง
postmarks,ตราประทับไปรษณีย์
avidly,อย่างกระตือรือร้น
outcrops,หินโผล่
mistreats,ปฏิบัติอย่างไม่เหมาะสม
padraig,แพดริก
misanthropic,เกลียดมนุษย์
winwood,วินวูด
remixed,รีมิกซ์
utilised,ใช้ประโยชน์
economise,ประหยัด
huta,ฮูตา
harrah,ฮาร์ราห์
inclines,ทางลาด
gimbel,กิมเบล
stalagmites,หินงอก
broadhurst,บรอดเฮิร์สต์
griner,คนยิ้ม
nucleotide,นิวคลีโอไทด์
well-cooked,สุกดี
kurth,เคิร์ธ
disseminating,การเผยแพร่
sacchi,ซัคคี
cbe,ซีบี
egremont,เอเกรมอนต์
splendors,ความงดงาม
mee-maw,มี-มาว
kiernan,เคียร์แนน
gimli,กิมลี
adipose,ไขมัน
icebreaker,น้ำแข็งละลาย
photosensitive,ไวต่อแสง
hyperthermia,ภาวะอุณหภูมิสูง
sumit,สุมิต
gratuities,ทิป
barnier,บาร์เนียร์
headley,เฮดลีย์
vicuna,วิคูนา
begrudgingly,อย่างไม่เต็มใจ
pinson,พินสัน
glossed,เคลือบเงา
mazatlan,มาซาตลัน
redistricting,การแบ่งเขตเลือกตั้งใหม่
undersold,ขายต่ำกว่าราคา
sarawak,ซาราวัก
placerville,พลาเซอร์วิลล์
longhouse,บ้านยาว
decentralized,กระจายอำนาจ
albus,อัลบัส
psychopathology,จิตพยาธิวิทยา
fabia,ฟาเบีย
kikuyu,คิคูยู
overachieving,การประสบความสำเร็จเกินเป้าหมาย
sarno,ซาร์โน
tetrazzini,เตตราซซินี
timecard,บัตรลงเวลา
cypresses,ต้นไซเปรส
wre,แวร์
bsa,บีเอสเอ
principia,ปรินซิเปีย
khadi,ผ้าคอตตอนทอมือ (khadi)
inset,ภาพแทรก
wykeham,ไวค์แฮม
pdas,พีดีเอ
bekker,เบคเกอร์
palefaces,หน้าซีด
gehry,เกห์รี
sheedy,ชีดี้
bummers,แย่จัง
cns,ซีเอ็นเอส
gse,จีเอสอี
baphomet,บาโฟเมต
mullahs,มุลลาห์
queensbury,ควีนส์เบอรี
emulated,เลียนแบบ
splotches,รอยเปื้อน
overrunning,วิ่งเกิน
fleshed,เนื้อ
angelico,แองเจลิโก้
redeployment,การโยกย้ายตำแหน่ง
cleaving,การแยกออก
woodburn,ไฟไหม้ไม้
cockalorum,ค็อกคาลอรัม
fettered,ถูกพันธนาการ
half-track,รถลำเลียงพลครึ่งสายพาน
cross-validation,การตรวจสอบแบบไขว้
amable,ใจดี
guesstimate,ประมาณการ
chepstow,เชปสโตว์
wallowed,จมน้ำ
notaries,ทนายความ
stirrer,เครื่องกวน
yeomen,โยเมน
politicos,นักการเมือง
vivacity,ความมีชีวิตชีวา
ecchymosis,รอยช้ำ
queenstown,ควีนส์ทาวน์
flix,ฟลิกซ์
stengel,สเตงเกล
ad-libbing,การด้นสด
put-up,ติดตั้ง
socio,สังคม
lra,แอลรา
assignations,การนัดหมาย
grandfather,คุณปู่
astrodome,แอสโทรโดม
klutzy,ซุ่มซ่าม
toothed,ฟัน
okays,โอเค
mox,ม็อกซ์
manoeuvred,เคลื่อนย้าย
waitlist,รายชื่อผู้รอ
walleye,วอลอาย
doorjamb,วงกบประตู
unbowed,ทุรนทุราย
scourged,ถูกเฆี่ยนตี
parti,ปาร์ตี้
co-parent,พ่อแม่ร่วม
deferential,เคารพ
loughlin,ลอฟลิน
moneyed,ร่ำรวย
picklock,ขโมย
tsk-tsk,แย่จัง
malus,มาลัส
fed-up,เบื่อหน่าย
realignment,การปรับแนวใหม่
bullshitted,ไร้สาระ
proles,ชนชั้นล่าง
undemocratic,ไม่เป็นประชาธิปไตย
coupes,รถคูเป้
vice-consul,รองกงสุล
pynchon,พินชอน
quinta,ควินต้า
kindles,จุดประกาย
ppd,พีพีดี
wizened,เหี่ยวย่น
destabilization,ความไม่เสถียร
hutter,ฮัตเตอร์
codified,เข้ารหัส
leben,เลเบน
gerlach,เกอร์ลาค
fisch,ปลา
countesses,เคาน์เตส
