you,ты
bedstead,кровать
bidets,биде
firebombs,зажигательные бомбы
arabians,арабы
bluebottle,голубая муха
braless,без бюстгальтера
chirrup,чириканье
reconfirmed,подтверждено
handhold,рукоятка
kron,крон
kookie,куки
gorden,горден
mannerism,манерность
debilitated,ослабленный
foodies,гурманы
eme,эме
liquefies,разжижается
cafeterias,кафетерии
interceptions,перехваты
hollie,Холли
burd,бурд
dixons,Диксоны
kariya,кария
hussey,Хасси
thorney,шип
summonses,повестки
wallah,клянусь Аллахом
thwacks,удары
scherer,шерер
concisely,кратко
sherrington,Шеррингтон
constanze,констанце
rol,рол
leopard-skin,леопардовая шкура
cotten,хлопок
diaphragmatic,диафрагмальный
oinks,хрюкать
whitten,побелить
tlingit,тлингит
memoranda,меморандумы
bhatti,бхатти
egg-white,яичный белок
pritch,прич
two-sided,двусторонний
andromache,Андромаха
perspicacity,проницательность
fourthly,в-четвертых
sequestering,секвестрация
hard-to-reach,труднодоступный
principe,принцип
mickle,милке
penetrator,проникающий
eking,кинг
fishmongers,торговцы рыбой
hardcase,жесткий кейс
lemoyne,лемойн
narmada,Нармада
adelman,адельман
sharjah,Шарджа
self-described,самопровозглашенный
dark-colored,тёмного цвета
despairs,отчаяние
necessitated,необходимый
brights,яркие
slumbered,дремал
vagueness,неопределенность
ataxia,атаксия
spd,спд
senors,сеньоры
silkwood,шелковое дерево
consequential,последствия
granton,грантон
embarrassments,неловкие ситуации
headhunted,переманенный
cheapens,удешевляет
think-tank,аналитический центр
iras,ирас
malleus,молоточек
beaman,Биман
woodcocks,вальдшнепы
futurity,будущее
vosper,vosper
platonically,платонически
creepy-crawlies,ползучие твари
leverett,Леверетт
toccata,токката
negating,отрицание
wheelock,колесный замок
soundness,здравость
bohunk,бохунк
requiescat,покойся
postproduction,постпродакшн
impotency,импотенция
albumin,альбумин
tractor-trailer,тягач с прицепом
hornpipe,хорнпайп
majdanek,майданек
palmistry,хиромантия
scuffing,царапины
komo,комо
zeit,цейт
kipp,кипп
generalizations,обобщения
shivery,дрожащий
telecoms,телекоммуникации
melia,мелия
vra,вра
bellicose,воинственный
materialists,материалисты
ariake,ариаке
toombs,тумбс
buttes,холмы
snowdonia,Сноудония
tootles,тутлс
al-qaida,аль-Каида
contributory,вклад
twe,два
drooped,поникший
jumpstarted,пусковой запуск
binny,бинни
moorpark,Мурпарк
biathlon,биатлон
mcwilliams,Маквиллиамс
complexions,цвет лица
dance-hall,танцевальный зал
nihil,нигил
lungfish,двоякодышащая рыба
babby,малыш
paramecium,парамеций
lifetime,продолжительность жизни
pestilential,чумной
orientations,ориентации
appointees,назначенные
hurtado,хартадо
teashop,чайная
emos,эмос
dibber,диббер
brigg,Бригг
casal,случайный
subscribing,подписка
suribachi,Сурибати
nembutal,нембутал
intriguingly,интригующе
barger,баргер
welsher,валерианец
leprous,прокаженный
yearlings,годовалых
dykstra,дикстра
gustavus,Густав
untrusting,недоверчивый
redact,редактировать
mid-way,на полпути
crabmeat,крабовое мясо
hellraiser,адский хулиган
rejuvenates,омолаживает
mitsui,Мицуи
javelins,копья
ignoramuses,невежды
intermix,смешивать
unifies,объединяет
beebee,пчелка
permanganate,перманганат
evocation,вызывание
maloof,Малуф
otway,Отвей
time-release,замедленного действия
foreknowledge,предвидение
snowbird,снежная птица
dovey,голубка
unblinking,немигающий
garrisoned,размещенный в гарнизоне
bistros,бистро
depressives,депрессивные
corven,корвен
quintuple,пятикратный
magdala,магдала
dickman,Дикман
discotheques,дискотеки
takaoka,такаока
plz,пожалуйста
breakouts,вспышки
antiperspirant,антиперспирант
graphical,графический
noway,ни за что
downdraft,нисходящий поток
dns,dns
abhorrence,отвращение
firefights,перестрелки
compline,вечерняя молитва
picayune,пикаюн
grandfathered,дедушка
sloppily,небрежно
straitjackets,смирительные рубашки
ensor,датчик
grimsley,Гримсли
athenaeum,афинеум
heth,здоровье
lindner,Линднер
spurted,выплеснулся
revelatory,откровение
mccarthyism,маккартизм
mantell,мантелл
twirly,кружащийся
usi,уси
fairing,обтекатель
boyko,бойко
rabble-rousing,подстрекательский
koop,куп
cortot,корто
neorealism,неореализм
tovar,товарищ
shroff,шрофф
wiebe,Вибе
kars,карс
alvar,альвар
ironwood,железное дерево
befouled,загрязненный
unfeasible,нецелесообразно
pinscher,пинчер
yamanashi,яманаси
schlemiel,шлемиль
gorp,горп
voisin,voisin
hereabout,поблизости
reformat,переформатировать
de-escalate,деэскалация
guilting,чувство вины
standouts,выдающиеся
snubs,пренебрежение
freakier,более странный
inka,инка
mused,размышлял
liger,лигер
walkover,легкая победа
tranquillizers,транквилизаторы
onomatopoeia,ономатопея
bettor,игрок
atef,атеф
underpinnings,основы
aftercare,последующий уход
apple-pie,яблочный пирог
dishpan,тарелка
high-tension,высоковольтный
guillen,гильен
botheration,беспокоя
powe,мощность
weisman,Вайсман
kelleher,келлехер
elaboration,разработка
omega-3,омега-3
sackful,мешок полный
kerf,пропил
hurdling,преодоление препятствий
availing,входящий
hobbyists,любители
foully,отвратительный
drabs,труты
betroth,помолвка
scorches,ожоги
questioner,задающий вопрос
personne,персонал
elwell,Элвелл
speciale,специальный
parce,парсе
syllogism,силлогизм
bradlee,Брэдли
brisson,бриссон
tows,буксировки
pois,горох
fim,фим
spay,удалять яичники
cataclysms,катаклизмы
liveable,пригодный для жизни
multiplayer,многопользовательский режим
gauged,измеренный
iselin,Изелин
montoneros,монтонерос
babylonia,Вавилония
riis,риис
abajo,абаджо
mayhap,возможно
uptempo,быстрый темп
ftp,ftp
expeditious,оперативный
cuerpo,тело
corroborative,подтверждающий
caudillo,каудильо
adu,аду
wulff,Вульф
sull,солл
slants,наклоны
washer-dryer,стирально-сушильная машина
hatters,шляпники
agonal,агональный
besmirching,осквернение
strad,страд
forewarning,предупредить
rida,рида
edta,эдта
muddying,загрязнение
peninsular,полуостровной
balmain,бальмен
folie,фоли
blewett,блюэтт
arm-twisting,выкручивание руки
burghley,Бургли
trimmers,триммеры
preoccupations,заботы
occultism,оккультизм
quaff,пить
sindhi,синдхи
acetylcholine,ацетилхолин
ptolemaic,птолемеевский
secor,секор
psychical,психический
condensers,конденсаторы
supplementing,дополнение
showstopping,потрясающий
verneuil,Верней
acu,аку
fala,фала
tannin,дубильные вещества
offsite,вне офиса
verisimilitude,правдоподобие
gigahertz,гигагерц
stargazers,звездочеты
chucklehead,болван
hqs,штаб-квартиры
disappointingly,к сожалению
investigatory,следственный
lary,лари
parkside,парксайд
big-budget,большой бюджет
placating,умиротворение
hirschfeld,Хиршфельд
fatimah,Фатима
atr,атр
epidemiology,эпидемиология
waveform,форма волны
shriveling,увядающий
mazar,мазар
pana,пана
desiccation,высыхание
samoans,самоанцы
textural,текстурный
umbilicus,пупок
munches,перекусы
chickamauga,чикамауга
besa,беса
jours,дни
paulin,Паулин
sires,отцы
gimbal,карданный подвес
afer,после
heaney,Хини
gyroscopic,гироскопический
thrashes,бьётся
mors,морс
ridiculousness,нелепость
scleroderma,склеродермия
trainload,поезд
mendacious,лживый
fomo,FOMO
krugman,кругман
hir,его
qaddafi,Каддафи
fragmenting,фрагментация
proprieties,свойства
gaillard,гайлард
martingale,мартингейл
opts,варианты
sickeningly,отвратительно
disorganization,дезорганизация
cavell,пещера
mahomet,Магомет
exfiltration,эксфильтрация
repped,представленный
slavering,слюнотечение
sherbert,щербет
interdict,запрет
underlies,базовые элементы
smelliest,самый вонючий
splotch,пятно
preppies,преппи
distinguishable,различимый
leaker,утечка
elongate,удлиненный
backchat,обратный чат
underpin,основа
spleens,селезенки
tintoretto,тинторетто
ayrshire,Эйршир
busman,автобусмен
nationhood,государственность
defecates,испражняется
flatterers,льстецы
gea,геа
downlink,нисходящий канал
coalfields,угольные месторождения
aerobatics,аэробатика
pre-planned,заранее спланированный
schultze,Шульце
enlightens,просвещает
freitas,фрейтас
paradigms,парадигмы
journos,журналисты
broch,брох
visualisation,визуализация
gorka,горка
joslyn,Джослин
durfee,дурфи
dworkin,дворкин
name-day,именины
aar,аар
faintness,слабоумие
self-realization,самореализация
battler,боец
pardners,партнеры
kreuzberg,Кройцберг
watling,плескание
copperheads,медянки
gentil,джентиль
creaked,скрипнул
handley,Хэндли
findley,Финдли
musial,музыкаль
pulsed,импульсный
tisa,тиса
crois,crois
peptic,пептический
drink-driving,вождение в нетрезвом виде
bizet,бизет
fant,фан
clearinghouse,клиринговый центр
gladius,гладиус
self-destructs,самоуничтожается
kerplunk,керплунк
picardy,пикардия
ifa,ифа
iaea,иеа
quatrains,четверостишия
sponged,губчатая
pushchair,коляска
tyrannosaur,тираннозавр
mousa,мышь
sotomayor,сотомайор
woodsmen,лесорубы
finalising,завершение
uefa,УЕФА
whiteface,белое лицо
antonello,Антонелло
reitz,Рейц
almanacs,альманахи
goodspeed,хорошая скорость
dinsmore,динсмор
manty,манти
traditionalists,традиционалисты
jitter,дрожание
up-and-down,вверх-вниз
gonad,гонада
bankable,банковский
rajputs,раджпуты
immunosuppressants,иммуносупрессанты
resuscitating,реанимация
lamy,ламин
bight,бухта
rameau,Рамо
biannual,раз в два года
newspeak,новояз
two-wheeler,двухколесный
rimmed,с окаймленным
stiffly,жестко
outwitting,перехитрить
categorise,категоризировать
heartlessly,бессердечно
henrich,Генрих
fha,фха
pir,пир
begrudging,неохотно
miron,мирон
cunliffe,Канлифф
abcd,абкд
collet,цанга
bromfield,Бромфилд
persuasions,убеждения
cardholder,держатель карты
mummify,мумифицировать
fermo,фермо
dw,дв
francia,Франция
jammu,Джамму
perrot,перрот
akureyri,акурейри
undiminished,не уменьшен
tgv,tgv
laureates,лауреаты
forrestal,Форрестал
single-engine,одномоторный
businessperson,бизнесмен
deemer,димер
ptomaine,трупный яд
wastewater,сточные воды
alcoa,алкоа
heartened,воодушевленный
demonstrably,доказательно
hals,полус
maule,мауле
clothespin,прищепка
reentering,повторный вход
madura,мадура
cloverdale,Кловердейл
phonetics,фонетика
abubakar,Абубакар
revell,веселиться
zealander,фанатик
toughening,упрочнение
diagonals,диагонали
circumventing,обход
wimmer,виммер
logarithm,логарифм
freebase,freebase
seguin,сегуин
chlorpromazine,хлорпромазин
ampicillin,ампициллин
thronged,толп
coloureds,цветные
smartened,умный
fallacious,ошибочный
assembler,ассемблер
viner,виноград
kreplach,креплах
boardrooms,залы заседаний
plas,плазма
right-wingers,правых
breading,панировка
tinian,тиниан
equal-opportunity,равные возможности
hobnobs,хобнобы
nus,нус
non-white,не белый
oversensitive,чрезмерная чувствительность
clinching,схватка
perryman,перриман
tontine,тонтина
laneway,переулок
self-defeating,саморазрушительный
zuniga,зунига
mangas,манга
hardliners,сторонники жесткой линии
squier,сквайер
bruder,брат
flycatcher,мухоловка
pennock,пеннок
dickenson,Дикенсон
appreciable,значительный
duck-billed,утконосый
xd,ксд
oil-rich,богатый нефтью
reconquer,отвоевать
motorbike,мотоцикл
smudgy,размазанный
troutman,форелевый торговец
tamworth,Тамворт
obdurate,твердый
alienist,алиенист
diffraction,дифракция
saur,саур
deregulated,дерегулированный
tanga,танга
tripartite,трехсторонний
minutia,мелочи
ape-men,человекообразных обезьян
cleavers,тесаки
prehensile,хватательный
reata,реата
precession,прецессия
in-out,вход-выход
nationalisation,национализация
moralists,моралисты
protrusions,выступы
hot-wiring,зажигание
reddest,самый красный
stylistically,стилистически
convulse,судорога
borgen,борген
airburst,воздушный взрыв
allspice,душистый перец
airey,Эйри
goers,посетители
copiers,копировальные аппараты
andouille,андуй
blue-blood,аристократия
brussel,брюссельская капуста
eagan,Иган
caveats,оговорки
marquises,маркизы
pantywaist,талия колготок
antecedents,предшественники
fasteners,крепежные элементы
simenon,сименоном
gynaecology,гинекология
plazas,площади
dongguan,Дунгуань
pythias,пифиас
hrh,хрх
brakeman,тормозник
falsies,ложные
demeans,унижает
bad-mannered,невоспитанный
damiana,дамиана
thiamine,тиамин
shand,шанд
right-winger,правый
easiness,легкость
howes,хауэс
moralize,морализировать
long-eared,длинноухий
singeing,опаление
dropouts,отсевы
lucina,луцина
yj,yj
nystrom,нистром
topham,Топхэм
rills,ручейки
friel,фриэль
one-nighter,одну ночь
speirs,копья
lathan,латан
federalist,федералист
matera,матера
fluttery,трепещущий
ai-ling,больной
millstones,жернова
ionescu,ионеску
exasperate,раздраженный
marsalis,марсалис
otitis,отит
farthingale,фартингейл
adders,гадюки
couched,прислоненный
damnably,проклятый
oarsmen,гребцы
pmi,пми
singaporean,сингапурский
bringers,приносящие
technocrats,технократы
jailing,тюремное заключение
salto,сальто
meshed,сетчатый
kra,кра
foxed,фиксированный
mangano,мангано
unworthiness,недостойность
bagh,багх
wanamaker,wanamaker
edp,edp
ilias,Илия
roro,роро
solvable,разрешимый
blackfish,черная рыба
quonset,ангар
hatchbacks,хэтчбеки
experimenters,экспериментаторы
flip-flopping,непостоянство
handicapping,гандикап
desirability,желательность
carteret,Картерет
worthily,достойно
sagittal,сагиттальный
ceremonious,церемониальный
self-possessed,самообладающий
bahman,бахман
chid,ребенок
domesday,Книга Судного дня
non-functional,нефункциональный
flunkey,прихвостень
snowdrop,подснежник
sickroom,больничная палата
outgoings,расходы
ocher,охра
rationalizations,рационализации
sell-off,распродажа
silverberg,Сильверберг
cushioning,амортизация
gnp,gnp
humanitarians,гуманитарии
ogg,огг
tempter,искуситель
alberts,Альбертс
capsicum,стручковый перец
stepping-stone,ступенька
hoban,хобан
made-to-order,изготовлено на заказ
cpm,цпм
microseconds,микросекунды
materializes,материализуется
shamrocks,клевер
wolford,Волфорд
jacobus,якобус
fazes,фазы
inu,ину
powerhouses,энергетические центры
feted,празднованный
jewishness,еврейство
justicia,юстиция
nhk,нхк
mossman,моссман
nominally,номинально
zigzags,зигзаги
mechelen,Мехелен
msf,мсф
reentered,повторно вошел
railwayman,железнодорожник
beanies,шапки
deathwatch,смертельный дозор
yorke,Йорк
spg,спг
divvied,разделенный
stevia,стевия
agadir,агадир
trai,траи
corea,кореа
lowrie,Лоури
moonshiner,самогонщик
rosy-cheeked,румяные щеки
kenworth,Кенворт
clampdown,ужесточение мер
languorous,томный
crackled,потрескивал
phlebitis,флебит
osteoarthritis,остеоартрит
muniz,муниз
rubino,рубино
scheduler,планировщик
timestamp,метка времени
callosum,мозолистое
bedridden,прикованный к постели
cfr,cfr
hot-button,горячая кнопка
pharm,фарм
sarnia,Сарния
bole,жер
exothermic,экзотермический
south-southeast,юго-юго-восток
mammograms,маммограммы
forfend,препятствовать
maputo,Мапуту
galena,галенит
westie,вест-хайленд-терьер
myelin,миелин
pollsters,социологи
changs,изменения
manhater,манхетер
beechwood,буковая древесина
osh,ош
pepperdine,пеппердайн
holidaymakers,отдыхающие
pantoja,пантоха
penitents,кающиеся
ayden,Эйден
ritch,Рич
sharp-eyed,зоркий
naphthalene,нафталин
tinsmith,жестянщик
sadi,сади
resp,ответ
rectifier,выпрямитель
giller,гиллер
plebeians,плебеи
dressing-gown,халат
backstreets,задворки
rhythmical,ритмичный
oddness,странность
fingerless,без пальцев
nitpicking,придирчивость
phage,фаг
premenstrual,предменструальный
pre-set,предустановленный
legerdemain,фокусы
krafft,крафт
ejaculator,эякулятор
neman,неман
devastates,опустошает
ebro,Эбро
ampule,ампула
retool,переоснащение
chamberlains,камергеры
unenviable,незавидный
mey,май
noisiest,самый шумный
yachtsman,яхтсмен
pan-hellenic,панэллинский
adroit,ловкий
bucktoothed,торчащие зубы
vice-presidential,вице-президентский
zabaglione,сабайоне
prate,сутенер
counteracting,противодействующий
lengthens,удлиняет
fla,фла
auteuil,Отей
millikan,милликан
herbaceous,травянистый
dprk,dprk
embalmers,бальзамировщики
issuance,выпуск
franchisee,франчайзи
equivocation,двусмысленность
auto-rickshaw,авторикша
carbonation,карбонизация
widdy,видди
expansionist,экспансионистский
aif,аиф
oun,один
rocket-powered,ракетный
colonialists,колонизаторы
gowdy,Гоуди
geophysicist,геофизик
bombe,бомба
midmorning,середина утра
reaffirms,подтверждает
poh,пох
toiletry,туалетные принадлежности
cutoffs,отсечения
wive,жена
allemande,аллеманда
kuh,кух
hyp,гип
deeps,глубины
andong,андонг
limbering,разминка
loftier,более возвышенный
espadrilles,эспадрильи
oxcart,телега， запряженная волами
grandaddy,дедушка
hmos,хмос
mog,мог
loudness,громкость
warangal,варангал
hellbent,одержимый
touts,спекулянты
appalachians,Аппалачи
twining,переплетение
undervalue,недооценен
ansar,ансар
farrington,Фаррингтон
destructiveness,разрушительность
knesset,кнессет
genuflect,преклонить колени
grebe,поганка
nema,нема
indiscrete,нескромный
chuck-a-luck,чак-а-лак
groundlings,парящие в земле
hore,хоре
soldiered,солдат
estee,эсти
undershirts,майки
yarmulkes,ермолки
mula,мула
suny,солнечный
fanzine,фанзин
stickier,более липкий
playfair,плейфейр
cash-and-carry,кассовый и оптовый
phalange,фаланга
drubbing,избиение
emptor,покупатель
punchbowl,чаша для пунша
etu,эту
anglos,англос
straight-out,прямо
thigpen,тигпен
carn,карн
stinginess,скупость
navigates,навигирует
vukovar,вуковар
hypertrophy,гипертрофия
changsha,Чанша
abraded,истирание
ennoble,облагодетельствовать
hudgens,Хадженс
gifu,гифу
re-test,повторное тестирование
cowpokes,ковбои
evisceration,потрошение
desantis,десантис
boac,боак
dx,декс
foyt,фойт
pskov,псков
malodorous,зловонный
pushkar,Пушкар
kims,Кимс
borderland,пограничная зона
plautus,плавус
brickle,кирпич
sete,сет
yerevan,Ереван
donnybrook,Доннибрук
pattison,Паттисон
rosier,розье
parabellum,парабеллум
headdresses,головные уборы
deflation,дефляция
sported,спортивный
prize-giving,церемония награждения
ball-busting,издевательство над яичками
entitlements,права
shonen,сёнэн
dogfighting,собачьи бои
boilermakers,котельщикам
fuel-efficient,экономичный
sintra,синтра
blumenthal,Блюменталь
initialized,инициализировано
watermarks,водяные знаки
peeples,люди
leven,левен
expedience,целесообразность
archiving,архивирование
telegrapher,телеграфист
dockworkers,докеры
vocalization,вокализация
paducah,Падука
libidinous,похотливый
wale,кит
anguilla,ангилла
materializing,материализация
spreaders,разбрасыватели
beatlemania,битломания
remainders,остатки
ascertaining,установление
pentagrams,пентаграммы
caucuses,партийные собрания
sango,санго
arpeggio,арпеджио
scheffer,шеффер
palaeontologists,палеонтологи
breanna,Брианна
colossally,колоссально
cmb,cmb
exotics,экзотические
lesueur,lesueur
lumsden,лумсден
cladding,облицовка
bramley,Брэмли
gastroenterologist,гастроэнтеролог
serums,сыворотки
earth-shaking,сотрясающий землю
wap,wap
fertilisers,удобрения
coste,кост
nabors,домики
berton,бертон
re-use,повторное использование
pupillary,ученый
csl,csl
mult,много
ten-point,десять очков
recharges,пополнения
adjusters,оценщики
impairs,ухудшает
beany,бини
edmondson,Эдмондсон
ribeira,рибейра
deutscher,немецкий
meigs,Мейгс
newbold,ньюболд
capstan,лебедка
moga,мога
doral,дорал
conveyancing,оформление сделок с недвижимостью
all-expense,все расходы
festooned,украшенный
rechargeable,перезаряжаемый
destino,destino
hurr,хурр
imbecility,умственное слабоумие
lenten,пост
reimann,Рейман
herning,хернинг
widmer,видмер
kenilworth,Кенилворт
sonderkommando,sonderkommando
fusilier,фузилер
inimical,враждебный
jalopies,старые развалюхи
dull-witted,тупоголовый
callback,перезвонить
guanajuato,гуанахуато
grossness,отвратительность
piedras,пьедрас
chiding,ругать
double-barreled,двуствольный
profundity,глубина
carrefour,Каррефур
limpets,блюдечки
pha,фа
trembler,дрожащий
skinniest,самый худой
partings,расставания
plunderers,грабители
velodrome,велотрек
reevaluation,переоценка
ill-will,недоброжелательность
keelhaul,килхаул
enea,энеа
postnatal,послеродовой
chairlift,кресельный подъемник
a-fib,мерцательная аритмия
mockingbirds,пересмешники
bellew,Беллью
logbooks,судовые журналы
persecutes,преследует
hoag,хоаг
camshaft,распределительный вал
slipway,слип
pocketbooks,кошельки
unsporting,неспортивный
sella,селла
borek,борек
redemptive,искупительный
morison,морисон
goodby,прощай
licensee,лицензиат
ansley,Энсли
pepperidge,пепперидж
pugnacious,драчливый
kiss-off,поцелуй
vandalising,вандализм
kraal,крааль
burnished,полированный
reawakening,пробуждение
lahood,лахуд
bootblack,черный ботинок
dratted,чертов
perspex,плексиглас
perseid,персеиды
flournoy,флуорной
morts,морты
stonecutter,камнерез
insulates,изолирует
interviewees,респонденты
boyden,бойден
gianluigi,Джанлуиджи
off-the-wall,нестандартный
shive,шеве
chrono,хроно
avellino,Авеллино
heightening,повышение
irreverence,неуважение
korps,корпус
grammer,грамматика
wakefulness,бодрствование
transits,транзиты
air-condition,кондиционер
recusing,отвод
unbalance,дисбаланс
myocarditis,миокардит
lockets,медальоны
free-thinking,свободомыслие
jackhammers,отбойные молотки
dovecote,голубятня
hopwood,хмелевая древесина
giang,гианг
lingonberry,брусника
andresen,Андресен
free-throw,штрафной бросок
karis,Карис
almond-shaped,миндалевидной формы
snake-like,змееподобный
ahs,ахс
mid-june,середина июня
manstein,Манштейн
murs,мурс
immunoglobulin,иммуноглобулин
marcellin,марселлин
chickering,щебетание
aau,аау
patera,патера
leb,леб
sayles,Сейлз
hase,хасе
fissile,делящийся
roundness,округлость
antifungal,противогрибковое средство
denatured,денатурированный
hirsute,волосатый
stringers,стрингеры
corpulent,тучный
recommit,повторно подтвердить
soothsayers,прорицатели
merchantman,торговец
unacknowledged,непризнанный
seabass,морской окунь
dwarfish,карликовый
brutalizing,жестокое
extortionate,вымогательский
reichert,Райхерт
exultant,ликующий
abbotts,абботы
magistracy,магистратура
hade,хаде
floodlight,прожектор
timelessness,вневременность
godunov,Годунов
freedmen,освобожденные
conditionally,условно
nepean,Непиан
namibian,намибийский
shortwave,коротковолновый
tryon,Трайон
offhand,небрежно
preternatural,сверхъестественный
short-circuiting,короткое замыкание
svp,свп
shirkers,бездельники
fea,феа
guider,гид
furth,дальше
speedsters,скоростные ездовые животные
pleasantville,Плезантвилль
nebs,небс
cost-benefit,затраты-выгода
parliamentarians,парламентарии
firestarter,поджигатель
slickest,самый гладкий
marxist-leninist,марксистско-ленинистский
safford,Саффорд
houle,хоул
addi,адди
rums,ромы
adda,адда
oratorio,оратория
subcontracting,субподряд
three-wheeled,трехколесный
eteocles,этиоклы
herat,Герат
first-years,первокурсники
blow-dried,высушенный феном
assessors,оценщики
jep,японский
pauling,Поллинг
patt,патт
leafing,листообразование
high-hat,хай-хэт
pocatello,покателло
carbon-14,углерод-14
eratosthenes,эратосфен
samsun,самсун
honorarium,гонорар
toadies,жабы
bedspreads,покрывала
b-i-n-g-o,б-и-н-го
large-hearted,великодушный
word-of-mouth,сарафанное радио
big-band,биг-бэнд
respondents,респонденты
impermeable,непроницаемый
aurangzeb,аурангзеб
heavers,тяжеловесы
parisien,парижский
wun,вун
abramovich,Абрамович
pleyel,плейель
plurality,множество
repackaged,переупакованный
plame,плоская
alfano,альфано
renewables,возобновляемые источники энергии
michell,Мишель
coincidently,по совпадению
pinwheels,вертушки
brampton,Брамптон
compacts,компакты
wherefores,следовательно
sambas,самбы
pathologies,патологии
checkins,отметки о посещении
forewarn,предупредить
metamorphoses,метаморфозы
comrades-in-arms,соратники по оружию
lawmaker,законодатель
zepp,зепп
rebelliousness,мятежность
gana,гана
joffe,джоффе
shopgirl,продавщица
proudfoot,гордый фут
gossett,госсетт
anodyne,болеутоляющее
zydeco,зайдеко
ting-a-ling,тинг-а-линг
asd,асд
scaphoid,ладьевидная кость
dingdongs,дингдонги
rapprochement,сближение
tech-savvy,технически подкованный
stockinged,чулочный
bulgar,болгарский
stabled,конюшенный
pollster,социолог
deactivates,деактивирует
tuchman,тучман
double-o,двойное но
niemann,Ниманн
inconveniently,неудобно
menashe,менаш
aal,аал
delectation,удовольствие
bedtimes,время отхода ко сну
leadin,ведущий
multibillion,многомиллиардный
gadgetry,гаджеты
boreal,бореальный
peaty,торфяной
hoopoe,удод
weiser,вайзер
mainlining,основной
gunmetal,оружейная сталь
dulcimer,цимбалы
fleecy,пушистый
rickert,рикерт
forerunners,предшественники
beecroft,Бикрофт
belatedly,с опозданием
geode,геод
walz,вальс
internationalism,интернационализм
subjection,подчинение
trainor,тренер
nevil,невил
ejaculates,эякулирует
agribusiness,агробизнес
enfin,энфин
galadriel,Галадриэль
sportsmanlike,спортивный
spillway,водосброс
misidentified,ошибочно идентифицированный
jaxon,джаксон
pixilated,пикселированный
drag-out,вытаскивание
grommet,люверс
equilateral,равносторонний
rauschenberg,Раушенберг
arango,аранго
fader,фейдер
parapsychologist,парапсихолог
wegman,вегман
overreacts,чрезмерно реагирует
biodiesel,биодизель
venner,веннер
yardbirds,дворовые птицы
hesperus,геспер
ahe,ахе
mcclanahan,Маккланахан
csa,csa
assesses,оценивает
guar,гуар
abstracted,абстрагированный
immolate,сжигать
prenatal,пренатальный
sufis,суфии
advisedly,разумно
qualm,сомнение
paralyses,паралич
disbeliever,неверующий
single-cell,одноклеточный
hogtied,связанный по рукам и ногам
litigators,юристы-судебные представители
balanchine,баланси
polson,польсон
patenting,патентование
brillant,блестящий
jernigan,Джерниган
quetta,кветта
bone-setter,костоправ
groundsman,садовник
frittering,расточительство
sarmiento,сармьенто
sasso,сассо
tamm,тамм
luddites,луддиты
milliliter,миллилитр
saleable,продаваемый
rottenest,самый гнилой
brigantine,бригантина
blois,блоис
electioneering,предвыборная агитация
nilson,Нильсон
vfx,визуальные эффекты
towelettes,влажные салфетки
pleura,плевра
warehousing,складирование
winemakers,виноделы
impugning,оспаривание
counterinsurgency,контрповстанческая операция
soulmate,вторая половинка
peccadilloes,педадилло
jahn,ян
perjuring,лжесвидетельство
merseyside,Мерсисайд
scrim,ширма
malayan,малайский
forecasters,синоптики
lir,лир
anther,пыльник
occassion,случай
undercuts,подрезы
faustian,фаустианский
no-frills,без излишеств
fashioning,создание
lightspeed,световая скорость
mra,мра
intersex,интерсексуал
tattooist,татуировщик
hager,Хагер
checklists,контрольные списки
haemophilia,гемофилия
lock-on,захват цели
four-dimensional,четырехмерный
god-king,бог-царь
nominates,номинирует
ort,орт
sedge,осока
bendigo,бендиго
yd,йд
swayne,Свейн
outtake,вырезанное видео
forsakes,отказывается
mathurin,матурин
unaffordable,недоступный
tipoff,информатор
sooey,суи
thuggee,тугги
beslan,беслан
hoists,подъемники
semiotics,семиотика
countrywide,по всей стране
coif,чепец
revamping,модернизация
scuffles,стычки
veronal,веронал
leadoff,первый
bragger,хвастун
modulating,модуляция
dutra,дутра
resemblances,сходства
digressing,отступление
frivolously,легкомысленно
awm,awm
time-wasting,пустая трата времени
bishopric,епископство
queerest,самый странный
naumann,Науманн
tape-recorder,магнитофон
alm,милостыня
prideaux,прайдо
padrino,падрино
mencius,Мэнций
schiele,шиле
redrawn,перерисовано
dsd,дсд
lindeman,Линдеман
interviewers,интервьюеры
reconditioning,восстановление
allocations,распределения
fancy-schmancy,шикарный
enthusiasms,энтузиазмы
trapdoors,люки
reale,реальный
logarithms,логарифмы
gesualdo,Гезуальдо
surinamese,суринамский
britisher,британский
blintz,блинчик
otherworld,потусторонний мир
blass,бласс
repealing,отмена
underpinned,подкрепленный
formulaic,формульный
archmage,верховный маг
offloaded,выгружен
teck,тек
sloughing,отслоение
holton,холтон
unita,унита
iquitos,икитос
balti,балти
chug-a-lug,чук-а-лаг
runnings,бегство
quade,квадроцикл
neurofibromatosis,нейрофиброматоз
marginalised,маргинализированные
rearranges,перестраивает
quinones,хиноны
netscape,нетскейп
clairvoyants,ясновидящие
carbines,карабины
dyna,дина
dsv,дсв
connived,сговор
unbelief,неверие
besser,лучше
half-speed,половинная скорость
apennines,Апеннины
magnetize,намагничивать
apelike,обезьяноподобный
corsini,Корсини
rms,мс
troyes,Труа
frags,фрагменты
welkin,Велкин
viz,виз
fogy,старух
pineville,Пайнвилл
qui-gon,qui-gon
retinitis,ретинит
elephantine,слоновый
juxtaposed,сопоставленный
co-opting,кооптация
