you,너
heckles,야유
bini,비니
primroses,앵초
ecole,에콜
cryptographer,암호 사용자
dalston,달스톤
overstretched,과도하게 늘어난
belugas,벨루가
lio,리오
ascendancy,우세
plinth,주각
roush,러쉬
infusing,주입하다
enlargements,확대
stutz,슈츠
coagulated,응고된
curtiss,커티스
for-profit,영리 목적
normalization,표준화
commissariat,식량 보급
numerically,수치적으로
rugger,럭비 선수
monoliths,모놀리스
limeys,라임인들
fortunetellers,점쟁이들
lacan,라캉
mola,몰라
nad,나드
collectable,수집품
laser-guided,레이저 유도
carding,소면
schloss,성
redoubt,방형 보루
b-day,생일
jetsam,부랑자
botanists,식물학자들
maye,메이
covenants,계약
medallist,메달리스트
etoile,에투알
front-wheel,앞바퀴
ingeniously,기발하게
poos,똥
mauthausen,마우트하우젠
rookery,둥지
jinxing,징크스
armen,아르멘
snowdrift,눈더미
solzhenitsyn,솔제니친
poky,비좁은
argonne,아르곤
nack,낵
foisted,강요된
antonella,안토넬라
socratic,소크라테스의
equivocal,확실치 않은
protozoa,원생 동물문
gagliano,가글리아노
harpooned,작살에 찔린
ladner,래드너
spicier,더 매운
trabzon,트라브존
stor,저장
gangbang,집단 성폭행
batavia,바타비아
muddling,혼란
tinkler,팅클러
bacharach,바하라흐
airforce,공군
aleutian,알류샨 열도
treks,트레킹
flouting,무시하다
infrequently,드물게
wintering,겨울나기
chimed,종소리가 울렸다
backstretch,백스트레치
somer,서머
bhatnagar,바트나가르
devolved,이양된
loll,축 늘어져 기대다
irregulars,불규칙적인
gelatine,젤라틴
centavos,센타보스
langtry,랑트리
stylishly,세련되게
manically,광적으로
subjectivity,주관
incarnated,화신한
smalltime,소규모
trilateral,삼변형
ohno,안 돼
shoppe,상점
tid,티드
conniption,경련
sev,세브
merrymaking,환락
seances,강령술
shut-ins,은둔자들
rhomboid,마름모꼴
imus,이무스
billfold,지갑
omnes,옴네스
wanked,자위했다
ajanta,아잔타
razzmatazz,라즈마타즈
holing,구멍 뚫기
grumman,그루먼
bedell,베델
shubert,슈버트
c-word,c-단어
bohlen,볼렌
ventilators,인공호흡기
denali,데날리
maoris,마오리족
frappe,프라페
orissa,오리사
halfwits,얼간이들
pemba,펨바
bunce,번스
self-deception,자기기만
gast,가스
cultists,광신도들
earthenware,질그릇
cand,캔디
paediatrics,소아과
worksheet,워크시트
southwards,남쪽으로
yes-man,예스맨
briquette,브리켓
camera-shy,카메라 공포증
nuttall,너톨
streatham,스트리텀
sicknesses,질병
vit,비타민
elt,엘트
kah,카
clemson,클렘슨
lenard,레너드
drennan,드레넌
gianfranco,지안프랑코
shamanism,샤머니즘
blotch,검버섯
terpsichore,테르프시코레
rumania,루마니아
itamar,이타마르
macdowell,맥도웰
lippi,리피
dolts,바보들
call-out,호출
towelette,물티슈
jungian,융 심리학
bolivians,볼리비아인들
churchgoing,교회에 가는
tientsin,티엔신
marias,마리아스
moriah,모리아
algarve,알가르베
high-priority,최우선 순위
broadest,가장 넓은
taichung,타이중
mellencamp,멜렌캠프
dramatization,각색
cimarron,시마론
shinbone,정강이뼈
malformed,흉하게 생긴
bookcases,책장
mlk,밀크
developmentally,발달적으로
amalgamation,융합
inspectorate,검사관
carvalho,카르발류
naturist,나체주의자
otb,otb
greenies,녹색 사람들
borowski,보로스키
polygamous,다처제
dehumanizing,인간성을 말살하다
ime,시간
regurgitating,역류
accessibility,접근성
lepidus,레피두스
nooky,누키
codeword,코드워드
lilliput,릴리푸트
taw,타우
psychosexual,정신성적
exonerating,무죄를 선고하다
fhe,fhe
ors,또는
brittain,영국
denouement,대단원
assertiveness,주장
untreatable,치료 불가능한
payrolls,급여
discouragement,낙담
birding,조류 관찰
positano,포지타노
poulton,풀턴
aswan,아스완
unfaithfulness,불충실
hsbc,HSBC
silverton,실버턴
airbrushing,에어브러싱
snivel,콧물
upperclassman,상급생
retouching,리터칭
roko,로코
kapp,카프
diao,디아오
skaggs,스카그스
cienega,시에네가
blurts,불쑥 말한다
counterespionage,방첩
oedema,부종
preta,프레타
spaniels,스패니얼
breadbasket,빵 바구니
coordinated,조정된
obispo,오비스포
t3,티3
glockenspiel,글로켄슈필
bad-luck,불운
sheepishly,머쓱하게
syrups,시럽
chequers,체커
morrisey,모리세이
initializing,초기화 중
capetown,케이프타운
multiplicity,다수
dross,쇠똥
posen,포젠
g7,g7
crevasses,균열
hanno,한노
submerging,잠수
transected,횡단된
fly-by,비행
bombardments,폭격
biju,비주
outliers,이상치
yakitori,야키토리
unstick,붙지 않게
veldt,초원
usui,우스이
penciled,연필로 쓴
chacko,차코
commodores,코모도어스
warburg,워버그
fourier,푸리에
evades,회피하다
hiney,엉덩이
retold,다시 이야기하다
hodgkins,호지킨
unpronounceable,발음할 수 없는
amalie,아마리에
echinacea,에키나시아
chive,골파
synesthesia,공감각
mindfulness,마음챙김
loquacious,말이 많은
rereading,다시 읽기
rexford,렉스포드
iizuka,이즈카
bodied,몸체
laundromats,세탁소
gute,구테
vortices,소용돌이
inequity,불공정
chocks,초크
singly,하나씩
embarcadero,선착장
therewith,그래서
tepe,테페
vonnegut,본네거트
dox,독스
lorin,로린
paperweights,문진
baseness,천함
airtight,기밀
redbook,레드북
suspender,멜빵
arendt,아렌트
bodin,보딘
salivate,침을 흘리다
benazir,베나지르
sticklers,꼼꼼한 사람들
nobleness,당당함
double-double,더블더블
beddy-byes,잠자리에 들기
lewin,르윈
idles,유휴 상태
moncada,몬카다
battleaxe,전투 도끼
nearness,가까움
shtetl,슈테틀
fantasising,환상을 품다
bermejo,베르메호
corbusier,코르뷔지에
psychopathy,정신병
nationwide,전국적으로
alighieri,알리기에리
lef,왼쪽
reawakened,다시 깨어난
servos,서보
vaqueros,바케로스
ischia,좌골
acing,에이싱
repudiated,거부했다
mico,미코
tuum,투움
lep,렙
stiffening,뻣뻣하게 만들기
sprinters,단거리 선수들
gildas,길다스
porcini,포르치니 버섯
rudderless,방향타가 없는
placated,달래진
manzoni,만조니
clonazepam,클로나제팜
provencal,프로방스 사람
liqueurs,리큐어
barbican,바비칸
churchwarden,교구 위원
clasping,움켜쥐다
kimchee,김치
biggies,빅기스
inadvisable,권할 수 없는
doper,도퍼
telfer,텔퍼
slobbery,너절한
navies,해군
yola,욜라
antivirus,바이러스 백신
subsonic,아음속
citi,시티
pickaxes,곡괭이
reciprocating,상호적인
t1,티1
leachman,리치맨
kye,카이
marshalsea,마셜시
loudmouthed,수다쟁이
blowgun,블로우건
eyeglass,세안 컵
sugarcoated,설탕 코팅된
luanda,루안다
stranglers,교살자
ninepence,9펜스
smolder,울적
cascara,카스카라
handspring,재주 넘기
leaven,효모
well-hung,잘 달린
flamer,화염방사기
brindisi,브린디시
courtenay,코트니
launders,세탁하다
zon,존
emulating,모방하다
bayeux,바유
kilauea,킬라우에아
gagan,가간
grayish,회색빛
potpie,파이
bipolar,양극성 장애
moorhead,무어헤드
audie,오디
morass,궁지
minar,미나르
nemanja,네마냐
lip-sync,립싱크
routers,라우터
nihon,일본
anti-bullying,학교폭력 방지
plesiosaur,플레시오사우루스
seely,실리
caltrans,캘리포니아 교통국
farmhouses,농가
foment,자극하다
afflicting,고통스럽게 하는
amputating,절단하다
gnostic,영지주의
speedball,스피드볼
testa,종피
bpo,비포
poppe,포페
locators,위치 표시기
rinpoche,린포체
upholds,지지합니다
spi,스피
materialization,구체화
coagulate,응고시키다
perceval,인지하다
sulked,삐쳤다
lipitor,리피토
supplemented,보충됨
cilia,속눈썹
dardanelles,다르다넬스
seafarer,뱃사람
radials,방사형
backtalk,말대꾸
victorio,빅토리오
bloodier,더욱 피투성이인
barbu,바르부
mentis,멘티스
loan-sharking,고리대금업
saccharin,사카린
unapologetic,사과하지 않는
gunna,군나
iida,이이다
cutaway,장면 전환
jonsson,존슨
ysidro,이시드로
meatpacking,육류 가공
tunelessly,음정 없이
lovesick,사랑에 빠진
nsb,nsb
windom,윈덤
lavalle,라발레
millican,밀리칸
hedged,울타리가 쳐진
homerun,홈런
treasonable,반역적인
aloo,알루
undersized,크기가 작습니다
kabobs,케밥
judaea,유대
keeton,키튼
apoplectic,뇌졸중
pigging,돼지 사육
btk,btk
pob,사서함
burros,당나귀
tramway,트램웨이
fratricide,형제 살해
counteroffensive,반격
fielded,실전에 투입된
malee,말리
lebrun,르브룬
histology,조직학
timpani,팀파니
boilermaker,보일러 제작업체
freiburg,프라이부르크
lowflying,저공비행
patricide,부친 살해
hoffer,호퍼
preteen,사춘기 이전
unkindly,불친절하게
smo,스모
morioka,모리오카
hoeing,괭이질
andor,그리고/
berkman,버크만
mayfly,하루살이
cockatoos,앵무새
cordier,코르디에
aiello,아이엘로
equities,주식
horsemanship,마술
kenyatta,케냐타
boodle,큰돈
unaltered,변경되지 않은
hampers,바구니
get-rich-quick,벼락부자 되기
presidium,상임 간부회
talkback,토크백
ccd,ccd
bacchae,바카이
hf,HF
lnc,lnc
speckles,반점
oland,올란드
bench-press,벤치프레스
maslin,마슬린
paseo,산책로
brescia,브레시아
vad,바드
rossignol,로시뇰
pande,판데
gats,개츠
kristiansen,크리스티안센
ferri,페리
impetigo,농가진
haversack,잡낭
workstations,워크스테이션
directorial,감독
ducal,공작
munched,씹어 먹었다
maxillary,턱뼈
useable,사용 가능한
ojos,오호스
foodstuff,식료품
undefeatable,무적의
hoofing,발굽
saqqara,사카라
ond,온드
pv,PV
foto,사진
nha,나
dressmakers,재봉사들
profaned,모독된
driverless,무인
mooned,달을 떴다
unavenged,복수받지 못한
praetorius,프레토리우스
bookbinder,바인더
mcculloch,맥컬록
turandot,투란도트
ower,파워
startups,스타트업
reversals,반전
mangler,맹글러
evangelists,복음 전도자들
meitner,마이트너
firings,해고
lollapalooza,롤라팔루자
koma,코마
liii,리이
grandin,그랜딘
emanation,발산
breasted,가슴
branford,브랜포드
morand,모란드
edirne,에디르네
sabretoothed,검치
peppery,후추 같은
bottom-feeder,바닥먹이
hammam,하맘
fast-growing,빠르게 성장하는
ritually,의례적으로
roosting,둥지
samford,샘포드
assail,공격하다
laryngoscope,후두경
transfigured,변형된
stinko,스팅코
documentarian,다큐멘터리 제작자
acha,아차
pais,파이스
verbalize,말로 표현하다
exhaustively,철저하게
mckeon,맥키온
jame,제임스
widowmaker,과부 제조기
predictor,예언자
conger,붕장어
nontraditional,비전통적인
nabokov,나보코프
spectroscopy,분광학
inglorious,불명예스러운
mccombs,맥콤스
schulze,슐츠
underrate,과소평가하다
plumbed,배관
easement,지역권
umma,움마
blood-related,혈액 관련
hyphenate,하이픈으로 연결하다
reneging,약속을 어기다
hadden,해든
high-protein,고단백
dust-up,소동
tylor,타일러
abso,압소
red-letter,붉은 글씨
cornflower,수레국화
saurian,파충류
flamingoes,플라밍고
confessors,고해성사
glycerine,글리세린
photo-op,사진 촬영 기회
quadrillion,100경
lensing,렌즈
magdalen,막달레나
grey-haired,회색 머리
peary,배리
nds,nds
engrossing,흥미진진한
tog,옷
gutterman,거터맨
bacilli,간균
force-feeding,강제 급식
ice-free,얼음 없는
barefaced,뻔뻔스러운
v-1,v-1
prudes,고지식한 사람들
middle-age,중년
camacho,카마초
manifestly,명백히
complies,준수합니다
dully,둔하게
vio,비오
namur,나무르
najib,나지브
sublimation,승화
fourscore,48
comforters,이불
recalibrating,재보정
sconce,보루
hannan,한난
hebe,헤베
lowman,로우먼
blackheads,블랙헤드
reselling,재판매
freshers,신입생
petto,페토
nsw,NSW
keswick,케스윅
azucena,아수세나
amontillado,아몬틸라도
messrs,메스르
hijackings,납치
slapdash,엉성하게
mcmurtry,맥머트리
democratization,민주화
opioid,오피오이드
chocolatier,초콜릿 장인
mailmen,우편배달부
placebos,플라시보
bootstrap,부트스트랩
leve,레벨
furukawa,후루카와
withrow,위드로
leftie,좌파
hassel,번거로움
pierpont,피어폰트
sabi,사비
towered,우뚝 솟은
fuzzies,털복숭이들
mountebank,야바위꾼
bonked,쿵 하고 부딪혔다
replayed,다시 재생됨
gluck,글럭
daejeon,대전
uninitiated,미숙한
enunciating,발음하다
behooves,의무
crack-up,균열
naha,나하
biscay,비스케이
montebello,몬테벨로
chubs,통통한
url,URL
predicate,술부
utterances,발화
choosey,가리는
edm,edm
dand,댄드
love-story,러브 스토리
cheapness,염가
lix,릭스
taints,오염
carpetbaggers,카펫배거들
giddiness,현기증
mudslides,산사태
breathtakingly,숨 막힐 듯
trilobite,삼엽충
sodomize,항문성교하다
starrett,스타렛
turku,투르쿠
mendacity,거짓말
victimize,괴롭히다
mid-twenties,20대 중반
recyclables,재활용품
lobotomies,뇌엽절제술
dace,다스
fessed,자백했다
catsup,케첩
foothill,산기슭
non-dairy,유제품이 아닌
kleinfeld,클라인펠드
banditry,산적 행위
pliant,휘기 쉬운
hems,밑단
circumnavigate,일주하다
inseam,인심
mees,미스
characterise,특징짓다
busing,버스 운행
stealers,도둑들
aharon,아론
beignets,베녜
tommies,토미스
dinkum,진짜
reintegration,재통합
neem,님나무
shir,쉬르
misawa,미사와
fining,벌금
pelton,펠튼
warriner,워리너
overmatched,상대가 너무 강하다
consistory,추기경 회의
meridians,경락
trendsetter,트렌드세터
educations,교육
enfant,어린이
spanners,스패너
dog-and-pony,개와 조랑말
nitty,니티
waddell,와델
shattuck,샤턱
benfica,벤피카
eos,이오스
frailties,연약함
loudmouthed,수다쟁이
syrah,시라
psychoanalytic,정신분석
silvestre,실베스트레
placer,배치
pennants,깃발
hangers-on,기생충들
timescale,시간 척도
housefly,집파리
sneed,스니드
euphemia,유페미아
quickened,가속된
accustom,익숙한
rime,짓다
grooved,홈이 파인
dybbuk,디북
publicise,홍보하다
unscrewing,나사 풀기
trickle-down,낙수 효과
perforations,천공
codebook,코드북
cro,크로
frijoles,프리홀레스
switcher,스위처
intra-abdominal,복강내
adana,아다나
fairmount,페어몬트
twinkles,반짝임
flinty,부싯돌 같은
deriving,파생하다
speedboats,스피드보트
tyndale,틴데일
divot,잔디
jat,자트
she-male,쉬메일
beeching,너도밤나무
antenatal,산전
aspinall,아스피널
celt,금속 도끼
rooty,뿌리
divergence,분기
civilly,민법상
misjudgment,오판
paya,파야
uncouple,떨어지다
winterbourne,윈터본
immunized,면역된
sleepwalkers,몽유병자
yaz,야즈
mackerels,고등어
antes,안테스
donte,돈테
bladed,칼날
plumped,통통한
hungrily,배고프게
noronha,노론하
reversion,전도
normalized,정규화된
neves,네베스
abdo,복부
unkillable,죽일 수 없는
locales,지역
foresters,산림 관리인들
sheaf,단
legendre,르장드르
tuneless,음정 없는
freeze-frame,정지 화면
punkin,펌킨
instil,주입하다
inheritors,상속인들
shabu,샤부
sanga,상가
needleman,바늘맨
peeves,불만
move-in,이사 오다
steeples,첨탑
in-person,대면
misty-eyed,눈물이 글썽이는
slimed,점액질
requited,요구된
expresso,에스프레소
filthier,더 더러운
obstructs,방해하다
untruthful,거짓된
sabino,사비노
afeared,두려워하다
offsides,오프사이드
marinus,마리누스
legolas,레골라스
modo,모도
longish,긴
satcom,위성통신
sheaths,칼집
tauber,타우버
greeny,그리니
hainan,하이난
ssc,ssc
lockerbie,로커비
antimony,안티몬
impermanence,무상함
dimon,디몬
recheck,재확인
klemens,클레멘스
zilla,질라
g-rated,전체 관람가
malachite,공작석
detoxification,해독
weak-kneed,다리가 약한
palling,팔링
armors,갑옷
patters,패턴
throwdown,던지다
rebuilds,재건
analytics,해석학
inhouse,내부
rabbinical,랍비
trusses,트러스
atchison,애치슨
baltazar,발타자르
gpo,gpo
delmas,델마스
marshalling,마샬링
dingdong,딩동
freeborn,자유민
erector,건설자
urbana,우르바나
muti,무티
naturalism,자연주의
bosa,보사
sandoz,산도즈
montagne,몽타뉴
phenol,페놀
telomeres,텔로미어
anti-terror,대테러
padgett,패짓
absolving,사면
highlighter,형광펜
ents,엔츠
proffered,제안된
soundless,소리 없는
emasculate,거세하다
corneille,코르네유
lecce,레체
cruncher,크런처
precipitating,강수
dewhurst,듀허스트
industrial-strength,산업용 강도
patiala,파티알라
beaned,콩
xenophobia,외국인 혐오증
toyland,토이랜드
teddy-bear,테디베어
retakes,재촬영
coatroom,코트룸
blue-chip,블루칩
laverty,라버티
multifaceted,다면적인
shackleford,섀클포드
pavilions,파빌리온
locksmiths,자물쇠공
mizrahi,미즈라히
adverb,부사
fold-out,접이식
smocks,스목
dux,듀크스
cellos,첼로
isolationist,고립주의자
hometowns,고향
dappled,얼룩덜룩한
repossessing,압류하다
abdu,압두
dorman,도먼
ho-hum,시큰둥한
ejaculating,사정하다
cle,클레
grimacing,찡그리는
excreted,배설된
anti-smoking,금연
lotteries,복권
genera,속
civic-minded,시민 의식이 있는
gasworks,가스 공장
geh,게
chaplains,군종 목사들
growler,그로울러
bettered,더 나아진
astroturf,인조잔디
off-center,중심에서 벗어난
mitcham,미첨
decelerating,감속
frolics,장난
samsonite,샘소나이트
phosphorescent,형광
newsom,뉴스옴
dreamworld,꿈의 세계
iterations,반복
griffon,그리폰
pendle,펜들
animating,애니메이션
erroneously,틀려서
timekeeping,시간 관리
unwisely,현명하지 못하게
spanish-american,스페인계 미국인
underdone,덜 익은
doorkeeper,문지기
hieroglyph,상형 문자
theremin,테레민
heart-lung,심장-폐
databanks,데이터뱅크
fatt,뚱뚱한
wielder,무기 사용자
silver-tongued,말솜씨가 뛰어난
topcoat,가벼운 외투
voyeuristic,관음증적인
enchantments,마법
oblation,봉납
conspiratorial,음모적인
blow-off,블로우오프
crescendos,크레센도
wide-ranging,광범위한
halton,할톤
aficionados,애호가들
ethnicities,민족
dropkick,드롭킥
brickwork,벽돌공사
afterworld,사후 세계
malbec,말벡
formalin,포르말린
scandinavians,스칸디나비아인들
self-government,자치
unneeded,불필요한
lowbrow,저급한
bellegarde,벨레가르드
quinto,퀸토
cbd,CBD
spoonfed,숟가락으로 떠먹여주다
antitank,대전차
chlorate,염소산염
fuck-off,꺼져
mortgaging,담보대출
scry,점쳐보기
palaeontologist,고생물학자
worrell,워렐
sexpot,섹시함
passy,패시
ovations,기립 박수
mclain,맥클레인
isidor,이시도르
dominica,도미니카
grubbs,애벌레
kaputt,카푸트
gaijin,가이진
backsliding,퇴보
associative,연상적인
stowing,보관
pre-owned,중고품
overeat,너무 많이 먹다
receivership,파산관리
politicized,정치화된
coriolanus,코리올라누스
experimentally,실험적으로
whitish,약간 흰
bedroll,침낭
lvov,리보프
presbyterians,장로교도들
ophthalmology,안과학
oyo,오요
blanchett,블랑셰트
corralled,울타리가 쳐진
treasons,반역
unfriend,언친구
plutarch,플루타르코스
incendiaries,소이탄
fulvia,풀비아
bodybuilders,보디빌더들
yad,야드
horsewhipped,말채찍질당한
foreshadowing,복선
provocateurs,선동가들
iniquitous,불의한
reavis,리비스
whities,백인들
lamprey,칠성장어
re-engage,다시 참여하다
boomerangs,부메랑
trustworthiness,신뢰성
thon,톤
mcloughlin,맥러플린
thems,그들
levey,제방
souse,담그다
umami,감칠맛
kumasi,쿠마시
downes,다운스
beckenbauer,베켄바우어
dps,dps
pga,PGA
repulses,반격하다
well-founded,근거가 충분한
blustery,바람이 세차게 부는
corrientes,코리엔테스
bentleys,벤틀리스
udall,우달
fucktard,멍청이
sweetening,달게 하기
aquila,아퀼라
shutterbug,사진작가
calley,캘리
ciu,시우
confab,회의
kop,콥
juris,법률
meerut,미루트
teem,비우다
irrationality,비합리성
shunting,션팅
dragomir,드라고미르
cgt,cgt
ajmer,아즈메르
longshoremen,항만 노동자
automatons,자동인형
trigg,트리거
myopia,근시
fraga,프라가
nygaard,니가르드
officiated,주관하다
bartoli,바르톨리
detonations,폭발
howitzers,곡사포
confidants,신뢰하는 사람들
chasms,협곡
ough,거칠다
legumes,콩류
survivability,생존 가능성
grappler,그래플러
dispenses,분배합니다
withe,가는 가지
upland,고지대
nrc,nrc
bostock,보스톡
supergrass,슈퍼그래스
felines,고양이
sandlot,모래밭
victoriously,승리하며
bohan,보한
resurfacing,재표면화
macgill,맥길
boothby,부스비
roon,룬
renegotiation,재협상
apd,apd
edsel,에드셀
buna,부나
passel,파셀
nonstarter,시작도 안 됨
menaced,위협받다
blubbing,엉엉 울기
macbride,맥브라이드
geste,제스처
motorcyclists,오토바이 운전자들
gabardine,개버딘
wedgwood,웨지우드
gj,gj
nowheres,아무데도
coiling,코일링
pashmina,파시미나
credulity,망신
jahangir,자항기르
scallywags,악당들
honker,경적
saucepans,냄비
diplodocus,디플로도쿠스
allosaurus,알로사우루스
long-sleeved,긴팔
submariners,잠수함 승무원
glittered,반짝였다
hecklers,야유하는 사람들
rusts,녹
pterodactyls,익룡
deportees,추방자들
incipient,초기
weg,웨그
steadier,더 안정적인
resold,재판매됨
jpeg,jpeg
blunderbuss,블런더버스
insupportable,지탱할 수 없는
in-box,받은편지함
mealy-mouthed,말수가 적은
cotton-picking,목화 따기
antebellum,남북전쟁 이전
bfg,비프그
cardin,카딘
baris,바리스
brien,브라이언
bie,비
swellest,가장 부풀어 오른
imperatives,명령형
teaspoonful,티스푼
endoscopic,내시경
pekinese,북경 사람
kindnesses,친절
cystitis,방광염
backstabbers,배신자들
macrame,마크라메
fornicated,간음했다
mushed,으깬
tempests,폭풍
polythene,폴리에틸렌
battery-powered,배터리 구동식
verbiage,말씨
macumba,마쿰바
emoticons,이모티콘
tidiness,깔끔함
bite-size,한입 크기
remarried,재혼함
thaler,탈러
parp,파프
delly,델리
crocked,술 취한
lowestoft,가장 낮은
hamelin,하멜린
svoboda,스보보다
chav,차브
cockiness,자만심
twanging,튕기는 소리
reawaken,다시 깨어나다
lavelle,라벨
farsighted,원시
infante,왕자
sarcophagi,석관
marblehead,마블헤드
enlists,입대하다
cogswell,코그스웰
crewmates,승무원들
costars,공동 출연 배우
uncalled-for,불필요한
fav,가장 좋아하는
marfan,마르판
todas,모두
ruud,루드
newlyweds,신혼부부
incomparably,비교할 수 없을 정도로
partway,중간쯤
bantry,밴트리
tampere,탐페레
oxygenation,산소 공급
feeb,피브
keenest,가장 열정적인
unclassified,미분류
mezzo,메조
welk,웰크
stockyard,가축 우리
rostrum,연단
transfiguration,변형
ewald,에왈드
ingot,주괴
throckmorton,스록모튼
attributing,귀속시키다
gaumont,고몽
readymade,기성품
metrocard,메트로카드
cavil,비난하다
bimini,비미니
explosively,폭발적으로
arum,아룸
hurwitz,허위츠
sit-up,윗몸일으키기
maree,마리
chola,촐라
miche,미셰
immobilised,움직이지 못하는
bombshells,폭탄
exfoliating,각질 제거
ldf,ldf
cockerels,수탉들
jama,자마
calc,계산
magnesia,마그네시아
unsexy,섹시하지 않은
paragliding,패러글라이딩
hookups,만남
popgun,딱총
lates,최신
ween,위엔
pomposity,허세
misrepresenting,오해를 불러일으키다
suddenness,돌연
milkweed,밀크위드
monoid,모노이드
amandine,아만딘
dishrag,행주
vcs,vcs
attlee,애틀리
digged,파냈다
overloads,과부하
carps,잉어
choko,초코
resurfaces,다시 나타난다
moises,모이세스
beta-blockers,베타 차단제
emphasised,강조하다
corvettes,코르벳
nikolayev,니콜라예프
milch,젖 나는
rivero,리베로
second-guessed,두 번째 의심
risk-free,위험 부담 없음
dysart,디사트
fmri,fmri
binging,폭식
sipes,사이프스
fidelis,피델리스
chokehold,목 조르기
misunderstands,오해하다
ocs,ocs
sinuous,유연한
reprobates,타락한 자들
santorum,산토럼
rive,찢다
crampons,동철
hardcover,양장본
tenorio,테노리오
mapleton,메이플턴
ashbury,애쉬베리
paton,패튼
neurologists,신경과 전문의
ass-kisser,아첨꾼
fis,물고기
yenta,수다쟁이
sandbagging,모래주머니 쌓기
tranquillisers,진정제
thermoses,보온병
homburg,홈버그
salivary,타액
snuffbox,코담배갑
toney,토니
dease,질병
numbskulls,멍청이들
basked,햇볕을 쬐었다
harems,하렘
sleepily,졸린
nussbaum,누스바움
re-release,재발매
iie,이이에
pua,푸아
dozier,도지어
sassing,건방지게 굴다
moffett,모펫
motorhead,모터헤드
geithner,가이트너
hauer,하우어
prosecutes,기소하다
stigmatized,낙인찍힌
ipa,이파
howells,하웰스
urea,요소
sugarless,무설탕
rotters,부패한 것들
incriminates,범죄자를 지목하다
rado,라도
pella,펠라
kentish,켄트 주의
twitty,트위티
doty,도티
toehold,발붙일 곳
conjectures,추측
chamberlin,챔벌린
berrigan,베리건
schick,쉬크
equidistant,등거리
supersize,초대형
hardee,하디
unadorned,꾸밈없는
tie-up,결속
taiping,타이핑
pasteurized,저온살균
upper-level,상위 레벨
put-down,깎아내리다
slattern,게으름뱅이
tambourines,탬버린
prohibitions,금지
bespectacled,안경 쓴
noshing,간식
self-medicate,자가 치료하다
auric,오릭
khar,카르
dreamgirls,드림걸즈
mcaleer,맥알리어
lst,lst
hematomas,혈종
caulking,코킹
american-style,미국식
parkins,파킨스
safeguarded,보호됨
dactyl,닥틸
ludacris,루다크리스
scarlatti,스칼라티
marechal,마레샬
avn,아븐
playbill,연극 프로그램
vampiric,흡혈귀
streaker,알몸으로 뛰어다니는 사람
afterschool,방과후
remodelling,중수
handsaw,톱
syncopation,당김음
pointedly,의도적으로
tilled,경작된
impeller,임펠러
mothered,어머니
franciscans,프란치스칸
expensively,비싸게
matin,마틴
hedgerows,울타리
metallurgical,학의
pipa,피파
fakery,가짜
refundable,환불 가능
pacs,팩
loe,로에
gielgud,길구드
breastbone,복장뼈
hmas,hmas
hader,하더
poy,포이
rebrand,리브랜딩
adjudication,판결
tharp,타프
nashua,내슈아
watercolours,수채화
somatic,체성
karam,카람
memorization,암기
arks,방주
goulet,굴렛
alfresco,야외
indolent,나태한
kindergartens,유치원
rapscallion,악한
disembowelled,내장이 적출된
matchboxes,성냥갑
enjoined,명령했다
subscribes,구독자
a-b-c,알파벳
grist,곡물
spellings,철자법
cavort,뛰어놀다
evangelista,에반젤리스타
polygraphs,거짓말탐지기
hoberman,호버만
timi,티미
mpaa,엠파아
uneasily,불안하게
jelinek,젤리넥
pergola,퍼골라
refrigerate,냉장 보관하세요
purport,취지
repositioned,재배치됨
patagonian,파타고니아
encircles,에워싸다
ticker-tape,티커테이프
harkens,경청하다
mark-up,마크업
igloos,이글루
re-run,재실행
swallower,삼키는 사람
sailfish,돛새치
vauban,보반
concurs,동의합니다
rheims,랭스
lyssa,광견병
adorably,사랑스럽게
indicting,기소하다
whisks,거품기
seraph,천사
buildin,건물
fenian,페니언
unquiet,불안한
carmella,카멜라
super-strength,초강력
godhead,신격
reinvigorated,활력을 되찾은
masturbatory,자위
patronised,후원받다
minutely,상세히
winterbottom,윈터바텀
cubit,완척
hotelier,호텔리어
acrid,매운
statistician,통계학자
trapezoid,사다리꼴
hellion,불량한 사람
sikorsky,시코르스키
requisitioning,조달
strobel,스트로벨
benefactress,은인
octagonal,팔각형
grudgingly,마지못해
raver,레이버
co-starring,공동 출연
ablution,목욕
grassi,그라시
futons,후톤
mislabeled,잘못 표기됨
rudders,방향타
contexts,맥락
xeroxed,복사된
tight-fisted,구두쇠
rantings,호언장담
kassandra,카산드라
fast-talking,말 빠른 사람
interspersed,산재된
lotuses,연꽃
barmaids,바텐더
ritualized,의례화된
chari,차리
long-lived,수명이 긴
jointed,관절형
shinano,시나노
alu,알루
romanticized,낭만적으로 묘사된
fairytales,동화
mcduff,맥더프
nian,니안
triviality,하찮은 것
daws,다우스
re-form,개정
steadies,안정하다
browbeat,위협
inebriation,취기
mostar,모스타르
pitfall,함정
teeing,티잉
incinerating,소각하다
sani,사니
tribunes,트리뷴
ceil,천장
hakka,하카
percolate,침투하다
falun,팔룬
waxwork,밀랍 세공품
ionian,이오니아
coinciding,일치하는
antalya,안탈리아
rescinding,취소하다
petrarch,페트라르크
cliffside,절벽
cautions,주의
brookhaven,브룩헤이븐
cornice,처마 장식
behar,베하르
amoebas,아메바
ellipses,타원
nihilism,허무주의
forecastle,앞 갑판
mid-sized,중형
dunghill,쓰레기통
byam,바이암
vallee,계곡
monochromatic,단색
