you,आप
unkindly,निर्दयी
smo,एसएमओ
morioka,मोरिओका
hoeing,निराई-गुड़ाई
andor,आंतरिक प्रबंधन और
berkman,बर्कमैन
mayfly,mayfly
cockatoos,cockatoos
cordier,कॉर्डियर
aiello,एइलो
equities,इक्विटीज
horsemanship,घुड़सवारी
kenyatta,केन्याट्टा
boodle,मेला
unaltered,स्थिर
hampers,बाधित
get-rich-quick,जल्दी धनवान बनो
presidium,सभापतिमंडल
talkback,जबान चलाना
ccd,सीसीडी
bacchae,बैके
hf,एचएफ
lnc,एलएनसी
speckles,धब्बे
oland,Öland
bench-press,बेंच प्रेस
maslin,मसलिन
paseo,पासेओ
brescia,ब्रेस्सिया
vad,वड
rossignol,Rossignol
pande,पांडे
gats,बंदूकें
kristiansen,क्रिस्टियानसेन
ferri,फेरी
impetigo,रोड़ा
haversack,खाने-पीने की चीज़ें के लिये थैली
workstations,वर्कस्टेशन
directorial,निर्देशकीय
ducal,ड्यूकल
munched,चबाया
maxillary,दाढ़ की हड्डी का
useable,प्रयोग करने योग्य
ojos,ओजोस
foodstuff,खाद्य पदार्थों
undefeatable,अजेय
hoofing,खुर
saqqara,सक्कारा
ond,दूसरी
pv,पीवी
foto,तस्वीरें
nha,न्हा
dressmakers,दर्जी
profaned,अपवित्र ठहराया
driverless,चालक रहित
mooned,चांद
unavenged,न तामसिक
praetorius,प्रेटोरियस
bookbinder,जिल्दसाज
mcculloch,मक्कलोच
turandot,तुरंदोत
ower,शक्ति
startups,स्टार्टअप
reversals,बदलाव
mangler,मैंगलर
evangelists,प्रचारकों
meitner,मेट्नर
firings,फायरिंग
lollapalooza,लोलापालूजा
koma,कोमा
liii,liii
grandin,ग्रैन्डिन
emanation,उद्गम
breasted,छाती
branford,ब्रैनफोर्ड
morand,मोरंड
edirne,एडिर्न
sabretoothed,कृपाण-दांत वाला
peppery,चटपटा
bottom-feeder,बॉटम फ़ीडर
hammam,हम्माम
fast-growing,तेज़ी से विकसित होता
ritually,धार्मिक
roosting,बसेरा
samford,सैमफोर्ड
assail,आक्रमण करना
laryngoscope,फेफड़ाओं को सुनने का एक यंत्र
transfigured,उसका रूप बदल
stinko,स्टिन्को
documentarian,वृत्तचित्र निर्माता
acha,अच्छा
pais,पाइस
verbalize,क्रिया बनाना
exhaustively,विस्तृत रूप से
mckeon,मैककॉन
jame,जेम
widowmaker,एक खतरनाक मशीन अथवा पुर्जा
predictor,भविष्यवक्ता
conger,कंगर
nontraditional,गैर-पारंपरिक
nabokov,नबोकोव
spectroscopy,स्पेक्ट्रोस्कोपी
inglorious,लज्जाजनक
mccombs,मैककॉम्ब्स
schulze,शुल्ज़
underrate,कम आंकना
plumbed,प्लम्ब किया हुआ
easement,दिलजमई
umma,उम्मा
blood-related,रक्त संबंधी
hyphenate,हाइफ़नेट
reneging,मुकर जाना
hadden,हैडन
high-protein,उच्च प्रोटीन
dust-up,ऊपर गंदगी
tylor,टाइलर
abso,एब्सो
red-letter,मुख्य
cornflower,कॉर्नफ़्लावर
saurian,सरीसृप
flamingoes,राजहंस
confessors,स्वीकारोक्ति करने वाले
glycerine,ग्लिसरीन
photo-op,फ़ोटो विकल्प
quadrillion,क्वाड्रिलियन
lensing,लेंसिंग
magdalen,मैग्डलेन
grey-haired,सफ़ेद
peary,पियरी
nds,एनडीएस
engrossing,मनोरंजक
tog,कपड़ा
gutterman,सस्ती वस्तु बेचनेवाला
bacilli,बेसिली
force-feeding,ज़बरदस्ती खिलाना
ice-free,बर्फ से मुक्त
barefaced,ढीठ
v-1,वी-1
prudes,रूढ़िवादी
middle-age,मध्यम आयु
camacho,केमाको
manifestly,स्पष्टतः
complies,अनुपालन
dully,डली
vio,हिंसा
namur,नामुर
najib,नजीब
sublimation,उच्च बनाने की क्रिया
fourscore,चौरासी
comforters,कंफ़र्टर
recalibrating,पुनः अंशांकन
sconce,मस्तक
hannan,हन्नान
hebe,हेबे
lowman,दलित व्यक्ति
blackheads,ब्लैकहेड्स
reselling,reselling
freshers,फ्रेशर्स
petto,पेट्टो
nsw,एनएसडब्ल्यू
keswick,केसविक
azucena,अज़ुसेना
amontillado,अमोंटिलाडो
messrs,सज्जन
hijackings,अपहरण
slapdash,किसी न किसी तरह
mcmurtry,McMurtry
democratization,जनतंत्रीकरण
opioid,ओपिओइड
chocolatier,चॉकलेट निर्माता
mailmen,डाकिया
placebos,प्लेसीबो
bootstrap,बूटस्ट्रैप
leve,छुट्टी
furukawa,Furukawa
withrow,के साथ
leftie,वामपंथी
hassel,झंझट
pierpont,पियरपोंट
sabi,साबी
towered,मीनारदार
fuzzies,फजी
mountebank,नीमहकीम
bonked,टक्कर मारी
replayed,पुनः बजाया
gluck,ग्लक
daejeon,डाइजॉन
uninitiated,uninitiated
enunciating,उच्चारण करना
behooves,behooves
crack-up,भिड़ंत
naha,नाहा
biscay,बिस्के
montebello,Montebello
chubs,मोटे
url,यूआरएल
predicate,विधेय
utterances,उच्चारणों
choosey,नकचढ़ा
edm,ईडीएम
dand,डी और
love-story,प्रेम कहानी
cheapness,सस्तता
lix,लिक्स
taints,दाग
carpetbaggers,कार्पेटबैगर्स
giddiness,चक्कर
mudslides,भू-स्खलन
breathtakingly,बेहद खूबसूरत
trilobite,पेलेयोजोईक
sodomize,गुदा मैथुन
starrett,स्टाररेट
turku,टुर्कु
mendacity,भिक्षावृति
victimize,यातनाऐं
mid-twenties,पच्चीस वर्ष की आयु के आसपास
recyclables,पुनरावर्तनीय
lobotomies,मस्तिष्कखंडछेदन
dace,मीठे पानी की एक प्रकार की छोटी मछली
fessed,स्वीकार किया
catsup,कैटचप
foothill,तलहटी
non-dairy,नॉन डेयरी
kleinfeld,क्लेनफेल्ड
banditry,डाकुओं
pliant,कोमल
hems,हेम
circumnavigate,आस-पास तैरना
inseam,इनसीम
mees,मीस
characterise,चिह्नित करना
busing,बसिंग
stealers,स्टीलर्स
aharon,अहारोन
beignets,बेग्नेट
tommies,टॉमीज़
dinkum,यथार्थ
reintegration,पुनः एकीकरण
neem,नीम
shir,लचकदार रबड़ का फ़ीता
misawa,मिसावा
fining,जुर्माना लगाना
pelton,पेल्टन
warriner,वॉरिनर
overmatched,अत्यधिक परिपक्व
consistory,संघिकता
meridians,मध्याह्न रेखाएँ
trendsetter,चलन
educations,शिक्षा
enfant,बच्चा
spanners,स्पैनर
dog-and-pony,कुत्ता और टट्टू
nitty,जुओं से भरा हुआ
waddell,वैडल
shattuck,शट्टुक
benfica,बेनफिका
eos,ईओएस
frailties,कमजोरी
loudmouthed,तेज़
syrah,सिराह
psychoanalytic,मनो
silvestre,सिल्वेस्त्रे
placer,प्लेसर
pennants,पताकाएँ
hangers-on,हैंगर पर
timescale,समयसीमा
housefly,घरेलू मक्खी
sneed,स्नीड
euphemia,यूफेमिया
quickened,यह तेज़
accustom,आदी बनाना
rime,निहार
grooved,अंडाकार
dybbuk,डिबुक
publicise,प्रचारित करना
unscrewing,पेंच खोलना
trickle-down,सितारा मछली
perforations,छेद
codebook,कोडबुक
cro,सीआरओ
frijoles,फ्रिज़ोल्स
switcher,स्विचर
intra-abdominal,इंट्रा-एब्डोमिनल
adana,अदाना
fairmount,फेयरमाउंट
twinkles,टिमटिमाहट
flinty,सख़्त
deriving,पाने
speedboats,स्पीडबोट
tyndale,टिंडेल
divot,गड्ढा
jat,जाट
she-male,वह पुरुष
beeching,बीचिंग
antenatal,उत्पत्ति के पूर्व का
aspinall,एस्पिनॉल
celt,सेल्ट
rooty,बहुत मूल वाला
divergence,विचलन
civilly,आदाब से
misjudgment,अशुद्ध विचार
paya,पाया
uncouple,जुदा करना
winterbourne,विंटरबोर्न
immunized,प्रतिरक्षित
sleepwalkers,नींद में चलने वाले
yaz,याज़
mackerels,मैकेरल
antes,पूर्व
donte,दान करें
bladed,पंखों
plumped,मोटा
hungrily,भूख से
noronha,नोरोन्हा
reversion,पदावनति
normalized,सामान्यीकृत
neves,नेवेस
abdo,पेट
unkillable,अजेय
locales,स्थानों
foresters,वन
sheaf,पुलिंदा
legendre,लेगेंद्रे
tuneless,बेसुरा
freeze-frame,चौखट में जम जाना
punkin,कद्दू
instil,प्रेरित करना
inheritors,उत्तराधिकारियों
shabu,शाबु
sanga,सांगा
needleman,सुई वाला
peeves,चिढ़
move-in,में स्थानांतरित
steeples,मीनारों
in-person,स्वयं
misty-eyed,धुंधली आंखों
slimed,कीचड़
requited,प्रतिपूर्ति
expresso,एक्सप्रेसो
filthier,और भी गंदा
obstructs,नुकसान पहुँचा रहा है
untruthful,बेईमान
sabino,साबिनो
afeared,डरा हुआ
offsides,ऑफ़साइड
marinus,मारीनस
legolas,Legolas
modo,मोडो
longish,दीर्घाकार
satcom,सैटकॉम
sheaths,शीथ
tauber,टौबर
greeny,हरे रंग का
hainan,हैनान
ssc,एसएससी
lockerbie,लॉकरबी
antimony,सुरमा
impermanence,अनस्थिरता
dimon,डिमोन
recheck,पुनः जांच करें
klemens,क्लेमेंस
zilla,जिला
g-rated,जी-रेटेड
malachite,मैलाकाइट
detoxification,DETOXIFICATIONBegin के
weak-kneed,अस्थिर मन का
palling,पैलिंग
armors,कवच
patters,पैटर्न
throwdown,थ्रोडाउन
rebuilds,पुनर्निर्माण
analytics,एनालिटिक्स
inhouse,इन-हाउस
rabbinical,रब्बीनिक
trusses,ट्रस
atchison,एटिसन
baltazar,बाल्टाज़ार
gpo,जीपीओ
delmas,डेलमास
marshalling,मार्शलिंग
dingdong,डिंग डोंग
freeborn,स्वतंत्र जन्म
erector,निर्माता
urbana,अर्बाना
muti,म्यूटी
naturalism,प्रकृतिवाद
bosa,बोसा
sandoz,सैंडोज
montagne,montagne
phenol,फिनोल
telomeres,टेलोमेयर
anti-terror,आतंकवाद विरोधी
padgett,पाद्गेट
absolving,दोषमुक्त करना
highlighter,हाइलाइटर
ents,दस्तावेजों
proffered,proffered
soundless,नीरव
emasculate,प्रभावहीन
corneille,कॉर्निल
lecce,लेसी
cruncher,क्रंचर
precipitating,अवक्षेपण
dewhurst,ड्यूहर्स्ट
industrial-strength,औद्योगिक शक्ति
patiala,पटियाला
beaned,बीन
xenophobia,विदेशी लोगों को न पसन्द करना
toyland,खिलौने की दुनिया， टायलैंड
teddy-bear,टेडी बियर
retakes,पुनः प्रयास
coatroom,कोट रूम
blue-chip,विनियोगी शेयर
laverty,लेस
multifaceted,बहुमुखी
shackleford,शैक्लफोर्ड
pavilions,मंडप
locksmiths,ताला
mizrahi,मिज़राही
adverb,क्रिया विशेषण
fold-out,बाहर गुना
smocks,स्मोक्स
dux,डक्स
cellos,सेलो
isolationist,पृथकतावादी
hometowns,गृहनगर
dappled,विचित्र
repossessing,पुनः कब्ज़ा करना
abdu,अब्दू
dorman,डार्मैन
ho-hum,उबाऊ
ejaculating,वीर्यपात
cle,क्ली
grimacing,मुँह बनाते हुए
excreted,उत्सर्जित
anti-smoking,विरोधी धूम्रपान
lotteries,लॉटरी
genera,पीढ़ी
civic-minded,नागरिक विचार
gasworks,गैस-कारख़ाना
geh,गेह
chaplains,पादरी
growler,ग्राउलर
bettered,बेहतर
astroturf,एस्ट्रोटर्फ
off-center,केंद्र से हटकर
mitcham,मिचम
decelerating,मंद
frolics,frolics
samsonite,SAMSONITE
phosphorescent,धीमी रोशनी देनेवाला
newsom,न्यूसम
dreamworld,सपनों की दुनियां
iterations,पुनरावृत्तियों
griffon,नौसिकुआ
pendle,पेंडल
animating,animating
erroneously,ग़लती से
timekeeping,समयनिर्धारक
unwisely,मूर्खतापूर्ण
spanish-american,स्पेनी-अमेरिकी
underdone,भोगा हुआ
doorkeeper,द्वारपाल
hieroglyph,हीयेरोग्लिफ़
theremin,थेरेमिन
heart-lung,हार्ट-लंग
databanks,डेटाबैंक
fatt,फ़ाट
wielder,धारक
silver-tongued,सुभाषित
topcoat,आवर कोट
voyeuristic,दृश्यरतिक
enchantments,टोना
oblation,यज्ञ
conspiratorial,षड़यंत्रपूर्ण
blow-off,दूर हो जाओ
crescendos,चरम
wide-ranging,व्यापक
halton,रुकिए
aficionados,-पीने के शौकीन
ethnicities,जातियों
dropkick,मारना रहने दो
brickwork,ईंटों की चिनाई
afterworld,परलोक
malbec,मालबेक
formalin,फॉर्मेलिन
scandinavians,स्कैंडिनेवियाई
self-government,स्वयं सरकार
unneeded,अनावश्यक
lowbrow,तंग ललाट का
bellegarde,बेलेगार्डे
quinto,क्विंटो
cbd,सीबीडी
spoonfed,चम्मच से खिलाया गया
antitank,एंटीटैंक
chlorate,क्लोरट
fuck-off,दफ़ा हो जाओ
mortgaging,गिरवी
scry,स्क्राइब
palaeontologist,जीवाश्म
worrell,वोर्रेल
sexpot,सेक्सीपॉट
passy,पैसी
ovations,तालियाँ
mclain,मैक्लेन
isidor,इसीदोर
dominica,डोमिनिका
grubbs,कीड़े
kaputt,कपट
gaijin,gaijin
backsliding,स्वधर्म त्याग
associative,जोड़नेवाला
stowing,नौभरण
pre-owned,पहले से इस्तेमाल किया हुआ
overeat,पेट भर खा
receivership,अमीनगीरी
politicized,राजनीतिकरण
coriolanus,कोरिओलानुस
experimentally,तजरबा से
whitish,श्वेताभ
bedroll,बिस्तर की तह
lvov,lvov
presbyterians,प्रेस्बीस्टेरियन
ophthalmology,नेत्र विज्ञान
oyo,ऑयो
blanchett,ब्लैंचेट
corralled,corralled
treasons,राजद्रोह
unfriend,unfriend
plutarch,प्लूटार्क
incendiaries,ज्वलनशील पदार्थ
fulvia,फुलविया
bodybuilders,तगड़े
yad,याद
horsewhipped,घोड़े कोड़े मारे गए
foreshadowing,पूर्वाभास
provocateurs,उकसाने वाले
iniquitous,अधर्म
reavis,रीविस
whities,श्वेत
lamprey,एक प्रकार की मछली
re-engage,पुनः मिलना
boomerangs,उलटा
trustworthiness,विश्वसनीयता
thon,थॉन
mcloughlin,मैकलॉघलिन
thems,उन्हें
levey,तटबंध
souse,पानी की डुबकी
umami,उमामी
kumasi,कुमासी
downes,डाउन्स
beckenbauer,बेकनबावर
dps,डीपीएस
pga,पीजीए
repulses,प्रतिकर्षित करता है
well-founded,जानकार
blustery,धमकी से
corrientes,कोरिएंटेस
bentleys,बेंटले
udall,उदाल
fucktard,बेवकूफ
sweetening,मीठा
aquila,अक्विला
shutterbug,शटरबग
calley,कैली
ciu,सीयू
confab,सम्मेलन
kop,कोप
juris,ज्यूरिस
meerut,मेरठ
teem,टीम
irrationality,तर्कहीनता
shunting,शंटिंग
dragomir,ड्रैगोमीर
cgt,सीजीटी
ajmer,अजमेर
longshoremen,बंदरगाह पर काम करने वाले मजदूर
automatons,ऑटोमेटन
trigg,ट्रिग
myopia,मायोपिया
fraga,फ़्रागा
nygaard,न्यागार्ड
officiated,आधिकारिक रूप से काम
bartoli,बारतोली
detonations,विस्फोट
howitzers,तोपों
confidants,विश्वासपात्र
chasms,खाई
ough,हालांकि
legumes,फलियां
survivability,बचे रहने
grappler,Grappler
dispenses,वितरित
withe,साथ
upland,अपलैंड
nrc,एनआरसी
bostock,बोस्टॉक
supergrass,सूपरग्रास
felines,बिल्लियों
sandlot,सैंडलॉट
victoriously,विजयी
bohan,बोहन
resurfacing,Resurfacing
macgill,मैकगिल
boothby,बूथबी
roon,कमरा
renegotiation,पुनः मध्यस्थता
apd,एपीडी
edsel,एडसेल
buna,बुना
passel,पासल
nonstarter,नॉनस्टार्टर
menaced,धमकी दी
blubbing,रोना
macbride,मैकब्राइड
geste,Gesté
motorcyclists,मोटरसाइकिल
gabardine,गैबरडीन
wedgwood,वेजवूड
gj,जी जे
nowheres,कहीं नहीं
coiling,coiling
pashmina,पश्मीना
credulity,भोलापन
jahangir,जहांगीर
scallywags,बदमाश
honker,हॉन्कर
saucepans,सॉस पैन
diplodocus,डिप्लोडोकस
allosaurus,Allosaurus
long-sleeved,लंबे बाजू
submariners,पनडुब्बी चालक
glittered,दमकते
hecklers,उपद्रवी
rusts,रस्ट परिवार
pterodactyls,टेरोडैक्टाइल
deportees,निर्वासितों
incipient,उत्पन्न होनेवाला
weg,वेग
steadier,अधिक स्थिर
resold,पुन: बेचे गए
jpeg,जेपीईजी
blunderbuss,ब्लंडरबस
insupportable,असहनीय
in-box,इन-बॉक्स
mealy-mouthed,आटे का मुँह
cotton-picking,कपास पिकिंग
antebellum,लड़ाई के पहले का
bfg,बीएफजी
cardin,कार्डिन
baris,बारिस
brien,ब्रायन
bie,बीई
swellest,सबसे फूला हुआ
imperatives,अनिवार्यताओं
teaspoonful,चम्मच
endoscopic,एंडोस्कोपिक
pekinese,पेकिंग का
kindnesses,दयालुता
cystitis,मूत्राशयशोध
backstabbers,backstabbers
macrame,macrame
fornicated,व्यभिचार किया
mushed,मसला हुआ
tempests,तूफ़ान
polythene,पॉलीथीन
battery-powered,बैटरी से चलने वाला
verbiage,शब्दाडंबर
macumba,मैकुम्बा
emoticons,इमोटिकॉन
tidiness,सफ़ाई
bite-size,काटने का आकार
remarried,पुनर्विवाहित
thaler,थालर
parp,पारप
delly,डेली
crocked,टेढ़ा
lowestoft,लोवेस्टॉफ़्ट
hamelin,हैमेलिन
svoboda,स्वोबोदा
chav,चाव
cockiness,साहस
twanging,ट्वांगिंग
reawaken,को लाने का
lavelle,लावेल्ले
farsighted,दूरंदेश
infante,शिशु
sarcophagi,सरकोफेगी
marblehead,मार्बलहेड
enlists,सूचीबद्ध
cogswell,कॉग्सवेल
crewmates,चालक दल के सदस्य
costars,सह-कलाकार
uncalled-for,अयोग्य के लिए
fav,पसंदीदा
marfan,मारफन
todas,टोडा
ruud,रुड
newlyweds,नववरवधू
incomparably,अतुलनीय
partway,आंशिक रूप से
bantry,बैंट्री
tampere,टाम्परे
oxygenation,ऑक्सीजन
feeb,कमजोर
keenest,सबसे उत्सुक
unclassified,अवर्गीकृत
mezzo,मेज़ो
welk,वेल्क
stockyard,पशुशाला
rostrum,व्याख्यान चबूतरा
transfiguration,रूप-परिवर्तन
ewald,एवाल्ड
ingot,इनगट
throckmorton,थ्रोकमॉर्टन
attributing,हवाले से
gaumont,गौमोंट
readymade,तैयार
metrocard,मेट्रोकार्ड
cavil,झूठा इलज़ाम
bimini,बिमिनी
explosively,विस्फोटक
arum,अरवी
hurwitz,Hurwitz
sit-up,जागते रहना
maree,मारी
chola,चोल
miche,मिशे
immobilised,स्थिर
bombshells,बम धमाके
exfoliating,एक्सफ़ोलीएटिंग
ldf,एलडीएफ
cockerels,मुर्गों
jama,जामा
calc,गणना
magnesia,मैग्नीशिया
unsexy,अरुचिकर
paragliding,पैराग्लाइडिंग
hookups,हुकअप
popgun,बच्चों के खेलने की बंदूक
lates,नवीनतम
ween,मान लेना
pomposity,भव्य
misrepresenting,गलत ढंग से प्रस्तुत
suddenness,चंचलता
milkweed,मिल्कवीड
monoid,मोनोइड
amandine,अमांडीन
dishrag,थाली पीछने का कपड़ा
vcs,VC के
attlee,एटली
digged,खोदा
overloads,भार के
carps,कार्प
choko,चोको
resurfaces,पुनः उभरता है
moises,मोइसेस
beta-blockers,बीटा-ब्लॉकर्स
emphasised,पर बल दिया
corvettes,वाहक
nikolayev,निकोलायेव
milch,दुधारू दूध
rivero,रिवेरो
second-guessed,दूसरी अनुमान लगाया
risk-free,जोखिम-मुक्त
dysart,डिसार्ट
fmri,एफएमआरआई
binging,अत्यधिक भोजन
sipes,साइप्स
fidelis,फ़िडेलिस
chokehold,गला घोंटना
misunderstands,गलत समझती
ocs,ओसीएस
sinuous,टेढ़ा
reprobates,निकम्मे निकले
santorum,संतोरम
rive,दरार
crampons,क्रैम्पोन
hardcover,हार्डकवर
tenorio,टेनोरिओ
mapleton,मैपलटन
ashbury,ऐशबरी
paton,पैटन
neurologists,तंत्रिका
ass-kisser,चापलूस
fis,वित्तीय संस्थाओं
yenta,येन्टा
sandbagging,रेत की बोरियाँ
tranquillisers,शांति
thermoses,थर्मस
homburg,होम्बर्ग
salivary,लार
snuffbox,स्नफ बॉक्स
toney,टोनी
dease,रोग
numbskulls,बेवकूफों
basked,धूप सेंकी
harems,हरम
sleepily,असावधानी से
nussbaum,नुस्बाम
re-release,फिर से रिलीज
iie,आईआईई
pua,पुआ
dozier,डोजियर
sassing,अस्सिंग
moffett,मोफेट
motorhead,मोटरहेड
geithner,गेइथनर
hauer,हॉएर
prosecutes,विवरण पत्र
stigmatized,लांछित
ipa,आईपीए
howells,होवेल्स
urea,यूरिया
sugarless,बिना चीनी
rotters,बदमाश
incriminates,दोषी ठहराता है
rado,राडो
pella,पेला
kentish,केंट का
twitty,ट्विट्टी
doty,सड़ा हुआ
toehold,टोहोल्ड
conjectures,अनुमान
chamberlin,चैंबर्लिन
berrigan,बेरिगन
schick,शिक
equidistant,समान दूरी
supersize,सुपरसाइज़
hardee,हार्डी
unadorned,अनलंकृत
tie-up,बांधना
taiping,ताइपिंग
pasteurized,pasteurized
upper-level,ऊपरी स्तर
put-down,नीचे रखो
slattern,रंडी
tambourines,डफ
prohibitions,रोक
bespectacled,ऐनकवाला
noshing,नाश्ता
self-medicate,स्वयं औषधि
auric,सोने का
khar,खार
dreamgirls,ख्वाबो वाली लड़कियां
mcaleer,मैकलीर
lst,एलएसटी
hematomas,रक्तगुल्म
caulking,caulking
american-style,अमेरिकी शैली
parkins,पार्किन्स
safeguarded,रक्षा
dactyl,छन्द का भाग
ludacris,लुडाक्रिस
scarlatti,स्कारलाटी
marechal,मारेचल
avn,एवीएन
playbill,नाटक का विज्ञापन
vampiric,पैशाचिक
streaker,स्ट्रीकर
afterschool,स्कूल के बाद
remodelling,remodeling
handsaw,हाथ आरी
syncopation,शब्द संकोचन
pointedly,लक्ष्य करके
tilled,कृषि
impeller,प्ररित करनेवाला
mothered,माँ ने
franciscans,फ्रांसिस्कन
expensively,बड़ी लागत
matin,मतीन
hedgerows,हेजरो
metallurgical,धातु
pipa,पीपा
fakery,नकली
refundable,रिफंडेबल
pacs,उम्मीदवार PAC
loe,पढ़ें
gielgud,गिल्गड
breastbone,छाती के बीच वाली हड्डी
hmas,हमास
hader,हैडर
poy,पॉय
rebrand,पुनः नामकरण
adjudication,न्यायिक निर्णय
tharp,थार्प
nashua,नाशुआ
watercolours,जल रंग
somatic,दैहिक
karam,करम
memorization,याद
arks,आर्क
goulet,गौलेट
alfresco,खुली हवा में
indolent,अकर्मण्य
kindergartens,किंडरगार्टन
rapscallion,ठग
disembowelled,आंतें निकाल दी गईं
matchboxes,माचिस
enjoined,आदेश दिया
subscribes,सदस्याएं
a-b-c,ए-बी-सी
grist,पीसने के लिये अन्न
spellings,वर्तनी
cavort,कूद पड़ना
evangelista,इवानजेलिस्टा
polygraphs,पॉलीग्राफ
hoberman,होबरमैन
timi,तिमी
mpaa,एमपीएए
uneasily,बेचैनी से
jelinek,जेलिनेक
pergola,Pergola
refrigerate,जमाना
purport,मुराद
repositioned,पुनर्निर्धारित
patagonian,पेंटागोनिया
encircles,घेरे
ticker-tape,तार लेखन का कागज
harkens,सुनता है
mark-up,इज़ाफ़ा
igloos,इग्लू
re-run,पुन: चलाएँ
swallower,निगलने वाला
sailfish,सेलफ़िश
vauban,वाउबन
concurs,इस बात से सहमत
rheims,रीम्स
lyssa,लूस्सा
adorably,ससम्मान
indicting,अभियोग लगाना
whisks,व्हिस्क
seraph,उच्च कोटि का देवदूत
buildin,में निर्माण
fenian,फेनियन
unquiet,अशांत
carmella,कारमेला
super-strength,अति-शक्ति
godhead,देवत्व
reinvigorated,फिर से जान डाल
masturbatory,हस्तमैथुन
patronised,को संरक्षण
minutely,प्रतिमिनट
winterbottom,विंटरबॉटम
cubit,हाथ
hotelier,होटल व्यवसायी
acrid,तीखा
statistician,सांख्यिकीविद
trapezoid,चतुर्भुज
hellion,शरारती बच्चा
sikorsky,सिकोर्स्की
requisitioning,अध्यपेक्षा
strobel,स्ट्रोबेल
benefactress,दान करनेवाली
octagonal,अष्टकोन
grudgingly,अनिच्छा से
raver,रावेर
co-starring,सह कलाकार
ablution,स्नान
grassi,ग्रासी
futons,फ़्यूटन
mislabeled,का गलत
rudders,पतवार
contexts,संदर्भों
xeroxed,ज़ेरॉक्स किया हुआ
tight-fisted,कंजूस
rantings,शेखी बघारना
kassandra,कैसेंड्रा
fast-talking,तेजी से बात कर
interspersed,बीच-बीच में
lotuses,लोटस
barmaids,बारमेड
ritualized,रस्म
chari,चारी
long-lived,बहुत समय तक रहनेवाला
jointed,संयुक्त
shinano,शिनानो
alu,आलू
romanticized,रूमानीकरण
fairytales,परिकथाएं
mcduff,मैकडफ
nian,नियान
triviality,तुच्छता
daws,डॉस
re-form,सुधार
steadies,स्थिर करता है
browbeat,धमकाना
inebriation,मद्यपान
mostar,मोस्टार
pitfall,ख़तरा
teeing,टीइंग
incinerating,भस्मीकरण
sani,शनि
tribunes,ट्रिब्यून
ceil,प्लस्तर लगाना
hakka,हक्का
percolate,चूना
falun,फालुन
waxwork,मोम की मूर्तियाँ
ionian,Ionian
coinciding,संयोग
antalya,एंटाल्या
rescinding,निरसित करने सम्बन्धी
petrarch,पेट्रार्क
cliffside,उसने चट्टान
cautions,चेतावनी
brookhaven,Brookhaven
cornice,कंगनी
behar,बिहार
amoebas,अमीबा
ellipses,अनेक बिंदु
nihilism,नाइलीज़्म
forecastle,जहाज़ की छत का अगला भाग
mid-sized,मध्य आकार
dunghill,गोबर का ढेर
byam,ब्याम
vallee,वले
monochromatic,एकरंगा
privet,अपलोड
amd,एएमडी
revitalizing,पुनः सशक्त
condensing,संघनक
swishy,स्विशी
preeclampsia,प्राक्गर्भाक्षेपक
anaerobic,अवायवीय
oas,ओएस
timberline,लकड़ी की रेखा
fry-up,तलना
riven,रिवेन
construe,टीका करना
moviegoers,जाने वालों
tantalize,बहुत कष्ट पहुंचाना
interdependent,परस्पर निर्भर
polycarbonate,पॉलीकार्बोनेट
mexican-american,मैक्सिकन-अमेरिकी
earpieces,इयरपीस
hounslow,हाउंसलो
dreier,ड्रेयर
non-aggression,अनाक्रमण
regicide,राज-हत्या
thrasher,गाहनेवाला
mosses,काई
cheka,चेका
stiff-necked,घमंडी
aleutians,एल्यूटियन
coordinator,समन्वयक
plopping,गिरना
doubter,नास्तिक
moet,मोएट
prc,पीआरसी
monrovia,मोन्रोविया
iqs,आईक्यूएस
laffer,हँसी
muzzles,muzzles
unanswerable,बिना जवाब
timmer,टिमर
triathlete,triathlete
pentacle,पंचकोण जो तंत्र में प्रयुक्त होता है
hearses,शव वाहन
readjustment,पुनर्निर्माण
debo,डेबो
leatherneck,लेदरनेक
karbala,करबला
spellbinding,मंत्रमुग्ध
nightcrawler,रात्रिचर जीव या मनुष्य
disregards,उपेक्षा
campsites,कैंप लगाने
psychokinesis,Psychokinesis
proofed,प्रूफ
bustamante,बस्टामेंटे
hn,एचएन
zant,ज़ैंट
kalish,कलिश
palming,हथेली
lys,लाइस
purgative,रेचक
esso,एसो
neocortex,नियोकॉर्टेक्स
konoe,कोनोए
astigmatism,दृष्टिवैषम्य
ill-prepared,बीमार तैयार
legge,लेगे
mandelbaum,Mandelbaum
michaelis,Michaelis
bilges,बिलजेस
co-author,सह-लेखक
lathered,झागदार
midpoint,मध्य
broz,बरोज़
violinists,वायलिनवादक
ectopic,अस्थानिक
patois,अशिक्षितों की भाषा
arti,आरती
fantasizes,कल्पना करता है
tuzla,तुज़ला
yok,योक
broadens,का विस्तार
thickets,झाड़ियों
parrotfish,तोता मछली
coloratura,कालरत्युअर
petered,क्षीण हो गया
adar,अदार
swordsmith,तलवार बनाने वाला
baig,बेग
purnell,पुर्नेल
monogamist,एकविवाही
daredevils,साहसी
freire,फ़ीयर
eyewash,बहाना
intemperate,असंयमी
raconteur,बयान करनेवाला
midfielder,मिडफील्डर
vardon,वर्दोन
bald-faced,गंजा-का सामना करना पड़ा
hayfield,घास का मैदान
meyerbeer,मेयरबीर
