you,Du
impartially,unparteiisch
kolinsky,Kolinsky
circuitous,umständlich
gunrunner,Waffenschmuggler
conkers,Kastanien
leaderboard,Rangliste
no-smoking,Rauchen verboten
xtreme,extrem
innately,von Natur aus
bricking,Mauerwerk
negev,Negev
kuri,Kuri
militaries,Militärs
midshipmen,Seekadetten
wellcome,Willkommen
imparting,Vermittlung
chronicled,chronologisch
smokies,Smokies
cooky,Keks
awfulness,Schrecklichkeit
unrealized,nicht realisiert
whish,Wunsch
negated,negiert
holcroft,Holcroft
erk,erk
resistor,Widerstand
equates,gleichsetzt
behari,behari
vause,vause
focussing,Fokussierung
cubist,Kubist
dornan,Dornan
asian-american,asiatisch-amerikanisch
anglesey,Anglesey
sprinted,sprintete
blalock,Blalock
cantons,Kantone
scrounged,zusammengesucht
prolongs,verlängert
altoona,Altoona
fonteyn,Fonteyn
laika,laika
raggy,zerlumpt
obliterates,vernichtet
dalhousie,Dalhousie
trashes,Müll
obeah,Obeah
organza,Organza
doctorates,Doktorgrade
labelling,Beschriftung
maxis,Maxis
toppers,Aufsätze
set-ups,Aufbauten
mcsorley,McSorley
haddonfield,Haddonfield
mortuaries,Leichenhallen
cugat,Cugat
fine-toothed,feinzahnig
dedications,Widmungen
mishandling,Fehlbehandlung
grahams,Grahams
panelling,Verkleidung
starck,Starck
pediatricians,Kinderärzte
hec,hec
tey,tey
do-nothing,Nichts tun
blimps,Luftschiffe
comminuted,zerkleinert
daydreamer,Tagträumer
schenck,Schenck
kenwood,Kenwood
hammel,Hammel
graying,Ergrauen
volcanism,Vulkanismus
crocheted,gehäkelt
steamships,Dampfschiffe
retaliates,Vergeltungsmaßnahmen
self-reflection,Selbstreflexion
corniche,Corniche
sikorski,Sikorski
tevin,Tevin
scooted,rutschte
anti-hero,Antiheld
cuneo,Cuneo
quarried,Steinbruch
crescent-shaped,halbmondförmig
purveyors,Lieferanten
glans,Eichel
hottentot,Hottentotten
gdf,GDF
sniffers,Schnüffler
snagging,Hängenbleiben
afridi,Afridi
adaline,Adaline
recalculate,neu berechnen
ravening,reißend
mouthwatering,zum Anbeißen
browder,Browder
apres,nach
brogues,Brogues
polarization,Polarisation
roundly,rundlich
mcgann,McGann
politicking,Politik
cagle,cagle
cautery,Kauterisation
make-or-break,Alles oder nichts
burgundians,Burgunder
subsidence,Senkung
villegas,Villegas
inbetween,dazwischen
by-line,Autorenzeile
bards,Barden
lousiest,miserabel
islay,Insel
zahn,Zahn
wholeness,Ganzheit
shored,abgestützt
nain,nain
appropriating,Aneignung
rear-end,hinteres Ende
seligman,Seligman
axum,Axum
cupola,Kuppel
professes,bekennt
straightforward,einfach
attesting,bezeugend
croll,Croll
flouted,missachtet
booksellers,Buchhändler
bandini,Bandini
bautista,Bautista
sympathetically,mitfühlend
yean,Yean
ambos,Ambos
wird,wird
nwa,nwa
zuni,Zuni
billow,Woge
quickstep,Quickstep
trond,Trond
haymes,Haymes
memorising,auswendig lernen
necked,Hals
wearied,müde
abdulla,Abdulla
trappist,Trappist
transposition,Transposition
tidewater,Gezeitenwasser
harvie,Harvie
superlatives,Superlative
bitumen,Bitumen
miked,mikrofoniert
albertina,Alberta
etymology,Etymologie
appaloosa,Appaloosa
aarp,AARP
forswear,abschwören
sub-lieutenant,Unterleutnant
ideation,Ideenfindung
misfires,Fehlzündungen
swindles,Betrügereien
positional,positionell
victimised,Opfer
spurring,Ansporn
cca,ca.
hypnotherapist,Hypnotherapeut
swee,süß
agains,gegen
transcriber,Transkribier
blakeley,Blakeley
kuntz,Kuntz
crayford,Crayford
mathieson,Mathieson
transgendered,transgender
foreseeing,Voraussicht
defiles,entweiht
refuges,Zufluchtsorte
centrifuges,Zentrifugen
polygon,Polygon
ludicrously,lächerlich
clarinets,Klarinetten
sugden,sugden
clime,Klima
isambard,Isambard
reavers,Plünderer
antipasto,Antipasti
toerag,Zehentuch
nock,Nocken
canonical,kanonisch
t4,t4
tare,Tara
tandon,Tandon
villar,Villar
tittle,Titel
billabong,Billabong
crumpling,zerknittert
sulphurous,schwefelhaltig
kilbride,Kilbrid
clairmont,Clairmont
rhod,Rhod
purloined,entwendet
chelsey,Chelsey
mcintire,McIntire
lua,Lua
fanatically,fanatisch
stogie,Zigarre
aristophanes,Aristophanes
splashdown,Wasserung
constitutions,Verfassungen
budgeting,Budgetierung
optimistically,optimistisch
4-f,4-f
wristwatches,Armbanduhren
snowballing,Schneeballeffekt
baugh,Baugh
magellanic,Magellan
araya,Araya
big-money,viel Geld
demoralised,demoralisiert
slap-up,erstklassig
unabashed,ungeniert
handbills,Handzettel
manx,Manx
episiotomy,Dammschnitt
wearisome,ermüdend
diomedes,Diomedes
greasepaint,Fettschminke
triglycerides,Triglyceride
difficile,schwierig
passat,Passat
rajab,Rajab
carping,Karpfen
hagerman,Hagerman
docklands,Docklands
pastas,Nudeln
accusatory,anklagend
granby,Granby
probity,Redlichkeit
laughingstock,Gespött
sunless,sonnenlos
humbles,demütigt
hardie,Hardie
housemother,Hausmutter
upsurge,Aufschwung
progressives,Progressive
harwich,Harwich
scarfe,Schal
double-crosses,Doppelverrat
morant,Morant
aldershot,Aldershot
seagoing,Seefahrt
abramson,Abramson
barque,Barke
sigmoid,Sigmoid
matronly,matronenhaft
pansexual,pansexuell
tabula,tabula
grabbers,Greifer
dhow,Dhau
sakhalin,Sachalin
declination,Deklination
patras,patras
gabo,Gabo
earwigs,Ohrwürmer
homophobes,Homophobe
knifepoint,Messerspitze
cosigned,mitunterzeichnet
trolled,getrollt
pellagra,Pellagra
polluter,Umweltverschmutzer
nightwatch,Nachtwache
provable,nachweisbar
tomography,Tomographie
ammonites,Ammoniten
bedfordshire,Bedfordshire
whirled,wirbelte
choirmaster,Chorleiter
elson,Elson
castleman,Castleman
privation,Entbehrung
mispronounced,falsch ausgesprochen
traffics,Verkehr
molt,mausern
npa,npa
seminarian,Seminarist
nm,nm
horrifies,entsetzt
unpolished,ungeschliffen
gsm,GSM
triplex,Triplex
stander,Stander
durocher,Durocher
remora,Schiffshalter
contrivance,Einrichtung
yeomanry,Yeomanry
glinting,glitzernd
jackanapes,Jackanapes
rugrats,Rugrats
robben,Robben
slipup,Ausrutscher
astronomically,astronomisch
agron,Agron
bird-like,vogelähnlich
masquerades,Maskenbälle
polemic,Polemik
sunnier,sonniger
benvenuto,benvenuto
disgraces,Schande
dors,Dors
programed,programmiert
hardtop,Hardtop
thorp,Thorp
nordberg,Nordberg
blabs,schwafelt
marabou,Marabu
neoclassical,neoklassisch
oshkosh,Oshkosh
expending,Ausgaben
atvs,ATVs
festus,festus
informality,Ungezwungenheit
homeostasis,Homöostase
avo,Avocado
svt,svt
buttle,Buttle
templates,Vorlagen
scorecards,Scorecards
half-pipe,Halfpipe
crue,Crue
muscovites,Moskauer
flaxen,flachs
laissez-faire,Laissez-faire
betti,Betti
whomp,Wumms
wanger,Wanger
lynwood,Lynwood
stanislavski,Stanislawski
betted,gewettet
psychodrama,Psychodrama
b-boys,B-Boys
tangshan,Tangshan
forlornly,trostlos
lipsky,Lipsky
suborning,Anstiftung
flatland,Flachland
corticosteroids,Kortikosteroide
wyeth,wyeth
chiropractors,Chiropraktiker
pcbs,Leiterplatten
decimation,Dezimierung
theat,dass
pavia,Pavia
conversed,unterhielten
gurion,Gurion
occluded,verschlossen
eventide,Abend
amphorae,Amphoren
alitalia,Alitalia
cramond,cramond
fijian,Fidschianer
krona,Krone
loveland,Loveland
zy,zy
kurz,kurz
metallurgist,Metallurg
anvils,Ambosse
half-black,halb schwarz
reacquaint,wieder bekannt machen
edgeways,Edgeways
cayuga,Cayuga
halperin,Halperin
kawabata,Kawabata
andaman,Andamanen
hydrophone,Hydrophon
earnestness,Ernst
fanshawe,Fanshawe
blobby,klumpig
stereophonic,Stereophon
deadweight,Totgewicht
axeman,Axtmann
liquefaction,Verflüssigung
sandbanks,Sandbänke
go-round,Runde
deming,Deming
digges,Ausgrabungen
juleps,Juleps
sothern,südlich
untangling,Entwirren
bailouts,Rettungspakete
shopaholic,Kaufsüchtig
anti-theft,Diebstahlsicherung
revocation,Widerruf
uribe,Uribe
macht,macht
deceits,Täuschungen
unequalled,unerreicht
layoffs,Entlassungen
foramen,Foramen
conciliatory,versöhnlich
retread,Runderneuerung
plagiarist,Plagiator
ranted,schimpfte
doubleday,Doppeltag
borel,Bohrloch
scholes,Scholes
tramped,zertrampelt
bolstered,gestärkt
son-of-a-gun,verdammter Mistkerl
monosyllabic,einsilbig
dialogs,Dialoge
strutt,Strebe
drey,Drey
saddler,Sattler
musicianship,Musikalität
toute,toute
oilers,Öler
hushing,leise
osbert,Osbert
invisibles,Unsichtbare
jukes,Jukes
lemnos,Lemnos
morella,Morella
cypriot,Zyprioten
slathered,eingeschmiert
speakeasies,Flüsterkneipen
rumpy,rumpy
necessaries,Notwendigkeiten
lazenby,lazenby
marengo,Marengo
willamette,Willamette
round-the-world,Rund um die Welt
fully-grown,ausgewachsen
castoff,Ausrangierter
sirocco,Schirokko
edamame,Edamame
spankings,Schläge
lameness,Lahmheit
liquidator,Liquidator
correll,Correll
gowrie,Gowrie
bnc,bnc
capitalise,profitieren
argosy,Argosy
dustman,Müllmann
loci,Orte
anti-jewish,antijüdisch
banqueting,Bankett
veen,veen
lurching,taumelnd
jibber,Geschwätz
ccc,ccc
reignited,neu entfacht
kerby,Kerby
wiggs,Wiggs
lds,lds
accentuated,betont
ostrava,Ostrava
cupped,gewölbt
lazily,träge
voronezh,Woronesch
organa,Organa
topples,stürzt um
pored,durchlöchert
moreton,Moreton
over-the-hill,über den Berg
whitewater,Wildwasser
flaying,Häuten
desolated,verlassen
meka,meka
barbier,Barbier
sakti,Shakti
sikkim,Sikkim
waddington,Waddington
agin,erneut
disrobed,entkleidet
northeastern,nordöstlich
shon,shon
teddies,Teddybären
luxuriously,luxuriös
pendent,Anhänger
pilings,Pfähle
fadeout,Ausblenden
sympathisers,Sympathisanten
glitchy,fehlerhaft
retailing,Einzelhandel
cesena,Cesena
kongo,Kongo
diaghilev,Diaghilev
scaramouche,Scaramouche
gawker,Gaffer
estuaries,Ästuare
flowy,fließend
nationalize,verstaatlichen
vied,Wettstreit
paralysing,lähmend
yaqui,Yaqui
benzo,Benzodiazepine
polak,Polak
sproule,Sproule
lancing,Lanzen
foxfire,Fuchsfeuer
calumet,Calumet
usefully,nützlich
blow-by-blow,Schlag für Schlag
correlations,Korrelationen
westphalia,Westfalen
air-cooled,luftgekühlt
megabytes,Megabytes
cokey,Cokey
frankland,Frankland
mid-size,mittelgroße
usaid,USAID
chidambaram,Chidambaram
hopp,Hopp
riskiest,riskanteste
fingerling,Jungfische
rompers,Strampelhöschen
cavite,Cavit
ridgemont,Ridgemont
marketer,Vermarkter
fenimore,Fenimore
macquarie,Macquarie
goodchild,gutes Kind
ibaraki,Ibaraki
knockoffs,Plagiate
schoolmistress,Lehrerin
counselled,beraten
arthurian,Artus
pleat,Falte
housebreaking,Einbruch
aalborg,Aalborg
maligning,Verleumdung
man-of-war,Kriegsschiff
transnational,transnational
gawp,gaff
blastoff,Start
weddell,Weddell
soldered,gelötet
spawns,spawnt
airdate,Ausstrahlungsdatum
stents,Stents
cowlick,Wirbel
maturely,reif
brahe,Brahe
wonk,zwicken
transactional,Transaktion
punch-drunk,boxbetrunken
oxman,Ochse
parada,parada
ravenscroft,Ravenscroft
diviner,Wahrsager
bussed,mit dem Bus
presser,Presse
impalement,Pfählung
jawbreaker,Jawbreaker
bastia,Bastia
derma,Derma
wholehearted,von ganzem Herzen
alen,alen
korma,Korma
rumford,Rumford
teapots,Teekannen
self-destructing,selbstzerstörerisch
cim,cim
baillie,Gerichtsdiener
konda,konda
ackland,Packland
filipina,Filipina
heraclitus,Heraklit
joslin,joslin
ohn,John
spitballs,Spuckbälle
vaporizing,Verdampfen
headings,Überschriften
firebase,Firebase
shooed,verscheucht
hensley,Hensley
unbending,Unbiegung
sturdier,robuster
crystallization,Kristallisation
linguists,Linguisten
chabot,Chabot
fivers,Fünfer
churchmen,Kirchenmänner
hermaphrodites,Hermaphroditen
sequoias,Mammutbäume
goalposts,Torpfosten
foretaste,Vorgeschmack
pomfret,Pomfret
colston,Colston
unsheathe,ziehen
chromatograph,Chromatograph
noaa,NOAA
tika,tika
jaramillo,Jaramillo
danaher,Danaher
conveyer,Förderband
troppo,zu viel
darley,Darley
big-league,große Liga
usgs,USGS
t-bones,T-Bone-Steaks
add-on,hinzufügen Auf
parents-in-law,Schwiegereltern
persepolis,Persepolis
calatrava,Calatrava
landlubbers,Landratten
azura,Azura
overturns,Umstürzen
emplacement,Aufstellung
coexistence,Koexistenz
newscasters,Nachrichtensprecher
mycenaean,mykenisch
mies,Mies
defi,defi
penman,Schreiber
gasser,Gasser
exclusives,Exklusiv
tsarist,Zarist
lampshades,Lampenschirme
underclass,Unterschicht
well-worn,abgenutzt
beloveds,Geliebte
samuelson,Samuelson
half-open,halb geöffnet
self-management,Selbstmanagement
psat,psat
bacteriological,bakteriologische
fens,Moore
strangelove,seltsame Liebe
printout,Ausdruck
sponsorships,Sponsoring
southwestern,südwestlich
inaugurating,Einweihung
dort,dort
matins,Mette
snubbing,Ignorieren
gracy,Gracy
flirtations,Flirts
diverticulitis,Divertikulitis
angering,verärgert
froman,von einem
mantilla,Mantilla
jiggers,Jigger
torrez,Torrez
fantasised,fantasiert
shiniest,am glänzendsten
tethers,Fesseln
atomizer,Zerstäuber
mccully,McCully
deified,vergöttlicht
duvalier,Duvalier
blandford,Blandford
eyewitnesses,Augenzeugen
wenner,wenner
telephonic,telefonisch
brundage,Brandflecken
yojimbo,yojimbo
halleck,halleck
throstle,Drossel
unlit,unbeleuchtet
ungainly,ungeschickt
tty,tty
fulsome,üppig
spann,Spanne
lawlor,Lawlor
prearranged,vorher vereinbart
vitoria,Vitoria
lochs,Seen
bundling,Bündelung
gatewood,Gatewood
tst,tst
cineplex,Cineplex
karaman,Karaman
wiggin,Wiggin
chattels,bewegliche Güter
cruikshank,Kreuzschenkel
shafting,Wellenanlage
wurlitzer,Wurlitzer
melander,Melanger
moisturiser,Feuchtigkeitscreme
emblazoned,verziert
palimony,Unterhaltszahlung
wiccans,Wicca
majorettes,Majoretten
way-out,Ausgang
flexes,Flexes
moller,Möller
morticians,Bestatter
mademoiselles,Mademoiselles
chafes,Scheuerstellen
teixeira,Teixeira
pentobarbital,Pentobarbital
resized,Größe angepasst
catatonia,Katatonie
beazley,Beazley
calvino,Calvino
weightlifter,Gewichtheber
chalices,Kelche
reprinted,Nachdruck
oxides,Oxide
pema,pema
macartney,Macartney
comrade-in-arms,Waffenbruder
galvanic,galvanisch
waistcoats,Westen
nonsmoker,Nichtraucher
philae,Philae
ofi,ofi
anti-japanese,antijapanisch
unhappier,unglücklicher
asaf,asaf
shaper,Formgeber
bassey,Bassey
isu,isu
spinosaurus,Spinosaurus
doorframe,Türrahmen
marjory,Marjory
monopolized,monopolisiert
taverna,Taverne
instigators,Anstifter
fibbed,gelogen
quadrille,Quadrille
danielson,Danielson
chuka,Chuka
jumping-off,Absprung
maxims,Maximen
playlists,Wiedergabelisten
mess-up,Vermasseln
wagoner,Fuhrmann
bamberg,Bamberg
bridewell,Bridewell
kossuth,Kossuth
baseboard,Sockelleiste
maupassant,Maupassant
misappropriated,veruntreut
quanta,Quanten
hardliners,Hardliner
citric,Zitronensäure
ega,ega
newyork,New York
resultant,Ergebnis
buffeting,Sturm
updraft,Aufwind
vetoes,Vetos
prisms,Prismen
adjudicate,entscheiden
jacquet,Jacquet
persecutor,Verfolger
fomenting,Anstiftung
grasse,Gras
irradiation,Bestrahlung
pelayo,Pelayo
prioress,Priorin
eindhoven,Eindhoven
charybdis,Charybdis
two-ply,zweilagig
dogsbody,Mädchen für alles
unswerving,unerschütterlich
shoah,Shoah
montmorency,Montmorency
lmp,lmp
gorse,Stechginster
optimized,optimiert
dunford,Dunford
fifths,Fünftel
daw,daw
softies,Weichlinge
kristie,Kristie
wriggled,wand sich
spritzers,Spritzer
fretted,gebändert
preeminent,herausragend
honorifics,Höflichkeitsformen
wouter,Wouter
tolerances,Toleranzen
redhead,Rothaarige
riaa,riaa
hadfield,Hadfield
relishes,Genuss
heian,Heian
ill-treated,schlecht behandelt
hotmail,Hotmail
sexualized,sexualisiert
numberless,zahllos
ohl,ohl
ruc,ruc
premiering,Premiere
gurkhas,Gurkhas
coalesced,verschmolzen
tethys,Tethys
privatize,privatisieren
emetic,Brechmittel
cen,Zentrum
knossos,Knossos
horizonte,Horizont
pref,Präferenz
prophylactics,Prophylaktika
vocalize,singen
coring,Kernbohrung
macrae,Makra
arezzo,Arezzo
zechariah,Sacharja
tabu,Tabu
yakima,Yakima
millen,Millennium
spring-cleaning,Frühjahrsputz
uncorked,entkorkt
oram,oram
epithets,Beinamen
albee,Albee
pooka,Pooka
antipsychotics,Antipsychotika
duchesse,Herzogin
philosophize,philosophieren
plateaus,Plateaus
snowboarders,Snowboarder
self-interested,eigennützig
indexing,Indizierung
faubourg,Faubourg
rolland,rolland
tow-truck,Abschleppwagen
whiteout,Schneesturm
aerodynamically,aerodynamisch
crocks,Steingutkrüge
air-to-air,Luft-zu-Luft
roundtree,Rundbaum
ultimo,ultimo
takasaki,Takasaki
filbert,Haselnuss
panadol,Panadol
scads,Unmengen
vini,Wein
ciabatta,Ciabatta
davila,davila
katanga,Katanga
jeu,jeu
orwellian,Orwellianisch
blase,blasiert
fatalist,Fatalist
appetising,appetitlich
tyrese,Reifen
roasters,Röster
summerlin,Summerlin
cte,CTE
holidaymakers,Urlauber
fairweather,Schönwetter
pizzicato,Pizzicato
frankfort,Frankfurt
jackboots,Stiefel
molino,Molino
rope-a-dope,Seil-ein-Dope
patsies,Patsies
impermanent,unbeständig
peppercorns,Pfefferkörner
chitose,Chitose
scharf,scharf
chasseur,Jäger
koss,Koss
bazan,bazan
decisiveness,Entschlossenheit
afghanis,Afghanen
foot-and-mouth,Maul- und Klauenseuche
retails,Einzelhandel
honoree,Geehrter
medico,Arzt
cornflowers,Kornblumen
toey,Toey
intransigence,Unnachgiebigkeit
ambrosio,Ambrosio
subnormal,unterdurchschnittlich
immy,immy
unsupportive,nicht unterstützend
quesada,Quesada
fended,abgewehrt
demonized,dämonisiert
marron,Kastanienbraun
paramilitaries,Paramilitärs
hamon,Hamon
shippen,Schiff
regensburg,Regensburg
gas-station,Tankstelle
compressors,Kompressoren
encyclopedic,enzyklopädisch
sheathed,umhüllt
canute,Knut
penton,Penton
paiva,Paiva
duffers,Trottel
susskind,susskind
chantel,Chantel
stenson,Stenson
costal,Küsten
collett,Collett
elevenses,Vormittagssnack
interviewee,Interviewpartner
fixations,Fixierungen
sivan,Sivan
subservience,Unterwürfigkeit
overanxious,überängstlich
chilblains,Frostbeulen
propranolol,Propranolol
sika,Sika
capybara,Wasserschwein
brightman,Brightman
bonanno,Bonanno
chat-up,Anmache
nunchaku,Nunchaku
misconstrue,missverstehen
hominy,Hominy
bete,bete
pontefract,Pontefrakt
ejects,Auswürfe
whelks,Wellhornschnecken
wisenheimer,Wisenheimer
acoustical,akustische
frascati,frascati
seismologists,Seismologen
shiga,Shiga
luhrmann,Luhrmann
leet,leet
profligate,verschwenderisch
abidjan,Abidjan
foregoing,vorgenannten
automata,Automaten
wet-nurse,Amme
thickheaded,dickköpfig
theroux,Theroux
convulsive,krampfartig
aristides,Aristides
carlsson,Carlsson
modernisation,Modernisierung
carmelites,Karmeliten
personages,Persönlichkeiten
midvale,Mitteltal
galliano,Galliano
sewerage,Kanalisation
contended,behauptete
meissner,Meissner
furtado,Furtado
incubated,inkubiert
pedagogue,Pädagoge
psb,psb
clinician,Kliniker
extravagantly,verschwenderisch
silurian,Silur
turndown,Turndown
dakotas,Dakotas
gsc,gsc
chorley,Chorley
westgate,Westgate
drongo,Drongo
glorification,Verherrlichung
goosed,gegans
groundswell,Volksbewegung
high-intensity,hochintensiv
nau,Nau
odourless,geruchlos
quays,Kais
flaxseed,Leinsamen
pivoting,Drehen
proximate,nahe
amyloid,Amyloid
perms,Dauerwellen
ringgit,Ringgit
barberini,Barberini
mullan,Mullan
helpfully,hilfreich
flakey,schuppig
tritium,Tritium
ecker,Ecker
shortchanged,benachteiligt
anti-doping,Anti-Doping
geodesic,geodätisch
inhabitable,bewohnbar
formic,Ameisensäure
capitalizing,Großschreibung
targa,Targa
smudging,Räuchern
undiluted,unverdünnt
carbons,Kohlenstoffe
perl,Perl
ahmadinejad,Ahmadinejad
consequent,Folge
decamp,decamp
scarabs,Skarabäen
spitalfields,Krankenhausfelder
crappiest,beschissensten
mid-thirties,Mitte dreißig
blown-up,in die Luft gesprengt
barka,barka
posited,postuliert
skinful,hautvoll
syme,Syme
baldheaded,kahlköpfig
unspoilt,unberührt
militarized,militarisiert
inebriate,berauschen
pankhurst,Pankhurst
bhadra,Bhadra
chronicling,Chronik
zamindar,Zamindar
antoninus,Antoninus
unclip,ausclipsen
destin,Schicksal
counterrevolutionary,konterrevolutionär
maurer,Maurer
dube,Dube
tunbridge,Tunbridge
natascha,Natascha
tapers,Verjüngungen
royer,Royer
bearnaise,Béarnaise
kosygin,Kosygin
twitters,Twitter
pacers,Tempomacher
certitude,Sicherheit
muna,muna
biopsies,Biopsien
swisher,Swisher
montespan,Montespan
buckaroos,Cowboys
pilchards,Sardinen
constituencies,Wahlkreise
peignoir,Peignoir
framingham,Framingham
rationalise,rationalisieren
satie,Satie
methylene,Methylen
takeoffs,Starts
aad,aad
banff,Banff
rotund,rund
fraying,Ausfransen
mixologist,Mixologe
gsp,gsp
ingratiating,einschmeichelnd
deniable,leugnbar
dld,dld
ampersand,&
masjid,Moschee
treviso,Treviso
humungous,gigantisch
distinctively,unverwechselbar
no-neck,ohne Hals
bakken,Bakken
aspirant,Aspirant
implores,fleht
dabbing,Dabbing
navels,Bauchnabel
frustratingly,frustrierend
mathematic,Mathematik
susceptibility,Anfälligkeit
gok,gok
derosa,derosa
flaunts,prahlt
futurama,Futurama
preempted,unterbrochen
seldon,Seldon
padova,Padua
zig-zag,Zickzack
rohr,Rohr
modifier,Modifikator
buffeted,umweht
airboat,Luftkissenboot
surmount,überwinden
pinnacles,Zinnen
imperishable,unvergänglich
foetuses,Föten
anticlimax,Enttäuschung
lippe,Lippe
derp,derp
pardee,Pardee
draftees,Wehrpflichtige
expropriated,enteignet
thumbscrews,Rändelschrauben
boychik,boychik
pullen,Pullen
know-nothing,Ahnungslos
lateef,Lateef
imm,imm
bord,Bord
thales,Tales
canavan,Canavan
epithet,Beiname
bopped,bopped
multidimensional,multidimensional
lucre,Gewinn
subbasement,Untergeschoss
cassowary,Kasuar
goal-oriented,zielorientiert
exorcists,Exorzisten
dusts,Stäube
shirked,drückte sich
escargots,Schnecken
liveliness,Lebendigkeit
baroni,Baroni
blandings,Blandings
megara,Megara
otranto,Otranto
setters,Zuspieler
giger,giger
ocampo,Ocampo
faeries,Feen
cours,Kurs
cto,CTO
crystallised,kristallisiert
lip-read,Lippenlesen
starstruck,Starstruck
slicks,Slicks
innovating,innovativ
ropey,seilartig
evangelicals,Evangelikale
epidemiologist,Epidemiologe
barreled,Fass
decapitating,Enthauptung
interdepartmental,interdisziplinär
yount,jung
itu,itu
kathi,Kathi
lue,lue
tapia,Tapia
creationist,Kreationist
ete,ete
snakey,schlangenhaft
inexpressible,unaussprechlich
volleys,Volleys
lassoed,mit dem Lasso eingefangen
fitful,unruhig
hijacks,Entführungen
aimer,Zielvorrichtung
illusive,illusorisch
claimants,Anspruchsteller
cubitt,Cubitt
propositioning,Angebot
detaching,Abtrennen
cuckooing,Kuckuck
illya,Illya
fogle,Fogle
transmigration,Transmigration
rattrap,Rattenfalle
pps,Seiten
rtl,rtl
gallium,Gallium
shillelagh,Shillelagh
fryers,Friteusen
gens,gens
endeared,geliebt
diskette,Diskette
tobago,Tobago
interagency,behördenübergreifend
defaulting,Standardeinstellung
bisexuals,Bisexuelle
riffles,Riffel
attorney-at-law,Rechtsanwalt
ofsted,ofsted
femurs,Oberschenkelknochen
brahim,Brahim
tova,Tova
al-anon,al-anon
cragg,Cragg
sfo,sfo
tck,tck
pierogi,Pierogi
egerton,Egerton
poa,poa
plebes,Plebejer
totalling,insgesamt
sunfish,Sonnenbarsch
spellers,Rechtschreiber
cromartie,Cromartie
eighths,Achtel
gourmets,Feinschmecker
secord,secord
koreas,Koreas
uproarious,urkomisch
gender-neutral,geschlechtsneutral
tattooer,Tätowierer
wagonload,Wagenladung
stanzas,Strophen
anti-rejection,Abstoßungsschutz
machinists,Maschinisten
pavlovian,Pawlowsch
relaunch,Neustart
sinusitis,Sinusitis
classifications,Klassifizierungen
crispus,knusprig
substations,Umspannwerke
strappy,riemen
toed,Zehen
verruca,Warze
commercialized,kommerzialisiert
hang-gliding,Hängegleiten
dalliances,Liebschaften
yokes,Joche
sali,Salbei
presupposes,setzt voraus
contretemps,Streit
collegium,Kollegium
overage,Überschuss
phosgene,Phosgen
mik,mik
octopi,Oktopusse
gigawatts,Gigawatt
pendergrass,Pendergrass
turlock,Turlock
sth,etwas
coun,Graf
eleanora,Eleanora
waifs,Waisen
dahlgren,Dahlgren
resettle,umsiedeln
zhejiang,Zhejiang
rationalized,rationalisiert
scarcer,seltener
frill,Krause
kronen,Kronen
coburg,Coburg
hhs,hhs
tabard,Wappenrock
quick-tempered,aufbrausend
infinitesimally,infinitesimal
gillman,Gillman
diagnostician,Diagnostiker
maywood,Maywood
barracudas,Barrakudas
serenades,Serenaden
bookkeeping,Buchhaltung
brandywine,Brandywein
trocadero,Trocadero
sulley,Sulley
fiddlers,Geiger
hypersensitivity,Überempfindlichkeit
reflexive,reflexiv
beaus,Schönheiten
alleviated,gelindert
vaporise,verdampfen
m-theory,m-Theorie
torpor,Torpor
uncontaminated,unkontaminiert
high-roller,High Roller
jell,Gelee
loafs,Laibe
capistrano,Capistrano
chlorinated,chloriert
greensboro,Greensboro
hyder,Hyder
retentive,retentiv
ihe,er
trashman,Müllmann
briefer,kürzer
receptionists,Rezeptionisten
counterattacks,Gegenangriffe
kaia,Kaia
mataram,Mataram
ejections,Auswürfe
all-rounder,Allrounder
fitzherbert,Fitzherbert
skag,Skag
willits,willits
alleviating,lindern
quieting,Ruhe
snow-capped,schneebedeckt
handily,mühelos
mf,mf
duvets,Bettdecken
postgraduate,postgraduales
quadruplets,Vierlinge
wuchang,Wuchang
jackpots,Jackpots
fif,fünf
originator,Urheber
natron,Natron
germantown,Germantown
dampier,Dämpfer
oil-based,ölbasierend
day-glo,Tagleuchtend
suetonius,Sueton
pandy,Pandy
plunders,Plünderungen
summerland,Sommerland
lorax,Lorax
reentering,Wiedereintritt
barreto,barreto
eyeline,Blickkontakt
mass-produce,Massenproduktion
cosell,Co-Verkauf
segmented,segmentiert
brand-name,Markenname
knowlton,Knowlton
a-way,weg
klezmer,Klezmer
captivates,fesselt
all-father,Allvater
rowntree,Rowntree
sorokin,Sorokin
opioids,Opioide
reunites,Wiedervereinigung
thiers,ihre
perceptible,wahrnehmbar
daoud,daoud
crosstalk,Übersprechen
ruefully,bedauernd
hallett,Hallett
welter,Welter
deletes,löscht
unexpressed,unausgesprochen
relapsing,Rückfall
recapturing,Wiedererlangung
unerring,unfehlbar
lifespan,Lebensdauer
crewmembers,Besatzungsmitglieder
microlight,Ultraleichtflugzeug
kibbles,Trockenfutter
apprehensions,Befürchtungen
animas,Animas
drek,drek
chinstrap,Kinnriemen
bandanas,Bandanas
tue,Dienstag
kirkby,Kirkby
toit,zu
sleighing,Schlittenfahren
rothko,Rothko
top-rated,Top-Bewertung
comprehended,verstanden
livre,Buch
bindle,Bündel
languor,Mattigkeit
high-fashion,Haute Couture
muscovite,Moskauer
picot,Picot
ungovernable,unregierbar
meyerson,Meyerson
