you,אַתָה
partitions,מחיצות
feld,פלד
capillary,נִימִי
novi,נובי
reinhard,ריינהרד
repertory,רפרטואר
opting,בחירה
supersedes,מחליף
brower,בראור
prepubescent,טרום גיל ההתבגרות
backstab,דקירה בגב
dinks,דינקס
starke,סטארק
traversed,חצה
anally,אנאלית
whitehorse,סוס לבן
codenamed,שם קוד
capitalized,באותיות גדולות
lubitsch,לוביטש
gyros,גירוס
vieux,וייט
cebu,סבו
angelino,אנג'לינו
jarrah,ג'ארה
quattro,קוואטרו
pabst,פבסט
gushes,פורץ
waugh,וואו
restricts,מגביל
arima,ארימה
montreuil,מונטריי
moshi,מושי
scammer,נוכל
toadstool,פטריית קרפדה
cronin,קרונין
shelving,מדפים
altan,אלטן
outranks,עולה בדירוג
rosi,רוזי
gaffe,טעות
denier,מכחיש
shaughnessy,שוניס
kot,קוט
agave,אגבה
crabbing,סרטנים
beppe,בפה
chickpea,חומוס
incineration,שריפה
wass,וואס
sauer,סאואר
pint-sized,בגודל של ליטר
wushu,וושו
self-discovery,גילוי עצמי
sisters-in-law,גיסות
etruscans,האטרוסקים
aubry,אוברי
bytes,בתים
cowgirls,קאוגירלס
gingham,גינגהם
repellant,דוחה
antipathy,סְלִידָה
salespeople,אנשי מכירות
cognizant,מודע
non-veg,לא צמחוני
randa,רנדה
gtr,GT-R
armadillos,ארמדילים
syncope,סִינקוֹפָּה
mottram,מוטרם
merest,המעט ביותר
facades,חזיתות
placido,פלסידו
tern,שַׁחֲפִית
innes,אינס
rodolphe,רודולף
unburdened,משוחרר
woodie,וודי
hemostat,המוסטט
dockyard,מִספָּנָה
ionized,מיונן
internships,התמחויות
bernt,ברנט
concurrent,בו זמנית
criminologist,קרימינולוג
scruggs,סקראגס
quod,קוואד
biographical,בִּיוֹגְרָפִי
comedown,ירידה
neutralizes,מנטרל
grazers,רועי רועים
acclimated,התאקלם
nto,אנטו
nozzles,חרירים
authored,כתב
aborigine,יָלִיד
gymnastic,התעמלות
dewan,דיוואן
xs,xs
gussy,גוסי
doorsteps,מפתני דלתות
overcoats,מעילים
albans,אלבנס
mura,מורה
bursitis,אַמתַחַת
bronzer,ברונזר
guestroom,חדר אורחים
blanketed,שמיכה
councilors,חברי מועצה
alpacas,אלפקות
herz,הרץ
minogue,מינוג
naturalistic,טִבעוֹנִי
alfaro,אלפארו
brazier,כָּנוֹן
houser,ביתן
mixtures,תערובות
anti-inflammatory,אנטי דלקתי
banjos,בנג'ו
nosed,אף
stendhal,סטנדל
pye,פאי
internist,רופא פנימי
ginkgo,גִינקוֹ
intimacies,אינטימיות
goaded,דרבן
schmo,סמו
hendry,הנדרי
distillation,זִקוּק
confounding,מבלבל
bloodthirsty,צמא דם
huss,הוס
levees,סכרים
vesper,ערב
dished,מְצוּבָל
pluses,יתרונות
pirating,פיראטיות
lave,לִרְחוֹץ
afterbirth,שִׁליָה
worrywart,דאגה
reverting,חוזרים
abscond,לברוח
parsifal,פרסיפל
presbytery,פרסביטריום
stoat,סַמוּר
mccloskey,מקלוסקי
ims,הודעות טקסט
passbook,פנקס
kerwin,קרווין
bunco,באנקו
giv,תן
gild,לְהַזהִיב
foist,לדחוף
earthen,אדמה
directionality,כיווניות
letta,לטה
tonsillitis,דַלֶקֶת שְׁקֵדִים
pressurised,בלחץ
consents,הסכמות
brownlow,בראונלו
fairlie,פיירלי
bandleader,מוביל הלהקה
ramachandran,רמצ'נדרן
compensates,מפצה
contaminant,מזהם
collate,לְהַשְׁווֹת
schoolroom,כיתת בית הספר
beary,דובי
blanch,לְהַלבִּין
tottering,מתנדנד
hazed,מעורפל
federica,פדריקה
roommate,שׁוּתָף לְחֶדֶר
frenchwoman,צרפתייה
paiute,פאיוט
cuca,קוקה
self-criticism,ביקורת עצמית
glamor,זוֹהֵר
arminius,ארמיניוס
dt,dt
altos,אלטוס
butternut,בוטנים
britannica,בריטניקה
zoolander,זולנדר
phish,פישינג
smirnoff,סמירנוף
piraeus,פיראוס
weeded,עשב
advertises,מפרסם
corliss,קורליס
culloden,קולודן
quarterfinals,רבע גמר
endive,עוֹלֶשׁ
regressing,נסיגה
souped-up,מוּרָכָן
shrift,חסינות
goeth,גֶת
wac,וואק
whoreson,בן זונה
hinds,איילות
arcadian,ארקדיאני
scrupulously,בקפידה
year-long,נִמשָׁך שָׁנָה שְׁלֵמָה
humvees,האמרס
jemmy,ג'מי
hemorrhages,דימומים
suckled,ינק
mythologies,מיתולוגיות
six-shooter,שישה יורים
drogo,דרוגו
wolly,צמרירי
communicable,מדבק
age-appropriate,מתאים לגיל
mallick,מליק
clued,רמז
hermanos,הרמנוס
dickensian,דיקנסיאני
headrest,משענת ראש
consuls,קונסולים
lunges,לאנג'ים
kilburn,קילבורן
energizer,אנרג'ייזר
wisps,קווצות
mountford,מאונטפורד
weissman,וייסמן
solomons,שלמה
halfwits,חצופים
ricard,ריקארד
reverberating,מהדהד
nonnegotiable,בלתי ניתן למשא ומתן
tah,טה
haver,הַהַבֵּר
tatar,טטארית
urs,שלך
infuriates,מעורר זעם
widget,ווידג'ט
eas,קל
erecting,הקמה
antemortem,לפני המוות
rebooted,הופעל מחדש
mcnaughton,מקנוטון
laurin,לורין
fill-in,מילוי
bad-boy,ילד רע
greyson,גרייסון
heros,גיבורים
reebok,ריבוק
micromanage,מיקרו-ניהול
sumer,קיץ
take-home,לקחת הביתה
colonist,מִתיַשֵׁב
personalize,התאמה אישית
liquidating,פירוק
friended,חבר
donnell,דונל
vander,ונדר
hulking,מְסוּרבָּל
bayer,באייר
nouvelle,חדש
opel,אופל
sublevel,תת-רמה
licentious,מוּפקָר
rigatoni,ריגטוני
alr,אלר
aina,איינה
northrup,נורת'רופ
encode,לְהַצְפִּין
monza,מונזה
recedes,נסוג
topsail,מפרש עליון
presidio,פרסידיו
greville,גרוויל
videographer,צלם וידאו
bathurst,בת'רסט
knightly,אביר
marwood,מרווד
mable,מייבל
sparrowhawk,דרורוק
basu,באסו
gumdrop,גומי
apollonia,אפולוניה
molyneux,מולינו
tring,טרינג
sours,חמוץ
tutto,הכל
kw,קוו
bleek,בליק
hieroglyphic,הירוגליפי
tiernan,טירנן
bric-a-brac,חפצים חפצים
ablutions,רחצות
hairier,שעיר יותר
alessio,אלסיו
soft-spoken,דיבור רך
inborn,מוּטבָּע
bronstein,ברונשטיין
lose-lose,הפסד-הפסד
curly-haired,שיער מתולתל
partaking,משתתף
uncircumcised,עָרֵל
selassie,סלאסי
hanker,לְהִשְׁתוֹקֵק
interspecies,בין-מינים
instep,גַב כַּף הַרֶגֶל
satiated,שָׂבֵעַ
vina,וינה
cognacs,קוניאק
sunburnt,שזוף שמש
inviolable,בלתי ניתן לפגיעה
cradles,עריסות
maidenhead,בְּתוּלִים
pica,פיקה
prichard,פריצ'רד
carrick,קאריק
escapism,בְּרִיחָה מְהַמְצִיאוּת
nda,לא ידוע
rejuvenating,מרענן
abductees,חטופים
fy,פי
toole,כלי
sneezy,מתעטש
apoplexy,שָׁבָץ
gorham,גורהאם
tpa,ט.פ.א.
normalize,לנרמל
srinagar,סרינגאר
creationism,בריאתנות
coto,קוטו
diefenbaker,דיפנבייקר
doppelgangers,כפילים
underweight,תת משקל
waddles,מתנודד
laze,לְהִתְבַּטֵל
bipedal,דו-רגלי
misdemeanour,עָווֹן
trapani,טראפאני
cutouts,גְזִירִיוֹת
flatfooted,שטוח רגליים
osterman,אוסטרמן
attainable,רָכִישׁ
sceptic,סַפקָן
crucifying,צליבה
franke,פרנקה
utilitarian,תוֹעַלתָנִי
sondheim,סונדהיים
blunted,קהה
inlay,שִׁבּוּץ
issei,איסיי
swati,סוואטי
broadsword,חרב רחבה
voiceprint,טביעת קול
belafonte,בלפונטה
intermediaries,מתווכים
misnomer,שֵׁם מַטעֵה
get-togethers,מפגשים
homeschooling,חינוך ביתי
saner,שפוי יותר
jiggles,מתנועע
houten,הוטן
novo,נובו
muchacha,מוצ'ה
counterterrorism,לוחמה בטרור
brittney,בריטני
keywords,מילות מפתח
otero,אוטרו
mufti,מוּפתִי
honest-to-goodness,כנה בכנות
poste,דואר
permeated,חלחל
guttenberg,גוטנברג
rowers,חותרים
fixings,תיקונים
kolkhoz,קולחוז
undersecretary,תת-שר
tinkers,פחחים
grazes,שריטות
habe,האבה
generalized,מוכלל
caning,הלקאה
procrastination,סַחֶבֶת
rotational,סיבובי
sheeran,שירן
catchphrases,ביטויי מפתח
retardation,פיגור
remorseless,חסר רחמים
borodin,בורודין
creeds,אמונות
bina,בינה
genocidal,רצח עם
niemeyer,נימאייר
city-states,ערי-מדינות
pouncing,קופץ
shareef,שארף
clintons,קלינטון
oligarchy,אוֹלִיגַרכְיָה
ashur,אשור
adolphus,אדולפוס
wettest,הרטוב ביותר
scrimp,לְקַמֵץ
newtown,ניוטאון
cooperman,קופרמן
tristate,טריסטאט
cricketers,קריקטרים
a2,א2
calaveras,קלברה
stilwell,סטילוול
thumbnail,תמונה ממוזערת
martineau,מרטינו
foremen,מנהלי עבודה
wispy,דקים
carnie,קרני
bridgehead,רֹאשׁ גֶשֶׁר
beaux,יפה
ashanti,אשנטי
harangue,תוֹכֵחָה
obata,אובטה
fisting,פיסטינג
wigan,ויגאן
repairmen,אנשי תיקונים
kreuger,קרויגר
gainst,נגד
rou,רו
overstay,לִשְׁהוֹת יוֹתֵר מִדַי
norther,צפוני
c-span,c-span
adra,אדרה
tetracycline,טטרציקלין
blakey,בלייקי
masterly,אוּמָנוּתִי
airbus,איירבוס
aaronson,אהרוןסון
redistribute,לחלק מחדש
menken,מנקן
hilarity,צָהֳלָה
keough,קיו
iki,איקי
irreparably,באופן בלתי הפיך
force-feed,הזנה בכוח
bindi,בינדי
skits,מערכונים
celestina,סלסטינה
expiring,פג תוקף
gish,גיש
compendium,קומפנדיום
galoot,גלוט
infantryman,רַגלִי
rigo,ריגו
bonilla,בונילה
mycenae,מיקנה
stepdaughter,בַּת חוֹרֶגֶת
vouching,ערבויות
accelerators,מאיצים
worser,גרוע יותר
whi,ווי
flamed,להבה
webcast,שידור אינטרנט
major-league,ליגה ראשית
geologically,מבחינה גיאולוגית
landless,חסרי אדמה
haviland,האבילנד
breakneck,מְהִירוּת מְסוּכֶּנֶת
rapa,ראפה
unhitch,לנתק
rockabilly,רוקבילי
visualized,דמיינו
sawn,מְנוּסָר
eastwards,מזרחה
dingleberry,דינגלברי
aquamarine,תַרשִׁישׁ
starry-eyed,עיניים זרועות כוכבים
squirrely,סנאי
unsuited,לא מתאים
fancying,מדמיין
squaws,סקוואס
blackmore,בלאקמור
toland,טולנד
fujian,פוג'יאן
kandy,קנדי
top-up,טעינה
second-story,קומה שנייה
aromas,ניחוחות
coda,קודה
mesmerize,לְהַפּנֵט
jocasta,יוקסטה
beekeeping,גידול דבורים
greeter,מקבל פנים
emptier,ריק יותר
enclosures,מארזים
nata,נטה
textured,מרקם
lemony,לימוני
double-breasted,כפול חזה
self-satisfied,מרוצה מעצמה
somerville,סומרוויל
emotive,רִגוּשִׁי
mondrian,מונדריאן
viciousness,רִשׁעוּת
tarquin,טארקין
freyja,פרייה
sida,סידה
bayley,ביילי
alphonso,אלפונסו
gastronomic,גַסטרוֹנוֹמִי
detachable,נָתִיק
tough-guy,בחור קשוח
crusted,מוּקרָם
arbuthnot,ארבת'נוט
kumquats,קומקוואטים
gnashing,חריקה
prefab,טרומי
forgivable,נסלח
femmes,נשים
maro,מארו
babak,באבק
saa,סאה
lett,לט
ghandi,גנדי
squeaky-clean,נקי להפליא
shunted,מוסט
howitzer,הוֹבִיצֶר
displacing,עקירה
loam,טִין
golgotha,גָלגָלתָא
frappuccino,פרפוצ'ינו
channelled,מְתוֹעָל
dethrone,להדיח
posit,לְהַנִיחַ
blockaded,חסום
shallower,רדוד יותר
nicaraguan,ניקרגואה
self-fulfilling,הגשמה עצמית
jockeying,רוכבים
scornful,מָלֵא בּוּז
mesmerising,מהפנט
abelard,אבלרד
cosme,קוסמה
cun,כוס
chaperoned,מלווה
sedans,מכוניות סדאן
trevelyan,טרבלין
asshat,מטומטם
fois,פואיס
prefontaine,פרפונטיין
fraudster,רמאי
overplayed,משוחק יתר על המידה
emeritus,אמריטוס
unionist,יוניוניסט
bullfights,מלחמות שוורים
celadon,סלדון
schlepping,רחיפה
hankies,ממחטות
humanistic,הומניסטי
cheviot,חביות
analogous,מַקְבִּיל
echigo,אכיגו
networked,רשתית
trudge,לְדַשׁדֵשׁ
yearling,בֶּן שָׁנָה
drysdale,דרייסדייל
lotz,לוץ
homily,דְרָשָׁה
afonso,אפונסו
pullout,נשלף
tante,טנטה
tenderfoot,טִירוֹן
kerfuffle,קרב
great-grandchildren,נינים
heeled,עקבים
nbsp,nbsp
metastasis,גרורות
hiko,היקו
ethylene,אתילן
rivington,ריווינגטון
novocaine,נובוקאין
gett,קבל
enthralling,מְרַתֵק
kitch,מטבח
tipple,לִסְבּוֹא
hankey,ממחטה
entangle,לְסַבֵּך
budgetary,תַקצִיבִי
vertebrate,בַּעֲלֵי הַחוּלִיוֹת
anzac,אנזאק
lonergan,לונרגן
rausch,ראוש
tutti-frutti,טוטי-פרוטי
lillehammer,לילהאמר
subtracting,מְחַסֵר
meis,מייס
transpires,קורה
rameses,רעמסס
performance-enhancing,משפר ביצועים
quasars,קוואזרים
patronized,התנשא
samo,סמו
bathory,באטורי
shyly,בביישנות
seductively,באופן מפתה
adhesions,הידבקויות
voigt,וויגט
rower,מֵשִׁיט
suriname,סורינאם
calabrese,קלברזה
ababa,אבבה
chungking,צ'ונגקינג
mouton,מוטון
ecologist,אֵקוֹלוֹג
hour-long,שעה
journeying,מסע
ashen,אַפְרוּרִי
lollies,סוכריות על מקל
entomology,אֶנטוֹמוֹלוֹגִיָה
maidan,מיידן
coldhearted,קר לב
stewardship,סַדרָנוּת
engle,אנגל
rabat,רבאט
ably,בכישרון רב
retrofitted,משודרג
shani,שני
ector,קטור
page-turner,סוחף
contorted,מעוות
motorways,כבישים מהירים
arcing,קשתות
senhora,סניורה
caterwauling,קטרנינג
cloven,שָׁסוּעַ
reindeers,איילים
tills,קופה
sens,חוש
shipman,איש ספינות
conforming,תואם
tabi,טאבי
kym,קים
eavesdropped,האזינו
poss,אפשרות
tuareg,טוארג
strachan,סטרכן
drawl,לְדַבֵּר לְאַט
week-long,שבוע שלמים
unforeseeable,בלתי צפוי
showpiece,פריט ראווה
averell,אוורל
arielle,אריאל
carbone,קרבון
gauchos,גאוצ'וס
enveloping,עוטף
putt-putt,פאט-פאט
confit,קונפי
double-date,דייט כפול
scribbler,קַשׁקְשָׁן
telemarketer,משווק טלפוניה
bunghole,חור בוץ
noto,נוטו
distill,זיקוק
unravels,מתפרק
nonchalance,קוֹר רוּחַ
cuevas,קואבות
slivers,רסיסים
layabout,בַּטלָן
jeer,לִלְעוֹג
dullness,קֵהוּת
imprinting,הטבעה
obscuring,מטשטש
arrondissement,הרובע
cassis,קסיס
rapacious,טוֹרֵף
nib,חוֹד
counteroffer,הַצָעָה נִגדִית
all-nighters,כל הלילה
hatchling,גוזל
focussed,מְרוּכָּז
litmus,לקמוס
dancy,רקדנית
faint-hearted,רַך לֵבָב
norn,נורן
nickel-and-dime,ניקל ודונטיה
casas,קאסאס
burnley,ברנלי
threadbare,מְרוּפָּט
gilley,גילי
kashima,קאשימה
audits,ביקורות
multicolored,צִבעוֹנִי
meanies,רשעים
shunning,הימנעות
benzodiazepine,בנזודיאזפין
sehr,סהר
clansmen,בני שבט
alleles,אללים
cockburn,קוקברן
hok,הוק
eighty-two,שמונים ושתיים
nieman,נימן
azimuth,אַזִימוּט
sira,סירה
kasai,קסאי
briskly,במהירות
auvergne,אוברן
inconveniencing,אי נוחות
envying,מקנא
toblerone,טובלרון
leica,לייקה
bauhaus,באוהאוס
phenom,פנום
baser,בסיסי
fothergill,פוטרגיל
weathering,בליה
tura,טורה
itineraries,מסלולי טיול
negress,כּוּשִׁית
hieronymus,הירונימוס
stopgap,פְּקָק
narciso,נרקיסו
muscle-bound,קשור לשרירים
contends,טוען
afeard,מפחד
papist,פפיסט
jiving,ג'יבינג
tko,טקו
iwasaki,איוואסאקי
subzero,תת-אפס
brawny,שְׁרִירִי
cockfighting,קרב תרנגולים
discards,זרקות
aerodrome,שְׂדֵה תְעוּפָה
undercurrent,זֶרֶם תַחתִי
solan,סולאן
seco,סקו
dufour,דופור
dogmatic,דוֹגמָטִי
objectified,אובייקטיבי
foi,פואי
lemuel,למואל
alexandrine,אלכסנדרין
cecelia,ססיליה
asphyxiate,לחנוק
dispositions,נטיות
goiter,זֶפֶק
byte,בייט
double-jointed,דו-מפרקי
stickin-the-mud,נדבק בבוץ
antiviral,אנטי-ויראלי
mephisto,מפיסטו
mom-and-pop,אמא ואבא
leicestershire,לסטרשייר
unflinching,בלתי מתפשר
overhand,יתר על המידה
corporals,רב"טים
monstrosities,מפלצות
end-stage,שלב סופי
wracking,חורק
bregman,ברגמן
abhorred,מְשׁוּקָץ
jawline,קו הלסת
sagebrush,מרווה
inhalers,משאפים
adagio,אדאגיו
hootenanny,הוטנני
mullin,מולין
finisher,גימור
manky,מְרַעֵל
farrelly,פארלי
graphically,בְּצוּרָה גְרָפִית
woodpeckers,נקרים
parables,משלים
bms,BMS
papoose,תִינוֹק אִינדִיאָנִי
mah-jongg,מה-ג'ונג
strozzi,סטרוצי
premiership,ראשות הממשלה
lengthened,התארך
nardi,נרדי
counterintelligence,מודיעין נגדי
carload,מטען רכב
dermatitis,דַלֶקֶת הָעוֹר
martindale,מרטינדייל
nutsy,משוגע
atc,מסלול תנועה
braise,לִצְלוֹת
short-circuited,קצר חשמלי
manhandling,התעללות
damndest,הכי ארור
dif,הבדל
gird,לֶאֱזוֹר
dorsett,דורסט
schoolbooks,ספרי לימוד
baptizing,מטביל
ved,וד
deftly,בזריזות
surfs,גולשים
esperanto,אֶסְפֵּרַנְטוֹ
creon,קריאון
oxygenated,מחומצן
subsurface,תת-הקרקע
serenading,סרנדה
esma,אסמה
pompidou,פומפידו
lanyon,שרוך
showoffs,ראוותנות
rspca,rspca
transcending,מתעלות
ile,אייל
gutman,גוטמן
cockle,צִדפָּה
agro,אגרו
wetzel,ווטצל
haakon,הוקון
cashes,מזומנים
tuns,טון
blurs,טשטוש
cut-rate,שער הנחה
bakewell,בייקוול
whippersnapper,שַׁחְצָן
gusty,סוֹעֵר
pontoons,פונטונים
ogi,אוגי
cathay,קתאי
breda,ברדה
jeweled,משובץ אבני חן
behoove,ראוי
immersive,סוחף
encrypt,להצפין
camisole,חוּלצָה
pili,פילי
knott,קשר
herculean,הרקולס
deactivation,שִׁחרוּר מִשֵׁרוּת
wolfowitz,וולפוביץ
tonsil,שָׁקֵד
rothwell,רות'וול
predate,קדם
hillard,הילארד
hamel,האמל
fiendishly,בצורה שטנית
indulges,מתפנק
stabilizes,מתייצב
noddy,נודדי
velocities,מהירויות
joffre,ג'ופר
force-field,שדה כוח
imps,שדונים
assi,אסי
hobnob,לְהִתְרוֹעֵעַ
jerk-offs,אוננות
calving,הַמלָטָה
inflates,מתנפח
palmas,פאלמס
caffe,קפה
kem,קם
jetting,סילון
slotted,מחורץ
meted,נמדד
kombucha,קומבוצ'ה
mikel,מיקל
conservationists,אנשי שימור
perrault,פרו
konig,קיניג
eldritch,אלדריץ'
psyching,פסיכית
casio,קסיו
brod,ברוד
peritoneum,צֶפֶק
endocrine,אנדוקרינית
soluble,מָסִיס
ploys,תחבולות
guilds,גילדות
radio-controlled,נשלט רדיו
heterosexuals,הטרוסקסואלים
sayest,אומר
cowhand,יד פרה
moffatt,מופאט
patroness,פטרונית
yippie,ייפי
alderson,אלדרסון
maglev,מגלב
leaner,רזה יותר
derailment,יְרִידָה מֵהַפַּסִים
incongruous,לֹא מַתְאִים
conscientiously,באופן מצפוני
factually,עוּבדָתִית
antipas,אנטיפס
ensnared,לכוד
close-minded,צרות אופקים
grasps,אוחז
hoch,הוך
estrangement,הִתרַחֲקוּת
devane,דוויין
crooning,זמרה
rollover,התהפכות
wiggled,התנדנד
niel,ניל
rationalizing,רציונליזציה
pleasured,התענג
estonians,אסטונים
microwaved,חימום במיקרוגל
platte,פלטה
grapefruits,אשכוליות
joop,יופ
kalia,קליה
databank,מאגר נתונים
strove,נאבק
waddling,בִּרווּז
ocr,זיהוי תווים אופטי (OCR)
gyula,גיולה
chauvinism,שׁוֹבִינִיזם
chequered,מְשׁוּבָּץ
inheritor,יוֹרֵשׁ
rupp,ראפ
pompoms,פונפונים
boomtown,בום טאון
berliners,ברלינאים
frontrunner,מוביל
elbowed,מרפקים
opossum,אופוסום
anthems,המנונים
inara,אינרה
daro,דארו
prefabricated,טְרוֹמִי
benita,בניטה
inchon,אינצ'ון
habsburg,הבסבורג
observatories,מצפי כוכבים
trp,טרפ
catastrophically,באופן קטסטרופלי
centro,סנטרו
shrilly,צורם
screamers,צורחים
menfolk,גברים
milgram,מילגרם
sophy,סופי
sodomites,סדומים
deliriously,באופן הזוי
palmers,פאלמרס
goldfinch,חוֹחִית
fara,פארה
alim,עלים
eastwick,איסטוויק
highborn,רמה
expanses,מרחבים
ticketing,מכירת כרטיסים
kartik,קארטיק
bourget,בורג'ה
allred,אולרד
lowercase,אותיות קטנות
f-14,f-14
veni,ויני
stepchild,בֶּן חוֹרֵג
relinquishing,ויתור
egalitarian,שוויוני
unroll,לְגוֹלֵל
honeymoons,ירח דבש
vaporizer,מְאַדֶה
mosely,מוסלי
narcoleptic,נרקולפטי
encircling,מקיף
schell,של
chippie,צ'יפי
poznan,פוזנן
muni,מוני
chamonix,שאמוני
uninsured,לא מבוטח
teetotaler,מתנשא
dimwitted,טִפּשִׁי
greenaway,גרינווי
rehydrate,להתייבש
meerkats,סוריקטות
glendon,גלנדון
akbari,אכברי
vilas,וילות
rollout,פריסה
tickler,בְּעָיָה קָשָׁה
risers,מגבירי עלייה
micrograms,מיקרוגרם
ditz,תעלה
sorkin,סורקין
zealanders,זילנדים
wingo,ווינגו
viney,כרם
berating,נזיפה
strong-armed,חמוש חזק
predominant,מִשׁתַלֵט
dehydrate,לְיַבֵּשׁ
toughened,מוקשה
danse,ריקוד
zionism,צִיוֹנוּת
gussied,התעופף
cummerbund,אבנט
idf,צה"ל
sceptics,ספקנים
parenthesis,מַאֲמָר מוּסְגָר
disorganised,לא מאורגן
totalitarianism,טוטליטריות
annan,אנאן
grievously,באופן חמור
bifocals,מִשׁקָפַיִם דוּ מוֹקְדִיִים
haight,הייט
atlantean,אטלנטי
overworking,עבודה יתר
renshaw,רנשו
knightsbridge,נייטסברידג'
riling,רילינג
chicanery,תחבולות
naturals,טבעיים
holborn,הולבורן
memoriam,אנדרטה
chik,צ'יק
bucolic,כַּפרִי
paladins,פלאדינים
supposes,מניח
mazurka,מזורקה
overact,פעולה יתר
yin-yang,יין-יאנג
powdering,אבקה
tagline,שורת התגים
threefold,מְשּוּלָשׁ
unpleasantly,בצורה לא נעימה
scurrilous,גס
crag,צוּק
whined,ייבב
tesseract,טסרקט
queensboro,קווינסבורו
conductive,מוֹלִיך
mohican,מוהיקני
unprincipled,חֲסַר מַצְפּוּן
rodeos,רודיאו
umph,אומף
gratia,גרטיה
moksha,מוקשה
menacingly,באופן מאיים
presumptive,משוער
alphabetized,מסודר אלפביתית
turi,טורי
compounding,הַרכָּבָה
imax,איימקס
mynah,מיינה
dumbstruck,המום
neuropathy,נוירופתיה
misreading,הֲבָנָה מוּטעֶית
graciousness,חֶסֶד
blow-dry,ייבוש בפן
malabar,מלאבר
antichrist,אנטיכריסט
piggott,פיגוט
dutifully,בצייתנות
playwrights,מחזאים
goldblum,גולדבלום
unobserved,בלתי נצפה
rumpled,מקומט
recused,נמנע
poltergeists,פולטרגייסטים
stane,שטיין
townies,עיירות
unendurable,בלתי נסבל
loverly,אהוב
durrant,דוראנט
aguas,אגואס
bafta,באפטה
judeo-christian,יהודי-נוצרי
duty-bound,מחויב
melatonin,מלטונין
iis,iis
whippoorwill,וויפורוויל
hypermarket,הִיפֶּרמַרקֶט
egyptologist,אגיפטולוג
rell,רל
beebe,ביבי
semaphore,סֵמָפוֹר
putrefaction,נֶמֶק
manes,רעמות
secretes,מפריש
southend,סאות'אנד
dry-cleaner,ניקוי יבש
moisturizing,לחות
neuilly,ניילי
menlo,מנלו
tbd,ייקבע בהמשך
ogilvie,אוגילבי
alp,אלף
conical,חֲרוּטִי
shiite,שִׁיעִי
malcom,מלקום
passaic,פאסאיק
blotting,סופג
embellishment,הַשׁבָּחָה
evictions,פינויים
lindemann,לינדמן
cinta,סינטה
gondor,גונדור
ral,ראל
loons,לונס
master-at-arms,רב-צבא
hoppin,קופץ
pancetta,פנצ'טה
on-ramp,רמפה
forethought,מַחֲשָׁבָה תְחִילָה
wickes,ויקס
featherweight,משקל נוצה
hildebrand,הילדברנד
ramblers,משוטטים
marshalls,מרשלים
shortcoming,חִסָרוֹן
abb,אב
perestroika,פרסטרויקה
down-home,ביתי
bougainville,בוגנוויל
silencers,משתיקי קול
pipi,פיפי
scrips,תסריטים
scrapbooks,אלבומי סקראפ
consigliere,יועץ
postcode,מיקוד
pekka,פקה
tactfully,בטקט
whinging,בכי
thickheaded,עבה ראש
lurie,לורי
statler,סטטלר
kagoshima,קגושימה
trestle,מִתמָך
planing,הַקצָעָה
shuffles,ערבוב
mcmurdo,מקמרדו
gw,גו
missoula,מיסולה
coinage,שִׁיטַת הַמַטבֵּעַ
puli,פולי
allard,אלרד
leiter,לייטר
spindler,ספירל
jeopardizes,מסכן
mccray,מק'קריי
infringe,להפר
indonesians,אינדונזים
rigger,חַבלָן
tailgating,טיילגייטינג
christenings,טבילות
supercars,מכוניות-על
breslin,ברסלין
bricklayers,בנאים
maho,מאהו
brazos,בראזוס
phinney,פיני
crisco,קריסקו
vainly,לָשָׁוא
stockpiled,אגר
captaincy,קפטנות
castanets,קסטנייטות
cesspit,בּוֹר שׁוֹפְכִין
franko,פרנקו
anticlimactic,אנטי-קליימקטי
fili,פילי
thicke,עבה
braganza,ברגנצה
crematory,קרמטוריום
ataman,אטמן
scavenged,חיפוש
poona,פונה
halfling,חצי
occidental,מערבי
whitewashed,מְסוּיָד
gre,גרה
dauphine,דופין
maneuverability,כּוֹשֵׁר תִמרוּן
fascia,פאשיה
bio-weapon,נשק ביולוגי
stymied,תקוע
fleek,פליק
bek,בק
prioritise,סדרי עדיפויות
straggler,מפגר
cassino,קאסינו
reshaped,עיצוב מחדש
ecumenical,אֶקוּמֵנִי
dreamworks,דרימוורקס
gammas,גמא
cliched,קלישאתי
rabe,ראבה
flesh-and-blood,בשר ודם
seamstresses,תופרות
saccharine,סוּכּרָזִית
venusian,ונוס
accession,הִצטָרְפוּת
fiefdom,פייפדוּת
crypts,קריפטות
updike,שדרוג
overexposed,חשיפה יתר על המידה
fernie,פרני
plebeian,הֶדיוֹט
khans,חאנים
bobbies,בוביס
carbohydrate,פַּחמֵימָה
ingo,אינגו
nijinsky,ניג'ינסקי
heartsick,כואב הלב
doff,דוף
specialising,התמחות
abbreviated,מְקוּצָר
surratt,סוראט
squibs,סקיבס
foulest,הכי מגעיל
korda,קורדה
nascimento,נאסקימנטו
kieren,קירן
bated,נכה
inarticulate,לא ברור
magyar,מג'יאר
unbeaten,בִּלתִי מְנוּצָח
reagent,מֵגִיב
lae,ליי
puka,פוקה
ximena,שימנה
crossbar,מַשְׁקוֹף
legionaries,לגיונרים
doro,דורו
minho,מינהו
c5,c5
jadwiga,יאדוויגה
tomar,תומר
culp,אשמה
mcewen,מק'וון
vellum,קלף
flaunted,התהדר
prowse,פרוסה
kyrie,קיירי
thisbe,זהב
ponchos,פונצ'ו
gravesend,גרייבסנד
tilak,טילאק
sobel,סובל
sables,סובלים
payers,משלמים
cybernetics,קיברנטיקה
