you,ти
ventral,вентральний
kesar,Кесар
verifies,перевіряє
oceana,океана
simca,сімка
amrit,амріт
smyrna,Смірна
cookware,посуд
senselessly,безглуздо
fuente,джерело
hindquarters,задні кінцівки
post-office,поштове відділення
ova,яйцеклітини
mainz,Майнц
jokey,жартівливий
substrate,субстрат
sunt,сонце
tailback,хвильовий транспорт
carfax,Карфакс
xyz,xyz
bazaars,базари
korin,Корін
ninety-one,дев'яносто один
equated,прирівняний
concurrently,одночасно
intertwine,переплітаються
stingrays,скати
barbas,Барбас
chinos,чінос
intelligences,інтелекти
jewell,коштовності
end-all,зрештою
shiitake,шиїтаке
olmo,Олмо
glocks,Глоки
godoy,годой
aleksandra,Олександра
wattage,потужність
misadventures,невдачі
daikon,дайкон
countersign,контрасигнувати
heartening,підбадьорливий
fantasist,фантазер
blurting,випалюючи
archival,архівний
waltham,Волтем
abjure,відрікатися
cornelis,корнеліс
fico,фіко
chompers,гризуни
ischemia,ішемія
accesses,доступи
enthroned,зведений на трон
kos,кос
hayabusa,hayabusa
backdoor,задній хід
toucan,тукан
baader,Баадер
chaw,жувати
mangalore,Мангалор
triggerman,тригер
gsi,ГСІ
filmmaker,кінорежисер
condenses,конденсується
tapering,звужується
lubricants,мастильні матеріали
antechamber,передпокій
stepsister,зведена сестра
olmstead,Олмстед
anis,аніс
svelte,стрункий
gebhardt,Гебхардт
strafing,обстріл
domestication,одомашнення
zero-g,невагомість
exponent,показник степеня
encroach,зазіхати
hotshot,гаряча людина
willet,віллет
englewood,Енглвуд
kalina,калина
gravitationally,гравітаційно
libelous,наклепницький
hackneyed,банальний
sokol,сокіл
inventoried,інвентаризовано
objectifying,об'єктивуючий
akimbo,боки
eighty-one,вісімдесят один
davids,Девідс
motorcars,автомобілі
efficacious,ефективний
puk,пук
protestations,протести
supervises,контролює
ceded,поступився
baden-baden,Баден-Баден
champers,шампуні
ghazi,газі
encompassed,охоплений
optimists,оптимісти
adventuring,пригодницький
yappy,галасливий
bora-bora,бора-бора
smugness,самовдоволення
soirees,вечірки
narbonne,Нарбонна
moliere,Мольєр
headcase,головний корпус
impugn,оскарження
eal,їсти
proviso,застереження
brough,Броу
dissemble,приховувати
trilobites,трилобіти
stepsisters,зведені сестри
mirabella,мірабелла
sapped,виснажений
unwinnable,непереможний
veiny,жилистий
misdeed,проступок
boxcars,товарні вагони
claxton,Клакстон
hospitalize,госпіталізувати
fresh-faced,свіжий
looter,мародер
flore,Флора
martinet,солдафон
dryly,сухо
atia,атія
credential,посвідчення
scooting,їзда на самокаті
ladyboy,ледібой
calcified,кальцифікований
brae,Бре
frito,фріто
inequalities,нерівності
metabolize,метаболізувати
gigging,концерти
pterosaur,птерозавра
gauleiter,гауляйтер
antivirals,противірусні препарати
kiu,кіу
rossa,росса
abridged,скорочений
kob,коб
deferment,відстрочка
nobile,благородний
overstuffed,переповнений
pacifism,пацифізм
powhatan,Поухатан
moskowitz,Московіц
wasa,васа
welled,набряклий
cuffing,наручники
rapid-fire,швидкострільний
lefroy,Лефрой
jarrow,Джарроу
embedding,вбудовування
reyna,Рейна
yangs,ян
guadeloupe,Гваделупа
covergirl,дівчина з обкладинки
souffles,суфле
edgewood,еджвуд
gazi,газі
cfa,сертифікований фінансовий фахівець
texaco,Тексако
vaso,вазо
lightweights,легкі вагові
mayst,травень
sangha,сангха
grahame,Грем
hj,гімнастична робота
emm,емм
bottlenose,афалін
cayetano,кайетано
takamatsu,Такамацу
stimson,Стімсон
shipbuilders,кораблебудівники
deflects,відхиляє
dewdrops,краплі роси
tedesco,Тедеско
pinprick,укол шпилькою
avigdor,Авігдор
haugen,Гауген
zaragoza,Сарагоса
indolence,лінь
snowboarder,сноубордист
ayurvedic,аюрведичний
curdle,згортатися
well-hidden,добре захований
gascony,Гасконь
shap,форма
timeouts,тайм-аути
frostbitten,обморожений
supersede,замінити
regressive,регресивний
beaverton,Бівертон
simp,просто
esmond,Есмонд
velazquez,Веласкес
wide-angle,ширококутний
pripyat,Прип'ять
nonsense,нісенітниця
haya,хая
toll-free,безкоштовний
cma,CMA
krabs,краби
adenosine,аденозин
marxists,марксисти
meany,підлий
pillion,заднє сидіння
vieja,В'єха
colman,Колман
pariahs,ізгої
macca,Макка
ben-gurion,Бен-Гуріон
uprights,вертикальні стійки
unsuspected,несподіваний
apgar,Апгар
ilia,Ілія
greenwald,Грінвальд
peculiarity,особливість
diomede,Діомед
up-close,крупним планом
abt,приблизно
melding,злиття
lefferts,Леффертс
articulating,артикуляція
hendrie,Хендрі
xhosa,коса
overripe,перестиглий
igniter,запальник
dortmund,Дортмунд
pipsqueak,дрібний писк
rubi,рубі
slow-witted,тугодумний
gracchus,Гракх
moynihan,Мойніган
laddies,хлопці
centering,центрування
fizzles,шипить
well-heeled,заможний
daa,даа
hakodate,Хакодате
eilat,Ейлат
clitoral,кліторальний
colas,кола
windrush,порив вітру
renwick,Ренвік
allotments,наділи
constrict,стискати
prickles,колючки
wastrels,марнотратники
vol-au-vents,воль-о-венс
parabola,парабола
peet,Піт
talley,талі
fiedler,Фідлер
veers,змінює напрямок
biases,упередження
salamis,салямі
elliptic,еліптичний
uff,уф
dipsy,дипсі
mallards,крижнів
devalued,знецінений
verbena,вербена
minsky,Мінський
gn,гн
nunc,зараз
preen,чепуритися
deposing,свідчення
throngs,натовпи
schwann,Шванн
legalities,юридичні питання
podcasts,подкасти
toolshed,сарай для інструментів
menard,менард
mountaintops,гірські вершини
isham,Ішам
suvorov,Суворов
alongwith,разом з
fiercer,лютіший
obstructive,обструктивний
horgan,Хорган
tetherball,тезербол
sugawara,sugawara
dermott,Дермотт
porcupines,дикобрази
jaspers,Ясперс
pekingese,пекінес
healthful,корисний
magadan,Магадан
regenerator,регенератор
breaststroke,брасом
dur,тривалість
sbs,СБС
sidearms,пістолети
waists,талії
voom,вум
meltdowns,істерики
freefall,вільне падіння
assis,асист
adjudicator,арбітр
kaira,Кайра
alamogordo,Аламогордо
ambi,амбі
scr,скр
barda,барда
rvs,будинки на колесах
prioritizing,пріоритезація
antacids,антациди
despotic,деспотичний
lisle,Лайл
stroppy,стропічний
pommy,поммі
disinterest,байдужість
amba,амба
salwa,салва
dimpled,з ямочками
hydrocodone,гідрокодон
alegre,алегре
seafront,набережна
bohemians,богеми
ileana,Ілеана
addington,Аддінгтон
mallon,Маллон
mismanaged,погано керований
hearne,герн
infliction,заподіяння
manipulators,маніпулятори
woos,залицяння
closed-minded,обмежений
dispensable,необов'язковий
petard,петарда
sawai,савай
leotards,трико
threepence,трипенси
funder,спонсор
metalwork,металоконструкції
sorghum,сорго
off-track,збитися з курсу
impassive,байдужий
bawd,повія
on-again,знову
unflappable,незворушний
unsupported,непідтримуваний
foots,ноги
herodotus,Геродот
portillo,портильо
busybodies,нудьгуючих
trajan,Траян
incidences,випадки
nasties,гидоти
co-producers,співпродюсери
aquavit,аквавіт
stavanger,Ставангер
animations,анімації
obscures,затьмарює
electromagnetic,електромагнітний
haring,Харінг
hatreds,ненависть
bravos,браво
identifications,ідентифікації
overnights,ночівлі
granules,гранули
stylistic,стилістичний
cassia,касія
trademarked,торгова марка
irregardless,незалежно
ramzan,Рамзан
wavers,коливаються
socialization,соціалізація
snoops,шпигуни
reassert,знову стверджувати
deliveryman,кур'єр
arshad,Аршад
amnon,Амнон
portofino,Портофіно
nikon,Нікон
displeasing,неприємний
seedless,без кісточок
apocryphal,апокрифічний
robi,Робі
open-toed,з відкритим носком
haunches,стегна
black-haired,чорноволосий
miklos,Міклош
togas,тоги
mackinnon,Макіннон
horseless,безкінний
readjusting,коригування
burchard,Бурхард
unearthing,розкопування
sacristan,ризничий
buttercups,жовтці
stakeout,стеження
racketeers,рекетири
sj,сдж
gryphon,грифон
nnn,ннн
hovels,халупи
markedly,помітно
ghosted,привид
bifida,біфіда
graveside,біля могили
merl,мерл
covens,ковени
antipsychotic,антипсихотичний
rushdie,Рушді
thespians,актори
indo,індо
subsiding,спад
maltby,Молтбі
downrange,нижній діапазон
soreness,біль
hotfoot,гаряча людина
belgravia,Белгравія
hezekiah,Єзекія
cantata,кантата
ratner,Ратнер
elvish,ельфійський
relented,пом'якшився
scallywag,мерзотник
minuteman,хвилинмен
hazelton,Гейзелтон
landsman,землевласник
oceanography,океанографія
late-breaking,пізні новини
cassel,Кассель
test-tube,пробірка
hedberg,Хедберг
ech,ех
pumas,пуми
phenix,фенікс
antigens,антигени
standard-issue,стандартний випуск
nannie,няня
synthesizing,синтезуючи
akela,Акела
reopens,знову відкривається
philippi,Філіппі
dotting,пунктирування
hardwork,наполеглива праця
mazuma,мазума
experimenter,експериментатор
multinational,багатонаціональний
dunderhead,дурень
broca,Брока
curbside,узбіччя
traill,трейл
swooshing,свистя
lamentation,голосіння
issac,Ісаак
agrestic,агрестичний
masterfully,майстерно
benetton,Бенеттон
classiest,найкласніший
domi,домі
pnc,ПНК
cirrus,перисті
burgomaster,бургомістр
hilts,рукояті
reintroduced,знову введений
touchscreen,сенсорний екран
efraim,Ефраїм
terse,лаконічний
tenses,часи
menton,Ментон
decal,наклейка
occlusion,оклюзія
bankrupting,банкрутство
prang,пранг
hodes,ходи
insulator,ізолятор
rehabilitating,реабілітація
maddens,божевільний
lead-lined,свинцево-підкладений
restlessly,неспокійно
crompton,Кромптон
nationalistic,націоналістичний
curbs,бордюри
wholeheartedly,щиро
pinkish,рожевуватий
yoder,йодер
horrify,жахати
contending,конкуруючий
marbury,Марбері
soko,Соко
uninvolved,незалучений
plug-in,плагін
concoctions,суміші
ulnar,ліктьовий
spring-loaded,пружинний
bureaus,бюро
bottom-line,підсумок
swiftness,швидкість
swathes,смуги
rade,торгівля
newfangled,новомодний
boondoggle,бездіяльність
ghibli,гіблі
odours,запахи
elevations,висоти
mucker,мерзотник
reenacting,реконструкція
gouges,вибоїни
gravediggers,могильники
uncivilised,нецивілізований
malignancy,злоякісність
antagonise,антагонізувати
merckx,Меркс
motte,мотт
superconductor,надпровідник
tubers,бульби
sperling,Сперлінг
shortens,скорочує
byways,проїжджі
languished,знемагав
instilling,прищеплення
impactful,впливовий
wops,вопів
undertones,підтони
convex,опуклий
padishah,падишах
diadem,діадема
colchis,Колхіда
diplomatically,дипломатично
catalytic,каталітичний
unpalatable,несмачний
rone,Рон
overfed,перегодовування
male-dominated,домінують чоловіки
tilt-a-whirl,нахилити-вир
unmanly,нечоловічий
hyperbolic,гіперболічний
aurel,аурел
impedes,перешкоджає
hecuba,гекуба
prospers,процвітає
centcom,центком
jeux,ігри
comprising,що складається
topi,топі
subarachnoid,субарахноїдальний
prerecorded,попередньо записаний
kopeck,копійка
sulphide,сульфід
board-certified,сертифікований радою директорів
careening,кидається
pussyfoot,кицька
nira,ніра
ulloa,уллоа
accretion,нарощування
endorses,підтримує
throaty,хрипкий
capstone,завершальний камінь
far-right,ультраправий
klas,клас
amidships,міделі
whored,розпустив
meniscus,меніск
enriches,збагачує
tvr,телевізор
stiffened,затвердів
yobbo,йоббо
commentaries,коментарі
c6,с6
baptista,баптиста
wraiths,привиди
wicky,гніт
peeve,дратувати
processional,процесійний
michelson,Майклсон
somebodies,хтось
gela,гела
insurer,страховик
strategists,стратеги
reservists,резервісти
ewes,вівці
seidel,Зайдель
mazarin,Мазарин
gta,гта
pba,пба
discourses,дискурси
brasher,зухвалий
cena,ціна
dutchmen,голландці
audiovisual,аудіовізуальні
robed,в халаті
sequin,блискітки
backtracking,відстеження
gloved,у рукавичці
revisionist,ревізіоніст
westwards,на захід
tetchy,дратівливий
brassieres,бюстгальтери
grads,випускники
castings,виливки
stacker,штабелер
osi,осі
hessian,мешковина
smarties,розумники
skippers,капітани
delany,Делані
goshen,Гошен
largesse,щедрість
nec,н.д.
benedetti,Бенедетті
mediated,опосередкований
unfavourable,несприятливий
hc,хк
jul,липень
nuncle,дядько
lloyds,Ллойдс
specialities,спеціальності
ncc,нкц
ergonomic,ергономічний
excrete,виділяти
sakata,саката
grotty,огидний
prowls,нишпорить
cormier,корм'є
aeons,еони
sab,саб
semitic,семітський
paramus,парамус
cavalli,Каваллі
yolande,Йоланда
rossiter,россітер
smugly,самовдоволено
cuenca,Куенка
star-studded,зірковий
dithering,згладжування
quizmaster,ведучий вікторини
sneers,глузування
bondo,бондо
shitted,посрали
herbicide,гербіцид
longley,Лонглі
headspace,простір для думок
bullseye,яблучко
mollusks,молюски
malcontent,невдоволений
ammar,Аммар
sprockets,зірочки
daltrey,Долтрі
troublemaker,порушник спокою
gillen,зябра
queensberry,Квінзберрі
trib,плем'я
cota,кота
behan,Бехан
one-fifth,одна п'ята
bricker,цегляний робітник
bursa,бурса
sifter,просіювач
pompom,помпон
nantz,Нанц
h2,h2
harbison,Гарбісон
on-camera,на камеру
gripes,скарги
listerine,лістерин
dreamless,без снів
alkaloid,алкалоїд
antivenom,протиотрута
stampeded,тиснява
naloxone,налоксон
oversold,перепроданий
cauterized,припектий
reviewers,рецензенти
awl,шило
nine-to-five,з дев'яти до п'яти
orthopedics,ортопедія
misquoted,неправильно процитовано
deservedly,заслужено
righteously,праведно
non-union,не профспілковий
coming-of-age,дорослішання
octaves,октави
reedy,очеретяний
unheard-of,нечуваний
compensatory,компенсаційний
redraw,перемалювати
menos,менос
vcd,відеокартка
odom,Одом
mikal,Мікал
carcinogens,канцерогени
rima,рима
strewth,солома
torchlight,факел
uhl,ухл
adm,адміністратор
ossining,оссинування
internationals,міжнародні
chinon,шинон
undoubted,безсумнівний
two-door,дводверний
ferried,перевезено
bergmann,Бергманн
incompatibility,несумісність
ball-buster,головоріз
glistens,блищить
irks,дратує
stuffer,набивач
tableware,посуд
clinker,клінкер
coombes,Кумбс
stroheim,Штрогейм
aet,ает
facilitates,сприяє
motorman,машиніст
splayed,розчепірений
pardoning,помилування
cactuses,кактуси
energise,заряджати енергією
wisher,бажальник
tenterhooks,іголки
wapping,вапінг
trad,трад
kawa,кава
twirls,кружляє
abortionist,лікар-абортор
interfaces,інтерфейси
abbots,абати
portent,передвістя
milne,Мілн
run-off,другий тур
dissipation,розсіювання
brossard,бросар
damen,дама
swishes,свист
krogh,Крог
dunces,дурні
bhavan,бхаван
funda,фундамент
mahjong,маджонг
weinberger,Вайнбергер
furlongs,фарлонги
astringent,в'яжучий засіб
millbrook,Міллбрук
rogaine,рогейн
nolte,нолте
planking,обшивка
monochrome,монохромний
indus,Інд
latecomers,запізнілих
lewes,Льюїс
picture-perfect,ідеальний
jost,Йост
shiki,шікі
reverberates,відлунює
roguish,шахрайський
scallion,зелена цибуля
vitreous,склоподібне тіло
botha,бота
clomping,тупіт
didactic,дидактичний
teammates,товариші по команді
derivation,виведення
libertad,свобода
whitlow,панир
untried,невипробуваний
masque,маска
posttraumatic,посттравматичний
loyd,лойд
dalmatians,далматинці
charlies,Чарлі
affording,надання
fowle,птиця
dressing-room,гардеробна
interlopers,порушників
top-heavy,важкий зверху
anarchism,анархізм
wynne,Вінн
slacken,розслабитися
pubis,лобок
holo,голограму
aerials,антени
ponders,розмірковує
clos,близько
pur,чистий
groton,Гротон
walkways,доріжки
sere,сухий
wishart,Вішарт
self-restraint,самообмеження
proportioned,пропорційний
diggings,розкопки
maggiore,маджоре
lockett,Локетт
divina,божественна
mitosis,мітоз
unplugging,відключення
hund,собака
buttress,контрфорс
extremis,екстремізм
gyre,звивина
mesenteric,брижовий
bratt,Братт
hartnell,Гартнелл
golightly,голайтлі
gorin,Горін
microbiologist,мікробіолог
hirst,Герст
dray,підвода
composites,композити
wilkin,Вілкін
boors,хами
denman,Денман
kish,Кіш
unheeded,непомічений
competitively,конкурентно
embroidering,вишивання
circadian,циркадний
auteur,автор
carlile,Карлайл
dunleavy,Данліві
shifters,перемикачі передач
irreproachable,бездоганний
spanks,шльопання
equus,кінь
topnotch,першокласний
walser,Вальзер
fraudulently,шахрайським шляхом
huddling,тулячись
trannies,трансгендери
hexed,заклятий
silverfish,чешуйниця
reshoot,перезнімати
outfitters,постачальники одягу
sweeting,підсолоджування
gillan,Гіллан
authorship,авторство
titters,хихикання
akkadian,аккадський
muumuu,муумуу
ohs,охи
iambic,ямб
sheetrock,гіпсокартон
call-in,виклик
calumny,наклеп
deviating,відхилення
overreach,перевищення меж
wordless,безмовний
berke,Берке
unnerve,нервувати
amiel,Аміель
unbounded,необмежений
nrl,НРЛ
defecation,дефекація
vater,вода
dissemination,поширення
michaud,Мішо
impelled,спонукали
pallid,блідий
ocelot,оцелот
cyclic,циклічний
repetitions,повторення
severest,найсуворіший
hadj,хадж
touted,рекламувався
smartie,розумник
terabytes,терабайти
couturier,кутюр'є
haply,щасливо
pawed,лапою
certifiably,сертифіковано
awacs,АВАКС
infrequent,нечастий
lod,лод
footed,ноги
driveways,під'їзні шляхи
stam,штам
cherubim,херувими
idiopathic,ідіопатичний
plotter,плотер
raab,рааб
physiognomy,фізіогномія
wif,Wi-Fi
rah-rah,рах-рах
upmarket,елітний
antiserum,антисироватка
blackout,затемнення
iseult,Ізолта
railed,обстрілював
segway,сегвей
crowther,Кроутер
unfazed,незворушний
palomar,Паломар
oases,оази
goofs,дурні
toolkit,інструментарій
bleeding-heart,кровоточиве серце
recalcitrant,непокірний
gullies,яри
bertolucci,Бертолуччі
entrants,учасники
scraggy,худий
glencoe,Гленко
arnaldo,Арнальдо
deven,Девен
taoists,даоси
thickened,потовщений
incurring,понесених
scrying,ворожіння
twinkly,мерехтливий
thumbed,палець
bloomsbury,Блумсбері
hegarty,Хегарті
instituting,встановлення
marchi,марчі
gits,мерзавці
miramax,Мірамакс
off-again,знову
poutine,путін
exemptions,винятки
integer,ціле число
grinned,посміхнувся
imperceptibly,непомітно
rethink,переосмислити
increment,приріст
antifascist,антифашист
parana,парана
judean,юдейський
druggy,наркоман
idiosyncratic,своєрідний
pommel,навершя
sex-starved,голодний сексу
aflutter,тремтіння
neck-deep,по шию
arjan,Арджан
melanin,меланін
agonised,мучився
wendel,Вендель
actuary,актуарій
valverde,Вальверде
dobermans,добермани
noonday,полудень
glioblastoma,гліобластома
audibly,чутно
inestimable,безцінний
drainer,сушарка
stir-fried,смажені
backbreaking,виснажливий
seamanship,мореплавство
merkin,меркін
woodville,Вудвілл
mangan,манган
disassociate,дисоціювати
deathless,безсмертний
mek,мек
blacked-out,затемнений
moresby,Морсбі
paralyse,паралізувати
rav,рав
baas,баас
keke,кеке
lineups,склади
topiary,топіарій
moctezuma,Монтесума
nonverbal,невербальні
tut-tut,тут-там
signposts,покажчики
dagan,даган
parkhurst,Паркхерст
trounced,розбитий
self-love,любов до себе
capitulated,капітулював
connick,Коннік
obliterating,знищення
gleeson,Глісон
mustering,збори
altercations,сварки
sawbuck,пилосос
vikki,Віккі
oppresses,пригнічує
infringed,порушені
delis,делікатеси
aza,аза
transsexuals,транссексуали
clamber,лазити
topographical,топографічний
indisposition,нездужання
cowen,Ковен
coercing,примус
samsara,сансара
teetotal,непитущий
ferrero,Ферреро
land-based,наземний
be-all,бути всім
horrocks,горрокс
slovaks,словаки
reinvention,переосмислення
demonize,демонізувати
mersey,Мерсі
theorems,теореми
touting,реклама
mexicali,мексикалі
gilder,позолотник
carolinas,Кароліни
easley,Ізлі
furor,фурор
revile,лаяти
infantrymen,піхотинці
lend-lease,ленд-ліз
whammo,бам
urbane,вишуканий
perpetua,перпетуа
flagstone,кам'яна плита
dary,дарі
charl,чарл
fishwife,рибалка
mendicant,жебрак
pushback,відсіч
showings,покази
merkle,Меркл
glided,ковзав
excelling,перевершуючи
checkerboard,шахівниця
ansgar,Ансгар
oberleutnant,обер-лейтенант
unstrap,розстебнути
satay,сатай
mineshaft,шахтний стовбур
parasols,парасольки
pwn,пелюшки
rightist,правий
occasioned,спричинений
solenoid,соленоїд
jamarcus,джамаркус
hesh,хеш
wrestles,боротьба
honorific,почесний
roget,Роджет
filleted,філе
boggling,приголомшливий
sst,сст
inattentive,неуважний
five-and-dime,п'ять і десять центів
apotheosis,апофеоз
synchronizer,синхронізатор
right-hander,правша
cruellest,найжорстокіший
briers,колючки
rascally,негідницький
fantasyland,країна фантазій
fergusson,Фергюссон
dogsled,собачих упряжках
plat,платформа
bronwyn,Бронвін
corpuscles,тільця
precursors,прекурсори
a-level,рівень А
bullshits,нісенітниця
stabilising,стабілізуючий
vacay,відпустка
hydrating,зволожуючий
slather,намазувати
anesthetist,анестезіолог
repossession,повернення майна
raper,ґвалтівник
cathars,катари
lagers,лагери
betz,Бец
insufficiency,недостатність
cialis,сіаліс
fudging,фальсифікація
cmc,цмк
leger,легше
man-eaters,людожери
maracaibo,Маракайбо
niven,нівен
bato,бато
unr,УНР
irani,іранець
leveraging,використання
antiquarian,антиквар
cosh,шикарний
ntr,нтр
mealy,борошнистий
chama,чама
topmost,найвищий
bron,бронз
nuisances,неприємності
kumite,куміте
stabilisers,стабілізатори
kili,кілі
flea-bitten,покусаний блохами
cathryn,Катрін
caisson,кесон
moldovan,молдавський
work-study,навчання за роботою
cochon,кошон
dodi,Доді
nowa,зараз
fenster,фенстер
cous,кузен
underachiever,невдаха
hornier,більш збуджений
pollinators,запилювачі
freakiest,найдивніший
orman,Орман
expatriate,експатріант
tomcats,коти
yoruba,йоруба
passivity,пасивність
cd-rom,компакт-диск
batwoman,Бетвумен
chroma,кольоровість
oompah,умпа
installer,установник
back-alley,провулок
eighty-three,вісімдесят три
opportunism,опортунізм
tle,тле
viterbo,Вітербо
minarets,мінарети
detente,розрядка
shortie,коротун
vidi,бачити
adkins,Адкінс
pureed,пюре
tripods,штативи
bakr,Бакр
encapsulated,інкапсульований
nov,листопад
modernise,модернізувати
whitewater,бурхлива вода
ransomed,викуплений
wife-beater,той， хто бив дружину
heckled,кричали
kavanagh,Кавана
meuse,маас
fasciitis,фасціїт
proofing,розстойка
beading,бісероплетіння
summarise,підсумувати
niggling,дріб'язковий
brooker,брукер
iodide,йодид
barros,Баррос
ancona,Анкона
grandes,грандів
seasonings,приправи
sedna,седна
munition,боєприпаси
defeatism,пораженство
slanting,косий
cleat,шип
t-man,Т-мен
xenophobic,ксенофобський
individualistic,індивідуалістичний
coalesce,зливатися
no-holds-barred,без заборон
hydrocarbon,вуглеводень
pogrom,погром
drachma,драхма
tittle-tattle,плітки
fumigating,фумігація
nibelung,нібелунг
magnetically,магнітно
stockpiles,запаси
refreshes,освіжає
fabrications,вигадки
shamanic,шаманський
harmoniously,гармонійно
lauritz,Лауріц
api,API
nizam,нізам
selva,сельва
exemplified,приклад
slivovitz,сливовиця
poisson,отрута
mance,манс
reminiscence,спогад
fastening,кріплення
dawa,дава
strung-out,виснажений
oculus,окулус
kmt,кмт
hassler,надокучливий
churchy,церковний
shuns,уникає
bure,буре
wieland,Віланд
sallow,землистий
entebbe,Ентеббе
diluting,розведення
pfister,Пфістер
magnanimity,великодушність
hard-luck,невдача
accoutrements,аксесуари
karli,Карлі
meese,міс
highbury,Хайбері
nisi,нісі
campy,кемпінговий
collating,зіставлення
affray,бійка
two-star,двозірковий
pollutes,забруднює
pleurisy,плеврит
unwinding,розмотування
pregame,перед грою
whiten,відбілити
damion,Даміон
sarcoidosis,саркоїдоз
swaddle,сповивання
ulm,Ульм
aquariums,акваріуми
nuking,ядерне знищення
fendi,Фенді
leeward,підвітряний
arco,арко
catnap,дрімота
divorcees,розлучені
cartography,картографія
privateers,приватники
credulous,довірливий
f-16s,F-16
reelect,переобраний
wastage,марнотратство
inspects,перевіряє
milksop,молочний сок
expat,експат
top-class,вищого класу
nester,гніздець
abet,підбурювати
herzegovina,Герцеговина
obsolescence,застаріння
besieging,облога
avedon,Аведон
einhorn,айнергорн
buk,бук
sharpay,Шарпей
colditz,Колдіц
vj,vj
tickety-boo,квиток-бу
bhardwaj,Бхардвадж
witney,Вітні
hibachi,хібачі
forney,Форні
inconstant,непостійний
veneers,вініри
faustina,фаустина
ogled,оглянув
fillers,наповнювачі
akiva,Аківа
hippest,наймодніший
accolade,похвала
bedsit,ліжко-гойдалка
trike,триколісний велосипед
genova,Генуя
strummer,бренькаючий
fictions,вигадки
ornithology,орнітологія
dogwood,кизил
fanboy,фанат
indefinable,невизначений
amicus,друг суду
gusev,гусєв
lawbreakers,порушників закону
thermidor,термідор
agus,агус
convalesce,одужувати
sublimate,сублімувати
inhibits,пригнічує
healthily,здорово
finks,фіґи
shogi,сьоґі
lauded,хвалений
aneurysms,аневризми
silvester,Сільвестр
zeppelins,дирижаблі
sidwell,Сідвелл
sculpts,ліпить
forfeiting,форфування
pummeling,побиття
midwifery,акушерство
sort-of,щось на зразок
rogerson,Роджерсон
unapproved,несхвалений
magyars,угорці
strasberg,Страсберг
varia,варіація
tambor,тамбур
fre,вільний
drawing-room,вітальня
palmieri,пальм'єрі
untitled,без назви
letch,розпусник
morlock,морлок
radicalism,радикалізм
isidore,Ісидор
roadways,дороги
existentialism,екзистенціалізм
eed,потреба
fertilizing,удобрення
carpetbagger,перевізник
blatt,блатт
caryl,Керіл
bangla,бенгалська
parliaments,парламенти
ruts,колії
sexed,статево
villanova,Вілланова
diverge,розходяться
behrens,Беренс
top-quality,найвищої якості
abruption,відшарування
ulan,улан
jibes,насмішки
papered,обклеєний папером
clomp,тупіт
quids,фунти
grimly,похмуро
libor,лібор
ransoms,викупи
half-breeds,метиси
gormless,безглуздо
hynek,Гінек
brodeur,бродер
marmoset,мавпа
disproportionately,непропорційно
klick,клік
configure,налаштувати
leadville,Лідвілл
angier,злий
abeyance,призупинення
immigrate,іммігрувати
power-up,ввімкнення
fertilise,удобрювати
fing,фін
squarepants,квадратні штани
streetwise,вуличний
ecuadorian,еквадорський
waverley,Веверлі
a5,а5
chiropractic,хіропрактика
rhinoplasty,ринопластика
sandbar,піщана коса
augsburg,Аугсбург
satiate,насичувати
bow-tie,краватка-метелик
larp,ролеві ігри
shuttlecock,волан
washable,можна прати
lazuli,лазуліт
piastres,піастри
pointlessly,безглуздо
gingivitis,гінгівіт
dressmaking,пошиття одягу
klonopin,клонопін
upswing,підйом
antivenom,протиотрута
sterilizing,стерилізація
dower,придане
quidditch,квідич
tei,тей
scu,ску
remarriage,повторний шлюб
registries,реєстри
gnash,скрегіт
drenching,обливання
self-propelled,самохідний
luxe,розкіш
mezcal,мескаль
casi,справа
pedagogy,педагогіка
leis,леї
chambermaids,покоївки
aplastic,апластичний
harboured,прихистку
apolitical,аполітичний
harried,переслідуваний
relapses,рецидиви
whop,воп
eckersley,Екерслі
dirham,дирхам
daiei,daiei
edgefield,крайове поле
verdier,вердьє
blucher,блюхер
defaming,наклеп
programmable,програмований
lupton,луптон
schwab,Шваб
rwandan,руандійський
colonials,колоністи
slavin,Славін
superbowl,супербоул
unladylike,нелепо
janae,джанае
co-driver,другий водій
conservatism,консерватизм
banton,Бантон
outbuildings,господарські будівлі
purl,виворітний хід
punctually,пунктуально
bottoming,досягнення дна
half-caf,напівкафе
cadogan,Кадоган
2-d,2-й
fiftieth,п'ятдесятий
mand,мандат
webley,Веблі
vouchsafe,поручитися
man-sized,розміром з людину
megawatts,мегавати
affix,прикріпити
burchell,Берчелл
recycles,переробляє
streamlining,оптимізація
kastner,Кастнер
unscramble,розшифрувати
filo,філо
souk,сук
thalamus,таламус
non-payment,несплата
oceania,Океанія
bobtail,бобтейл
rood,хребет
goliad,голіад
browned,підрум'янений
entwine,обвивати
mows,косить
fannin,Фаннін
karnes,Карнес
abstractions,абстракції
domesticate,одомашнити
countering,протидія
monopolizing,монополізуючий
mends,лагодження
psychedelics,психоделіки
mid-ocean,середина океану
uda,Уда
vocalising,вокалізуючи
rayo,Райо
testaments,заповіти
eurostar,Євростар
hoagies,хогі
benefitted,скористався
eyeless,безокий
unluckily,на жаль
extant,існуючий
endoscope,ендоскоп
donning,надягання
kilowatts,кіловати
well-suited,добре підходить
fortifying,зміцнювальний
hartfield,Гартфілд
dims,тьмяніє
