you,tu
thickets,matagais
parrotfish,peixe-papagaio
coloratura,coloratura
petered,Petered
adar,adar
swordsmith,ferreiro
baig,baig
purnell,Purnell
monogamist,monogâmico
daredevils,aventureiros
freire,Freire
eyewash,lava-olhos
intemperate,intemperante
raconteur,contador de histórias
midfielder,meio-campista
vardon,vardon
bald-faced,careca
hayfield,campo de feno
meyerbeer,cerveja meyer
fleurs,flores
unchristian,não cristão
prolapsed,prolapso
longchamp,Longchamp
unanimity,unanimidade
dog-eared,com orelhas de cão
rationalist,racionalista
dum-dums,bobinhos
babysat,babá
waterskiing,esqui aquático
skinless,sem pele
hubba-hubba,hubba-hubba
masterwork,obra-prima
seva,seva
gambia,Gâmbia
boudin,morcela
roubaix,roubaix
scalar,escalar
discerned,discernido
fash,moda
take-charge,assumir o controlo
irredeemable,irredimível
child-rearing,criação de filhos
digression,digressão
horsewhip,chicote
self-satisfaction,autossatisfação
gwilym,gwilym
carabiniere,carabineiro
subcommittee,subcomissão
biofeedback,biofeedback
orthopaedic,ortopédico
bourdon,bourdon
purposeless,sem propósito
andris,Andris
maybach,Maybach
adheres,adere
such-and-such,tal e tal
riposte,resposta
testator,testador
glorifies,glorifica
enforceable,executável
nationalised,nacionalizado
dando,dando
melun,melun
storerooms,depósitos
resumption,retomada
slims,emagrece
ital,itálico
taxi-driver,motorista de táxi
kauffman,Kauffman
deepwater,águas profundas
dorking,dorking
subtropical,subtropical
schoolkids,crianças em idade escolar
snidely,sarcasticamente
benedek,benedek
soares,soares
lost-and-found,Achados e perdidos
ubs,ubs
tyburn,Tyburn
glickman,glickman
rough-and-tumble,bruto e tortuoso
frommer,frommer
coots,galeirões
justifications,justificativas
flattop,topo plano
congregating,congregando
respirators,respiradores
muckle,muito
inf,informação
protractor,transferidor
marler,marler
vexation,vexação
considine,considina
railgun,canhão eletromagnético
bickle,bickle
yugoslavs,iugoslavos
outpatients,doentes ambulatoriais
christin,Christin
recrimination,recriminação
defoe,defoe
purpose-built,construído para esse fim
paxil,paxil
elbert,Elbert
monotheistic,monoteísta
turok,turco
cont,continuação
functionally,funcionalmente
strome,tempestade
frizz,frizz
boddy,corpo
uid,uid
ipcc,IPCC
memorialize,memorializar
holtzman,Holtzman
quintal,quintal
silke,seda
institutionalised,institucionalizado
bukkake,bukkake
delved,mergulhou
banishes,banimentos
ltl,ltl
wolfed,lobo
aerosols,aerossóis
wheelbase,distância entre eixos
preheat,pré-aqueça
sufficiency,suficiência
humphry,Humphry
homunculi,homúnculos
specialness,especial
crespo,crespo
idioms,expressões idiomáticas
fortieth,quadragésimo
finagle,bluff
nootka,nootka
spit-up,regurgitação
meck,meck
rafter,viga
lifeform,forma de vida
saif,saif
foolery,tolice
strafe,metralhar
dangerfield,campo de perigo
eidetic,eidético
kla,kla
insurances,seguros
yakut,iacuto
commonalities,características comuns
bus-stop,ponto de autocarro
peremptory,peremptório
aristos,aristos
bourdain,Bourdain
mamet,mamet
ball-breaker,quebra-bolas
takeover,assumir
soaping,ensaboar
teeter,oscilação
balbo,Balbo
ring-a-ding,ring-a-ding
siders,laterais
lantau,lantau
disconcerted,desconcertado
bulldozing,demolição com escavadora
appointee,nomeado
lunchboxes,lancheiras
jiangsu,Jiangsu
mattel,Mattel
zine,revista
front-end,front-end
exertions,esforços
stovall,stovall
petits,pequenos
stilt,perna de pau
hexes,hexágonos
allowable,permitido
blusters,fanfarrões
crystallize,cristalizar
tricked-out,totalmente tunado
ramsgate,Ramsgate
mikawa,mikawa
cooperatives,cooperativas
bulgari,búlgaro
vileness,vileza
springwood,madeira de primavera
stupefying,estupefaciente
unhindered,sem impedimentos
philosophic,filosófico
reenactments,reconstituições
solicitude,solicitude
exuded,exalava
waterski,esqui aquático
flossy,fio dental
eccentrics,excêntricos
kasdan,kasdan
sephora,Sephora
fruiting,frutificação
rediscovery,redescoberta
grousing,resmungando
reassembling,remontagem
mfa,mfa
canadiens,canadenses
mufflers,silenciadores
blain,blain
kuda,kuda
extrapolated,extrapolado
hata,hata
destabilise,desestabilizar
fac,fac
edc,edc
maddock,maddock
subsidizing,subsidiar
vasey,vaso
hetch,treliça
novosibirsk,novosibirsk
laundries,lavanderias
escondido,escondido
bostwick,bostwick
slopping,derramando
maastricht,Maastricht
erodes,erosão
kanata,kanata
feely,sensação
birthdate,data de nascimento
cleaved,clivado
dowries,dotes
bnp,bnp
sadomasochism,sadomasoquismo
righty-ho,certo
peleliu,peleliu
serbo-croatian,servo-croata
chambliss,chambliss
haw-haw,há-há
brookline,Brookline
hammurabi,Hamurabi
call-girl,garota de programa
moppet,moppet
recanting,retratando
penthouses,coberturas
rudiments,rudimentos
becalmed,calmaria
statuary,estatuária
smedley,smedley
bigness,grandeza
righter,mais certo
blowouts,explosões
nanak,nanak
dewdrop,gota de orvalho
rosebushes,roseiras
broadmoor,pântano largo
murr,murr
andrus,andrus
ringlets,cachos
segregate,segregar
circulars,circulares
holberg,Holberg
sare,sari
novena,novena
hain,hain
midweek,meio da semana
digestible,digestível
pneumonic,pneumónico
grumbled,resmungou
metaphoric,metafórico
atten,atenção
lampard,Lampard
legman,homem de pernas
quilty,acolchoado
cross-contamination,contaminação cruzada
preps,preparativos
oration,oração
spiffing,esplêndido
gentlemens,senhores
absorber,absorvedor
steeply,íngreme
shutoff,desligamento
outfoxed,enganado
trudged,caminhou penosamente
microorganism,microrganismo
varley,varley
abscesses,abscessos
prats,idiotas
killick,killick
backlit,retroiluminação
ecstatically,extasiadamente
folger,Folger
hydrocephalus,hidrocefalia
dats,isso
gingko,ginkgo
sentience,senciência
patterning,padronização
chandar,Chandar
stomachaches,dores de estômago
whip-round,rodada de chicote
lycanthropy,licantropia
spatters,respingos
hole-in-the-wall,buraco na parede
insures,garante
townships,municípios
mizuho,mizuho
mohs,mohs
specters,espectros
sklar,sklar
quivered,tremia
icecreams,sorvetes
colo,colo
heiner,Heiner
attention-seeking,procura por atenção
counterclockwise,sentido anti-horário
accosting,abordagem
novy,novy
flinders,flinders
flukes,acasos
reverse-engineer,engenharia reversa
guzzled,engolido
hla,hla
valdivia,valdivia
forearmed,antebraço
flipside,lado oposto
high-heel,salto alto
biel,biel
gunrunning,tráfico de armas
byproducts,subprodutos
pressurization,pressurização
manifolds,manifolds
deni,negar
canopies,coberturas
fuad,fuad
edf,edf
inconspicuously,discretamente
iza,iza
garmin,garmin
whistleblowers,denunciantes
seersucker,seersucker
yecch,eca
ferrand,ferrand
chroniclers,cronistas
vietminh,vietminh
tiberias,Tiberíades
four-poster,quatro postes
sog,sog
tranquilized,tranquilizante
radioman,operador de rádio
sheboygan,Sheboygan
coconspirator,cúmplice
tranquillizer,tranquilizante
jeffreys,Jeffreys
rawness,crueza
sartorial,sartorial
tints,matizes
honecker,meleiro
vosges,Vosges
self-confessed,autoconfessado
girish,girish
leftover,sobras
jeered,vaiaram
sixpack,pacote com seis
ruppert,Ruppert
rastafarian,rastafári
digests,resumos
emanations,emanações
maddened,enlouqueceu
sublimated,sublimado
trampolines,trampolins
choristers,coralistas
conciliation,conciliação
charest,charest
portela,portela
upended,virado de cabeça para baixo
hangout,passar o tempo
despatched,despachado
gallegos,galegos
falsification,falsificação
jack-of-all-trades,pau para toda a obra
hole-in-one,buraco num
sequentially,sequencialmente
gobsmacked,boquiaberto
faenza,Faenza
eckhardt,Eckhardt
revolutionizing,revolucionando
longview,Vista Longa
starlit,estrelado
anas,anas
hausfrau,dona de casa
vigilantism,vigilância
toddling,engatinhando
newhall,Newhall
rearmament,rearmamento
doggedly,obstinadamente
tmg,tmg
carin,carin
predestination,predestinação
valles,vales
crinkly,enrugado
rojak,rojak
garfish,agulha
uvula,úvula
ecstacy,êxtase
tange,tange
chugged,engoliu
lviv,lviv
pared,aparado
cadenza,cadência
tir,tir
persecutors,perseguidores
glitzy,brilhante
festers,supuram
scrimping,economia
catalepsy,catalepsia
stade,estádio
tom-toms,tambores
basilar,basilar
riviere,rio
tramples,pisoteia
occupier,ocupante
anacondas,anacondas
obligate,obrigar
notepaper,papel de notas
pounces,ataca
uselessness,inutilidade
mendocino,mendocino
reined,rédeas
markey,mercado
sombreros,sombreros
beter,melhor
cross-border,transfronteiriço
shimoda,shimoda
qs,qs
humouring,humor
addicting,viciante
adaptor,adaptador
keon,Keon
ceti,ceti
renegotiating,renegociação
pukka,com certeza
gema,gema
drive-ins,cinemas drive-in
vom,vômito
joppa,joppa
damas,damas
hamar,hamar
co-pay,copagamento
hosni,hosni
nicol,nicol
sloman,sloman
tannins,taninos
rapidity,rapidez
redmayne,redmayne
creatine,creatina
startles,sustos
skimping,economizar
jukeboxes,jukeboxes
oriel,oriel
skein,meada
poisonings,envenenamentos
sit-ins,protestos
retractors,retratores
macaque,macaco
roller-skate,patins
gummed,gomado
jarry,Jarry
timex,timex
whack-a-mole,jogo de bater na toupeira
unsalted,sem sal
bicuspid,bicúspide
drownings,afogamentos
digitize,digitalizar
out-of-bounds,fora dos limites
boulanger,padeiro
pittsburg,Pittsburgh
dissociation,dissociação
burge,burguês
wide-awake,totalmente acordado
gladwell,Gladwell
outstayed,ficou mais tempo do que devia
unorganized,desorganizado
individualist,individualista
suruga,suruga
tenderest,mais tenro
devises,dispositivos
panoply,panóplia
drescher,Drescher
purports,alegações
pocky,pocky
slipshod,desleixado
pitch-dark,escuridão total
verte,verde
self-induced,autoinduzido
breckinridge,Breckinridge
utley,utley
gannet,ganso-patola
faecal,fecal
ovulate,ovular
well-timed,bem oportuno
go-carts,karts
crones,bruxas
foxton,Foxton
hornby,Hornby
dangly,pendurado
battle-hardened,endurecido pela batalha
unt,não
schroder,Schroder
ranchero,rancheiro
geoengineering,geoengenharia
supercharge,sobrecarregar
rebounded,recuperou
statuettes,estatuetas
paperless,sem papel
easterners,orientais
horseflesh,carne de cavalo
congregants,fiéis
spouted,jorrou
sunnis,sunitas
chanson,canção
buck-naked,completamente nu
dishonoring,desonrando
kunming,Kunming
carrel,cabine
chrystal,cristal
opm,opm
spr,spr
laurier,Laurier
straight-laced,rígido
subwoofer,subwoofer
cambodians,cambojanos
fetishism,fetichismo
infesting,infestando
ary,ário
guangxi,guangxi
flits,voa
polyamorous,poliamoroso
kura,kura
hammonds,hammonds
voluminous,volumoso
unformed,informe
doubleheader,rodada dupla
flimflam,mentiroso
sro,sro
dsm,dsm
deadpan,com a maior cara de pau
jowl,papada
strew,espalhar
panetta,panetta
kleptomania,cleptomania
chimeras,quimeras
mystify,mistificar
chaebol,chaebol
selfsame,mesmo
anschluss,anschluss
foresail,vela de proa
weepers,chorões
thankyous,agradecimentos
potrero,potrero
uncorrupted,não corrompido
alcohol-free,sem álcool
badr,badr
aboriginals,aborígenes
gunrunning,tráfico de armas
usurers,usurários
perversely,perversamente
rabia,raiva
extramarital,extraconjugal
sweet-and-sour,agridoce
sympathiser,simpatizante
casillas,casillas
coops,cooperativas
undependable,não confiável
dafydd,dafydd
cova,cova
icbms,ICBMs
openshaw,openshaw
applicator,aplicador
creditable,confiável
amniocentesis,amniocentese
enforces,impõe
turney,turney
colorist,colorista
aqaba,Aqaba
spinnaker,spinnaker
widgets,widgets
kilohertz,quilohertz
sids,sides
annemarie,Annemarie
gameplay,jogo
endowments,doações
clicquot,clicquot
ftc,ftc
eder,eder
etheridge,etheridge
shriner,shriner
ryn,ryn
all-weather,para todos os climas
existent,existente
cager,gaiola
infrasound,infrassom
jackdaw,gralha
eggbeater,batedor de ovos
crosstown,transversal
dells,vales
turnstiles,catracas
imperialistic,imperialista
restive,inquieto
mci,mci
monoculture,monocultura
puppeteers,marionetistas
peller,Peller
ill-timed,inoportuno
berbers,berberes
andries,andries
moulton,mofo
kru,kru
unworkable,impraticável
bethe,ser o
half-heartedly,sem entusiasmo
chanterelle,cantarelo
dodos,dodôs
slogged,trabalho árduo
egg-laying,postura de ovos
saltiness,salinidade
zero-gravity,gravidade zero
camberwell,camberwell
previa,prévia
clandestinely,clandestinamente
abdul-jabbar,Abdul-Jabbar
farnborough,Farnborough
headmasters,diretores
founds,fundos
wrasse,bodião
macomber,macomber
shirker,preguiçoso
guarana,guaraná
letter-writing,escrita de cartas
aubergines,beringelas
lansdowne,Lansdowne
mvc,mvc
hunchbacked,corcunda
haise,haise
warrens,tocas
viewings,visitas
ethernet,ethernet
bett,melhor
halberd,alabarda
amazonia,Amazônia
unix,unix
senza,senza
brownout,queda de energia
karoline,Karoline
y-fronts,cuecas y-fronts
gift-wrap,papel de presente
covetous,cobiçoso
turnout,vire para fora
fleur-de-lis,flor-de-lis
nuncio,núncio
half-century,meio século
rille,rille
reverberations,reverberações
loya,leal
adipocere,adipocera
menstruate,menstruar
pott,pote
lavin,lavin
insistently,insistentemente
tainting,contaminação
biblically,biblicamente
vogt,vogt
ambrosius,ambrósio
reissue,reedição
andean,andean
lulling,calmante
faithfull,fiel
piker,piqueiro
brzezinski,brzezinski
mugabe,Mugabe
shaki,Shaki
titular,titular
tulloch,tulloch
forested,florestado
dafoe,dafoe
hafez,Hafez
piss-up,mijar-up
priori,priori
aerobatic,acrobacias aéreas
omiya,omiya
what-ifs,e se
walkthrough,passo a passo
andr,andr
slipknot,nó corrediço
yellowing,amarelamento
shushed,silenciou
hersh,hersh
drug-addicted,viciado em drogas
gleamed,brilhou
remitted,remetido
airplay,reprodução de rádio
gf,namorada
sunglass,óculos de sol
hoofed,casco
beguine,beguina
sarnoff,Sarnoff
chitlin,chitlin
fertilisation,fertilização
vintages,safras
truncheons,cassetetes
deviance,desvio
crowbars,pés de cabra
undertakes,realiza
husain,Husain
industrialised,industrializado
unveils,revela
deet,detalhes
shevchenko,shevchenko
oilfields,campos de petróleo
rta,rta
jomo,jomo
yankovic,yankovic
mandelson,Mandelson
tryouts,testes
squelches,abafamento
light-fingered,de mãos leves
sebastopol,Sebastopol
macross,macross
iro,iro
courteney,Courtney
tip-toe,na ponta dos pés
sameness,igualdade
oversimplifying,simplificação excessiva
doxy,doxy
gift-giving,dar presentes
headshrinker,psiquiatra
bulgars,búlgaros
malingering,fingimento
duell,duelo
funicular,funicular
flannels,flanelas
nga,nga
pedlar,mascate
dramatist,dramaturgo
dabbler,amador
exhalation,exalação
sabah,sabah
muta,muta
lisboa,Lisboa
worsted,lã penteada
chenille,chenille
borgo,borgo
open-door,porta aberta
seamy,nojento
snowshoe,raquete de neve
hematocrit,hematócrito
riverbanks,margens do rio
pelias,pelias
lancastrian,lancastriano
wolfing,lobo
upsides,vantagens
chorister,corista
creamery,laticínios
toulouse-lautrec,Toulouse-Lautrec
reiterated,reiterado
noes,não
kremer,kremer
indoctrinate,doutrinar
bonnard,Bonnard
bandai,bandai
margulies,margulies
prevalence,prevalência
teeniest,minúsculo
lr,lr
socioeconomic,socio-económico
thruway,via expressa
perusal,leitura
rebuff,repelir
hyogo,Hyogo
chuffs,bufos
kivu,kivu
washrooms,banheiros
nubs,protuberâncias
portis,portis
spick-and-span,impecável
naxos,Naxos
kaw,kaw
arm-wrestle,queda de braço
vara,vara
parentis,parentis
bichon,bichon
blogosphere,blogosfera
tradeoff,troca
alcala,alcala
iwa,iwa
milken,leite
deafened,surdos
bamber,Bamber
ladybirds,joaninhas
amble,passeio
inboard,interior
kasha,kasha
two-four,dois-quatro
turnkey,chave na mão
derangement,desarranjo
demers,demers
astrakhan,astracã
fatness,gordura
canonized,canonizado
bachir,bachir
walley,walley
pickens,pickens
kross,cruz
papier,papel
best-laid,melhor elaborado
vegemite,vegemite
inferences,inferências
furey,fúria
atp,atp
sonntag,sonntag
maroons,quilombos
chumming,chumming
ailsa,ailsa
rubidium,rubídio
chaves,chaves
customarily,costumeiramente
asma,asma
extractions,extrações
miniskirt,mini-saia
dressed-up,bem vestido
yodels,iodelei
illusionists,ilusionistas
venezuelans,venezuelanos
dromedary,dromedário
fuerte,forte
apr,abril
truncated,truncado
hicksville,Hicksville
ex-lax,ex-lax
varlet,varlet
vajra,vajra
demobilized,desmobilizado
palak,palak
randle,randle
glas,vidro
hailstones,pedras de granizo
sheepshead,cabeça de ovelha
exonerates,exonera
passchendaele,passchendaele
light-colored,cor clara
jinxes,azar
insoles,palmilhas
stra,stra
sarris,saris
litvinov,litvinov
kegel,exercícios de Kegel
hunte,caça
rearm,rearmar
feh,feh
araby,árabe
rippled,ondulado
jaw-dropping,De cair o queixo
kreutzer,kreutzer
voiture,carro
alberich,alberich
gans,gans
specifying,especificando
greasers,graxas
noemi,Noemi
goodwood,Goodwood
wenger,Wenger
shrimpy,camarão
juggles,malabarismos
superego,superego
foulness,sujeira
wyvern,wyvern
challah,challah
bombproof,à prova de bombas
quatrain,quadra
hanger-on,parasita
motormouth,tagarela
strunk,strunk
dkk,dkk
hobb,hobb
regrow,crescer novamente
getter,getter
lifters,levantadores
dda,dda
carfare,passagem de carro
at-home,em casa
mishkin,mishkin
meissen,Meissen
waterside,beira-mar
dystopian,distopia
venter,ventre
elko,elko
evasions,evasivas
basmati,basmati
septicemia,septicemia
constrictors,constritores
souvlaki,souvlaki
moistened,umedecido
castrati,castrati
festa,festa
utilization,utilização
ampere,ampere
crestfallen,abatido
securitate,securitate
norseman,nórdico
house-trained,treinado para fazer as necessidades no local certo
carrol,carrol
herreshoff,herreshoff
tustin,tustin
dredges,dragas
calor,calor
manas,manas
decimals,decimais
reenlist,reengajar-se
attu,attu
hadleigh,Hadleigh
breakdance,breakdance
hogged,porquinho
hardesty,mais difícil
koby,koby
watteau,Watteau
whiney,chorão
meanders,meandros
impartially,imparcialmente
kolinsky,Kolinsky
circuitous,tortuoso
gunrunner,traficante de armas
conkers,castanhas
leaderboard,tabela de classificação
no-smoking,Proibido fumar
xtreme,extremo
innately,inatamente
bricking,alvenaria
negev,negev
kuri,kuri
militaries,militares
midshipmen,aspirantes a oficial
wellcome,Bem-vindo(a)
imparting,transmitir
chronicled,registado
smokies,defumados
cooky,maluco
awfulness,horror
unrealized,não realizado
whish,desejo
negated,negado
holcroft,holcroft
erk,erk
resistor,resistor
equates,equivale
behari,behari
vause,vause
focussing,concentrando
cubist,cubista
dornan,dornan
asian-american,asiático-americano
anglesey,Anglesey
sprinted,correu
blalock,blalock
cantons,cantões
scrounged,catado
prolongs,prolonga
altoona,Altoona
fonteyn,fonteyn
laika,laika
raggy,esfarrapado
obliterates,oblitera
dalhousie,dalhousie
trashes,lixos
obeah,obeah
organza,organza
doctorates,doutorados
labelling,rotulagem
maxis,maxis
toppers,toppers
set-ups,configurações
mcsorley,McSorley
haddonfield,Haddonfield
mortuaries,necrotérios
cugat,cugat
fine-toothed,de dentes finos
dedications,dedicatórias
mishandling,mau manuseio
grahams,grahams
panelling,painéis
starck,starck
pediatricians,pediatras
hec,hec
tey,tey
do-nothing,não fazer nada
blimps,dirigíveis
comminuted,triturado
daydreamer,sonhador
schenck,schenck
kenwood,Kenwood
hammel,Hammel
graying,grisalhos
volcanism,vulcanismo
crocheted,crochê
steamships,navios a vapor
retaliates,retalia
self-reflection,autorreflexão
corniche,corniche
sikorski,sikorski
tevin,tevin
scooted,patinou
anti-hero,anti-herói
cuneo,cuneo
quarried,extraído
crescent-shaped,sob a forma de crescente
purveyors,fornecedores
glans,glande
hottentot,hotentote
gdf,gdf
sniffers,farejadores
snagging,prendendo
afridi,afridi
adaline,Adaline
recalculate,recalcular
ravening,vorazes
mouthwatering,água na boca
browder,navegador
apres,après
brogues,sapatos
polarization,polarização
roundly,redondamente
mcgann,mcgann
politicking,politicagem
cagle,cagle
cautery,cautério
make-or-break,decisivo
burgundians,borgonheses
subsidence,subsidência
villegas,villegas
inbetween,entre
by-line,por linha
bards,bardos
lousiest,pior
islay,ilha
zahn,zahn
wholeness,integridade
shored,escorado
nain,nain
appropriating,apropriação
rear-end,extremidade traseira
seligman,seligman
axum,axum
cupola,cúpula
professes,professa
straightforward,direto
attesting,atestando
croll,croll
flouted,desrespeitado
booksellers,livreiros
bandini,bandini
bautista,bautista
sympathetically,simpaticamente
yean,sim
ambos,ambos
wird,wird
nwa,nwa
zuni,zuni
billow,ondulação
quickstep,passo rápido
trond,trond
haymes,haymes
memorising,memorizar
necked,pescoço
wearied,cansado
abdulla,Abdulla
trappist,trapista
transposition,transposição
tidewater,água da maré
harvie,Harvey
superlatives,superlativos
bitumen,betume
miked,microfonado
albertina,Albertina
etymology,etimologia
appaloosa,appaloosa
aarp,aarp
forswear,renunciar
sub-lieutenant,subtenente
ideation,ideação
misfires,falhas de ignição
swindles,golpes
positional,posicional
victimised,vitimizado
spurring,estimulando
cca,cca
hypnotherapist,hipnoterapeuta
swee,doce
agains,contra
transcriber,transcritor
blakeley,Blakeley
kuntz,kuntz
crayford,crayford
mathieson,mathieson
transgendered,transgénero
foreseeing,prevendo
defiles,profanações
refuges,refúgios
centrifuges,centrífugas
polygon,polígono
ludicrously,ridiculamente
clarinets,clarinetes
sugden,sugerido
clime,clima
isambard,Isambard
reavers,saqueadores
antipasto,antipasto
toerag,toerag
nock,nock
canonical,canônico
t4,t4
tare,tara
tandon,tandon
villar,vilar
tittle,título
billabong,billabong
crumpling,amassando
sulphurous,sulfuroso
kilbride,Kilbride
clairmont,Clairmont
rhod,rodo
purloined,roubado
chelsey,Chelsey
mcintire,mcintire
lua,lua
fanatically,fanaticamente
stogie,charuto
aristophanes,aristófanes
splashdown,amerissagem
constitutions,constituições
budgeting,orçamento
optimistically,otimistamente
4-f,4-f
wristwatches,relógios de pulso
snowballing,bola de neve
baugh,baugh
magellanic,magalhânico
araya,araya
big-money,muito dinheiro
demoralised,desmoralizado
slap-up,muito bom
unabashed,ousado
handbills,panfletos
manx,manx
episiotomy,episiotomia
wearisome,cansativo
diomedes,Diomedes
greasepaint,graxa
triglycerides,triglicéridos
difficile,difícil
passat,passat
rajab,rajab
carping,carpa
hagerman,Hagerman
docklands,docas
pastas,massas
accusatory,acusatório
granby,Granby
probity,probidade
laughingstock,motivo de chacota
sunless,sem sol
humbles,humilha
hardie,resistente
housemother,governanta
upsurge,aumento
progressives,progressistas
harwich,Harwich
scarfe,cachecol
double-crosses,traições
morant,morante
aldershot,aldershot
seagoing,marítimo
abramson,Abramson
barque,barca
sigmoid,sigmoide
matronly,matronal
pansexual,pansexual
tabula,tábula
grabbers,agarradores
dhow,dhow
sakhalin,Sacalina
declination,declinação
patras,patras
gabo,gabo
earwigs,tesourinhas
homophobes,homofóbicos
knifepoint,ponta de faca
cosigned,assinado em conjunto
trolled,trollado
pellagra,pelagra
polluter,poluidor
nightwatch,vigília noturna
provable,comprovável
tomography,tomografia
ammonites,amonites
bedfordshire,Bedfordshire
whirled,girou
choirmaster,mestre de coro
elson,elson
castleman,homem do castelo
privation,privação
mispronounced,mal pronunciado
traffics,tráfegos
molt,muda
npa,npa
seminarian,seminarista
nm,nm
horrifies,horroriza
unpolished,sem polimento
gsm,gsm
triplex,triplex
stander,Stander
durocher,durocher
remora,rêmora
contrivance,artifício
yeomanry,yeomanry
glinting,brilhando
jackanapes,macacos
rugrats,pirralhos
robben,Robben
slipup,deslize
astronomically,astronomicamente
agron,agron
bird-like,semelhante a um pássaro
masquerades,mascaradas
polemic,polémica
sunnier,mais ensolarado
benvenuto,bem-vindo
disgraces,desgraças
dors,dors
programed,programado
hardtop,teto rígido
thorp,Thorp
nordberg,Nordberg
blabs,tagarelice
marabou,marabu
neoclassical,neoclássico
oshkosh,Oshkosh
expending,gastando
atvs,quadriciclos
festus,Festo
informality,informalidade
homeostasis,homeostase
avo,abacate
svt,svt
buttle,buttle
templates,modelos
scorecards,cartões de pontuação
half-pipe,half-pipe
crue,crue
muscovites,moscovitas
flaxen,linho
laissez-faire,laissez-faire
betti,betti
whomp,whomp
wanger,Wanger
lynwood,Lynwood
stanislavski,Stanislavski
betted,apostado
psychodrama,psicodrama
b-boys,b-boys
tangshan,Tangshan
forlornly,desoladamente
lipsky,lipsky
suborning,suborno
flatland,planície
corticosteroids,corticosteroides
wyeth,Wyeth
chiropractors,quiropráticos
pcbs,placas de circuito impresso
decimation,dizimação
theat,teatro
pavia,pavilhão
conversed,conversou
gurion,gurion
occluded,ocluído
eventide,crepúsculo
amphorae,ânforas
alitalia,Alitalia
cramond,cramond
fijian,fijiano
krona,coroa
loveland,Loveland
zy,zy
kurz,curto
metallurgist,metalurgista
anvils,bigornas
half-black,meio-negro
reacquaint,reencontrar
edgeways,de lado
cayuga,cayuga
halperin,halperina
kawabata,kawabata
andaman,andaman
hydrophone,hidrofone
earnestness,seriedade
fanshawe,fanshawe
blobby,disforme
stereophonic,estereofónico
deadweight,peso morto
axeman,homem do machado
liquefaction,liquefação
sandbanks,bancos de areia
go-round,volta
deming,Deming
digges,escavações
juleps,juleps
sothern,sul
untangling,desembaraçar
bailouts,resgates
shopaholic,viciado em compras
anti-theft,antifurto
revocation,revogação
uribe,uribe
macht,macht
deceits,enganos
unequalled,inigualável
layoffs,demissões
foramen,forame
conciliatory,conciliatório
retread,recauchutado
plagiarist,plagiador
ranted,desabafou
doubleday,dia duplo
borel,borel
scholes,Scholes
tramped,pisoteado
bolstered,reforçado
son-of-a-gun,filho da mãe
monosyllabic,monossilábico
dialogs,diálogos
strutt,strutt
drey,drey
saddler,seleiro
musicianship,musicalidade
toute,toute
oilers,lubrificadores
hushing,silenciando
osbert,Osbert
invisibles,invisíveis
jukes,juke
lemnos,limões
morella,Morella
cypriot,cipriota
slathered,besuntado
speakeasies,bares clandestinos
rumpy,rumpy
necessaries,necessidades
lazenby,lazenby
marengo,marengo
willamette,Willamette
round-the-world,volta ao mundo
fully-grown,totalmente crescido
castoff,descartado
sirocco,siroco
edamame,edamame
spankings,palmadas
lameness,claudicação
liquidator,liquidante
correll,correlacionar
gowrie,gowrie
bnc,bnc
capitalise,capitalizar
argosy,argosy
dustman,catador de lixo
loci,loci
anti-jewish,antissemita
banqueting,banquetes
veen,veia
lurching,cambaleando
jibber,tagarelice
ccc,ccc
reignited,reacendido
kerby,kerby
wiggs,perucas
lds,lds
accentuated,acentuado
ostrava,Ostrava
cupped,em forma de concha
lazily,preguiçosamente
voronezh,Voronezh
organa,órgãos
topples,tomba
pored,poroso
moreton,Moreton
over-the-hill,ultrapassado
whitewater,águas bravas
flaying,esfolamento
desolated,desolado
meka,meca
barbier,barbeiro
sakti,sakti
sikkim,Sikkim
waddington,waddington
agin,contra
disrobed,despido
northeastern,nordeste
shon,shon
teddies,ursinhos de peluche
luxuriously,luxuosamente
pendent,pingente
pilings,estacas
fadeout,fadeout
sympathisers,simpatizantes
glitchy,instável
retailing,varejo
cesena,cesena
kongo,Congo
diaghilev,diaghilev
scaramouche,scaramouche
gawker,observador
estuaries,estuários
flowy,fluido
nationalize,nacionalizar
vied,competiu
paralysing,paralisante
yaqui,yaqui
benzo,benzo
polak,polaco
sproule,sproule
lancing,lança
foxfire,fogo-raposa
calumet,calumet
usefully,útilmente
blow-by-blow,passo a passo
correlations,correlações
westphalia,Vestfália
air-cooled,refrigerado a ar
megabytes,megabytes
cokey,cocaína
frankland,Franklândia
mid-size,tamanho médio
usaid,usaid
chidambaram,chidambaram
hopp,pular
riskiest,mais arriscado
fingerling,alevino
rompers,macacões
cavite,cavidade
ridgemont,ridgemont
marketer,profissional de marketing
fenimore,Fenimore
macquarie,Macquarie
goodchild,boa criança
ibaraki,ibaraki
knockoffs,imitações
schoolmistress,professora
counselled,aconselhado
arthurian,arturiano
pleat,prega
housebreaking,treino de animais de estimação
aalborg,Aalborg
maligning,difamação
man-of-war,navio de guerra
transnational,transnacional
gawp,olhar fixo
blastoff,decolagem
weddell,Weddell
soldered,soldado
spawns,gera
airdate,data de exibição
stents,stents
cowlick,redemoinho
maturely,maduramente
brahe,brahe
wonk,maluco
transactional,transacional
punch-drunk,bêbado
oxman,boiman
parada,parada
ravenscroft,ravenscroft
diviner,adivinho
bussed,ônibus
presser,conferência de imprensa
