you,あなた
polygamists,一夫多妻主義者
gamelin,ガムリン
horniest,最も興奮した
sauntering,徘徊
deflowering,破瓜
open-mindedness,寛容さ
day-by-day,一日一日
weiler,ワイラー
saiki,斎木
headbutting,頭突き
she-goat,雌ヤギ
cavin,キャビン
supping,スープ
knicker,ニッカー
pivots,ピボット
kolhapur,コルハプール
sence,感覚
banting,バンティング
jlo,jlo
bowdoin,ボウディン
overpriced,高すぎる
fru,フルーツ
vesalius,ヴェサリウス
bedstead,ベッドフレーム
bidets,ビデ
firebombs,焼夷弾
arabians,アラビア人
bluebottle,カツオノエボシ
braless,ブラジャーなし
chirrup,さえずる
reconfirmed,再確認
handhold,手すり
kron,クロン
kookie,クッキー
gorden,ゴーデン
mannerism,癖
debilitated,衰弱した
foodies,食通
eme,えめ
liquefies,液化する
cafeterias,カフェテリア
interceptions,インターセプト
hollie,ホリー
burd,鳥
dixons,ディクソンズ
kariya,カリヤ
hussey,ハッセイ
thorney,ソーニー
summonses,召喚状
wallah,ワラ
thwacks,ドスン
scherer,シェラー
concisely,簡潔に
sherrington,シェリントン
constanze,コンスタンツェ
rol,ロール
leopard-skin,ヒョウ柄
cotten,綿
diaphragmatic,横隔膜
oinks,ブーブー
whitten,白くする
tlingit,トリンギット
memoranda,覚書
bhatti,バッティ
egg-white,卵白
pritch,プリッチ
two-sided,両面
andromache,アンドロマケ
perspicacity,洞察力
fourthly,第四に
sequestering,隔離
hard-to-reach,手の届きにくい
principe,プリンシペ
mickle,ミックル
penetrator,貫通体
eking,エキング
fishmongers,魚屋
hardcase,ハードケース
lemoyne,レモイン
narmada,ナルマダ
adelman,アデルマン
sharjah,シャルジャ
self-described,自称
dark-colored,暗い色の
despairs,絶望する
necessitated,必要とした
brights,明るい色
slumbered,眠った
vagueness,曖昧さ
ataxia,運動失調
spd,スピード
senors,高齢者
silkwood,絹の木
consequential,結果的に
granton,グラントン
embarrassments,恥ずかしいこと
headhunted,ヘッドハンティングされた
cheapens,安くなる
think-tank,シンクタンク
iras,イラス
malleus,槌骨
beaman,ビーマン
woodcocks,ヤマシギ
futurity,未来
vosper,ヴォスパー
platonically,プラトン的に
creepy-crawlies,不気味な虫たち
leverett,レベレット
toccata,トッカータ
negating,否定する
wheelock,ウィーロック
soundness,健全性
bohunk,ボハンク
requiescat,安らかに眠れ
postproduction,ポストプロダクション
impotency,インポテンツ
albumin,アルブミン
tractor-trailer,トラクター・トレーラー
hornpipe,ホーンパイプ
majdanek,マイダネク
palmistry,手相占い
scuffing,擦り傷
komo,コモ
zeit,ツァイト
kipp,キップ
generalizations,一般論
shivery,震える
telecoms,通信
melia,メリア
vra,ヴラ
bellicose,好戦的な
materialists,唯物論者
ariake,有明
toombs,墓
buttes,ビタ
snowdonia,スノードニア
tootles,トゥートルズ
al-qaida,アルカイダ
contributory,貢献する
twe,2
drooped,垂れ下がった
jumpstarted,始動
binny,ビニー
moorpark,ムーアパーク
biathlon,バイアスロン
mcwilliams,マクウィリアムズ
complexions,肌の色
dance-hall,ダンスホール
nihil,虚無
lungfish,ハイギョ
babby,赤ちゃん
paramecium,ゾウリムシ
lifetime,一生
pestilential,疫病
orientations,方向
appointees,任命者
hurtado,フルタド
teashop,ティーショップ
emos,エモ
dibber,ディバー
brigg,ブリッグ
casal,カサル
subscribing,購読する
suribachi,すり鉢
nembutal,ネンブタール
intriguingly,興味深いことに
barger,荷運び人
welsher,ウェルシャー
leprous,らい病の
yearlings,1歳馬
dykstra,ダイクストラ
gustavus,グスタフス
untrusting,信用できない
redact,編集済み
mid-way,中間地点
crabmeat,カニ肉
hellraiser,ヘルレイザー
rejuvenates,若返らせる
mitsui,三井
javelins,やり投げ
ignoramuses,無知な人々
intermix,インターミックス
unifies,統一する
beebee,ビービー
permanganate,過マンガン酸塩
evocation,喚起
maloof,マルーフ
otway,オトウェイ
time-release,徐放性
foreknowledge,予知
snowbird,スノーバード（冬の間だけ暖かい地域で過ごす人）
dovey,愛らしい
unblinking,瞬きもせずに
garrisoned,駐屯した
bistros,ビストロ
depressives,うつ病患者
corven,コルヴェン
quintuple,五つ組
magdala,マグダラ
dickman,ディックマン
discotheques,ディスコ
takaoka,高岡
plz,お願いします
breakouts,ブレイクアウト
antiperspirant,制汗剤
graphical,グラフィカル
noway,とんでもない
downdraft,下降気流
dns,DNS
abhorrence,嫌悪感
firefights,銃撃戦
compline,就寝前の祈り
picayune,ピカユーン
grandfathered,既得権
sloppily,雑に
straitjackets,拘束衣
ensor,エンソル
grimsley,グリムズリー
athenaeum,アテネウム
heth,ヘス
lindner,リンドナー
spurted,噴出した
revelatory,啓示的な
mccarthyism,マッカーシズム
mantell,マンテル
twirly,くるくる回る
usi,ウシ
fairing,フェアリング
boyko,ボイコ
rabble-rousing,扇動
koop,クープ
cortot,コルトー
neorealism,ネオリアリズム
tovar,トヴァル
shroff,シュロフ
wiebe,ウィーベ
kars,カルス
alvar,アルバール
ironwood,アイアンウッド
befouled,汚された
unfeasible,実現不可能
pinscher,ピンシャー
yamanashi,山梨
schlemiel,シュレミール
gorp,ゴープ
voisin,ヴォワザン
hereabout,この辺り
reformat,再フォーマット
de-escalate,事態を沈静化させる
guilting,罪悪感を抱かせる
standouts,傑出した人物
snubs,冷遇
freakier,より奇妙な
inka,インカ
mused,考え込んだ
liger,ライガー
walkover,不戦勝
tranquillizers,精神安定剤
onomatopoeia,擬音語
bettor,ベッター
atef,アテフ
underpinnings,基礎
aftercare,アフターケア
apple-pie,アップルパイ
dishpan,洗い桶
high-tension,高張力
guillen,ギレン
botheration,迷惑
powe,パワー
weisman,ワイズマン
kelleher,ケレハー
elaboration,詳細説明
omega-3,オメガ3
sackful,袋いっぱい
kerf,切り込み
hurdling,ハードル走
availing,利用する
hobbyists,趣味人
foully,ひどく
drabs,地味な
betroth,婚約
scorches,焦げる
questioner,質問者
personne,人
elwell,エルウェル
speciale,スペシャル
parce,パルセ
syllogism,三段論法
bradlee,ブラッドリー
brisson,ブリソン
tows,牽引
pois,ポイズ
fim,フィルム
spay,避妊手術
cataclysms,大災害
liveable,住みやすい
multiplayer,マルチプレイヤー
gauged,計測された
iselin,イセリン
montoneros,モントネロス
babylonia,バビロニア
riis,リース
abajo,下
mayhap,もしかしたら
uptempo,アップテンポ
ftp,FTP
expeditious,迅速な
cuerpo,体
corroborative,裏付けとなる
caudillo,カウディーリョ
adu,大人
wulff,ウルフ
sull,サル
slants,傾斜
washer-dryer,洗濯乾燥機
hatters,帽子屋
agonal,死期の
besmirching,中傷する
strad,ストラッド
forewarning,事前警告
rida,リダ
edta,EDTA
muddying,泥だらけにする
peninsular,半島
balmain,バルマン
folie,フォリー
blewett,ブレウェット
arm-twisting,腕をねじる
burghley,バーリー
trimmers,トリマー
preoccupations,関心事
occultism,オカルト
quaff,クワフ
sindhi,シンド語
acetylcholine,アセチルコリン
ptolemaic,プトレマイオス朝
secor,セコール
psychical,超能力
condensers,コンデンサー
supplementing,補う
showstopping,圧巻のショー
verneuil,ヴェルヌイユ
acu,鍼
fala,ファラ
tannin,タンニン
offsite,オフサイト
verisimilitude,真実味
gigahertz,ギガヘルツ
stargazers,星空観察者
chucklehead,とんちき
hqs,本社
disappointingly,残念なことに
investigatory,調査
lary,ラリー
parkside,公園側
big-budget,巨額の予算
placating,なだめる
hirschfeld,ヒルシュフェルト
fatimah,ファティマ
atr,atr
epidemiology,疫学
waveform,波形
shriveling,しぼむ
mazar,マザール
pana,パナ
desiccation,乾燥
samoans,サモア人
textural,質感のある
umbilicus,へそ
munches,ムシュ
chickamauga,チカマウガ
besa,ベサ
jours,日
paulin,ポーリン
sires,種牡馬
gimbal,ジンバル
afer,後
heaney,ヒーニー
gyroscopic,ジャイロスコープ
thrashes,暴れまわる
mors,モルス
ridiculousness,ばかばかしさ
scleroderma,強皮症
trainload,列車の積載量
mendacious,嘘つき
fomo,FOMO（取り残されることへの恐怖）
krugman,クルーグマン
hir,ヒア
qaddafi,カダフィ
fragmenting,断片化
proprieties,財産
gaillard,ガイラール
martingale,マルチンゲール
opts,選択する
sickeningly,吐き気を催すほど
disorganization,混乱
cavell,カベル
mahomet,マホメット
exfiltration,漏出
repped,代表
slavering,よだれを垂らす
sherbert,シャーベット
interdict,禁令
underlies,根底にある
smelliest,最も臭い
splotch,斑点
preppies,プレッピー
distinguishable,区別できる
leaker,リーカー
elongate,伸ばす
backchat,バックチャット
underpin,支える
spleens,脾臓
tintoretto,ティントレット
ayrshire,エアシャー
busman,バスマン
nationhood,国家
defecates,排便する
flatterers,お世辞を言う人
gea,ギア
downlink,ダウンリンク
coalfields,炭田
aerobatics,曲技飛行
pre-planned,事前に計画された
schultze,シュルツェ
enlightens,啓発する
freitas,フレイタス
paradigms,パラダイム
journos,ジャーナリスト
broch,ブロホ
visualisation,視覚化
gorka,ゴルカ
joslyn,ジョスリン
durfee,ダーフィー
dworkin,ドウォーキン
name-day,命名日
aar,アール
faintness,失神
self-realization,自己実現
battler,戦闘員
pardners,パートナー
kreuzberg,クロイツベルク
watling,ワトリング
copperheads,コッパーヘッド
gentil,ジェンティル
creaked,きしむ音
handley,ハンドリー
findley,フィンドレー
musial,ミュージカル
pulsed,パルス
tisa,ティサ
crois,クロワ
peptic,消化性
drink-driving,飲酒運転
bizet,ビゼー
fant,ファン
clearinghouse,情報交換所
gladius,グラディウス
self-destructs,自爆する
kerplunk,ドスン
picardy,ピカルディ
ifa,ifa
iaea,IAEA
quatrains,四行詩
sponged,スポンジで拭いた
pushchair,ベビーカー
tyrannosaur,ティラノサウルス
mousa,ムーサ
sotomayor,ソトマヨール
woodsmen,木こり
finalising,最終決定
uefa,UEFA
whiteface,ホワイトフェイス
antonello,アントネッロ
reitz,ライツ
almanacs,暦
goodspeed,良いスピード
dinsmore,ディンスモア
manty,マンティ
traditionalists,伝統主義者
jitter,ジッター
up-and-down,上下
gonad,生殖腺
bankable,銀行に預けられる
rajputs,ラージプート族
immunosuppressants,免疫抑制剤
resuscitating,蘇生
lamy,ラミー
bight,湾
rameau,ラモー
biannual,年2回
newspeak,ニュースピーク
two-wheeler,二輪車
rimmed,縁取りのある
stiffly,硬直した
outwitting,出し抜く
categorise,分類する
heartlessly,冷酷に
henrich,ヘンリッヒ
fha,fha
pir,pir
begrudging,しぶしぶ
miron,ミロン
cunliffe,カンリフ
abcd,abcd
collet,コレット
bromfield,ブロムフィールド
persuasions,説得
cardholder,カード所有者
mummify,ミイラにする
fermo,フェルモ
dw,dw
francia,フランス
jammu,ジャム
perrot,オウム
akureyri,アークレイリ
undiminished,衰えていない
tgv,TGV
laureates,受賞者
forrestal,フォレスタル
single-engine,単発エンジン
businessperson,実業家
deemer,ディーマー
ptomaine,プトメイン
wastewater,廃水
alcoa,アルコア
heartened,勇気づけられた
demonstrably,明らかに
hals,ハルス
maule,モール
clothespin,洗濯バサミ
reentering,再突入
madura,マドゥラ
cloverdale,クローバーデール
phonetics,音声学
abubakar,アブバカル
revell,レベル
zealander,ニュージーランド人
toughening,強化
diagonals,対角線
circumventing,回避する
wimmer,ウィマー
logarithm,対数
freebase,フリーベース
seguin,セガン
chlorpromazine,クロルプロマジン
ampicillin,アンピシリン
thronged,人でごった返していた
coloureds,有色人種
smartened,スマート化
fallacious,誤った
assembler,アセンブラ
viner,バイナー
kreplach,クレプラハ
boardrooms,役員会議室
plas,プラス
right-wingers,右翼
breading,パン粉
tinian,ティニアン
equal-opportunity,機会均等
hobnobs,ホブノブ
nus,ヌス
non-white,非白人
oversensitive,過敏症
clinching,クリンチング
perryman,ペリーマン
tontine,トンティン
laneway,路地
self-defeating,自滅的
zuniga,ズニガ
mangas,マンガ
hardliners,強硬派
squier,スクワイア
bruder,兄弟
flycatcher,ヒタキ
pennock,ペノック
dickenson,ディキンソン
appreciable,かなりの
duck-billed,カモノハシ
xd,xd
oil-rich,石油が豊富な
reconquer,再征服する
motorbike,バイク
smudgy,汚れた
troutman,トラウトマン
tamworth,タムワース
obdurate,頑固な
alienist,精神科医
diffraction,回折
saur,サウルス
deregulated,規制緩和
tanga,タンガ
tripartite,三者構成
minutia,細部
ape-men,猿人
cleavers,包丁
prehensile,掴む
reata,リアタ
precession,歳差運動
in-out,出入り
nationalisation,国有化
moralists,道徳家
protrusions,突起
hot-wiring,直結配線
reddest,最も赤い
stylistically,スタイル的に
convulse,痙攣する
borgen,ボルゲン
airburst,空中爆発
allspice,オールスパイス
airey,エアリー
goers,観光客
copiers,コピー機
andouille,アンドゥイユ
blue-blood,貴族
brussel,ブリュッセル
eagan,イーガン
caveats,注意点
marquises,侯爵
pantywaist,パンティウエスト
antecedents,先行要因
fasteners,留め具
simenon,シメノン
gynaecology,婦人科
plazas,広場
dongguan,東莞
pythias,ピュティアス
hrh,hrh
brakeman,ブレーキマン
falsies,偽物
demeans,軽蔑する
bad-mannered,行儀の悪い
damiana,ダミアナ
thiamine,チアミン
shand,シャンド
right-winger,右翼
easiness,容易さ
howes,ハウズ
moralize,道徳化する
long-eared,耳の長い
singeing,焼き焦がす
dropouts,中退者
lucina,ルキナ
yj,yj
nystrom,ニストロム
topham,トップハム
rills,小川
friel,フリエル
one-nighter,一夜限り
speirs,スピアー
lathan,ラサン
federalist,連邦主義者
matera,マテラ
fluttery,ひらひらと舞う
ai-ling,アイリン
millstones,石臼
ionescu,イオネスク
exasperate,苛立たせる
marsalis,マルサリス
otitis,耳炎
farthingale,ファージンゲール
adders,加算器
couched,ソファに座った
damnably,ひどく
oarsmen,漕ぎ手
pmi,PMI
singaporean,シンガポール人
bringers,持ち込む人
technocrats,テクノクラート
jailing,投獄
salto,サルト
meshed,メッシュ
kra,クラ
foxed,キツネ
mangano,マンガノ
unworthiness,価値がない
bagh,バグ
wanamaker,ワナメーカー
edp,edp
ilias,イリアス
roro,ロロ
solvable,解決可能
blackfish,クロダイ
quonset,クォンセット
hatchbacks,ハッチバック
experimenters,実験者
flip-flopping,意見をコロコロ変える
handicapping,ハンディキャップ
desirability,望ましさ
carteret,カータレット
worthily,当然のことながら
sagittal,矢状面
ceremonious,儀式的な
self-possessed,落ち着いた
bahman,バフマン
chid,子供
domesday,ドゥームズデイ
non-functional,機能しない
flunkey,八方美人
snowdrop,スノードロップ
sickroom,病室
outgoings,支出
ocher,黄土
rationalizations,合理化
sell-off,売り払
silverberg,シルバーバーグ
cushioning,クッション性
gnp,gnp
humanitarians,人道主義者
ogg,ogg
tempter,誘惑者
alberts,アルバート
capsicum,トウガラシ
stepping-stone,踏み石
hoban,ホーバン
made-to-order,オーダーメイド
cpm,cpm
microseconds,マイクロ秒
materializes,具体化する
shamrocks,シャムロック
wolford,ウォルフォード
jacobus,ヤコブス
fazes,フェーズ
inu,犬
powerhouses,有力企業
feted,称賛された
jewishness,ユダヤ性
justicia,正義
nhk,NHK
mossman,モスマン
nominally,名目上
zigzags,ジグザグ
mechelen,メヘレン
msf,国境なき医師団
reentered,再進入
railwayman,鉄道員
beanies,ビーニー
deathwatch,デスウォッチ
yorke,ヨーク
spg,スプグ
divvied,分割
stevia,ステビア
agadir,アガディール
trai,列車
corea,韓国
lowrie,ローリー
moonshiner,密造酒業者
rosy-cheeked,バラ色の頬
kenworth,ケンワース
clampdown,取り締まり
languorous,けだるい
crackled,パチパチと音がした
phlebitis,静脈炎
osteoarthritis,変形性関節症
muniz,ムニズ
rubino,ルビーノ
scheduler,スケジューラ
timestamp,タイムスタンプ
callosum,脳梁
bedridden,寝たきり
cfr,cfr
hot-button,ホットボタン
pharm,薬
sarnia,サーニア
bole,ボウル
exothermic,発熱
south-southeast,南南東
mammograms,マンモグラフィー
forfend,防御する
maputo,マプト
galena,方鉛鉱
westie,ウェスティ
myelin,ミエリン
pollsters,世論調査員
changs,変更
manhater,男嫌い
beechwood,ブナ材
osh,オシュ
pepperdine,ペッパーダイン
holidaymakers,休暇客
pantoja,パントハ
penitents,懺悔者
ayden,エイデン
ritch,リッチ
sharp-eyed,鋭い目
naphthalene,ナフタレン
tinsmith,ブリキ職人
sadi,サディ
resp,レス
rectifier,整流器
giller,ギラー
plebeians,平民
dressing-gown,バスローブ
backstreets,裏通り
rhythmical,リズミカルな
oddness,奇妙さ
fingerless,指なし
nitpicking,揚げ足取り
phage,ファージ
premenstrual,月経前症候群
pre-set,プリセット
legerdemain,手品
krafft,クラフト
ejaculator,射精者
neman,ネマン
devastates,壊滅させる
ebro,エブロ
ampule,アンプル
retool,再編成
chamberlains,侍従長
unenviable,羨ましくない
mey,メイ
noisiest,最も騒がしい
yachtsman,ヨットマン
pan-hellenic,パンヘレニック
adroit,器用な
bucktoothed,出っ歯
vice-presidential,副大統領
zabaglione,ザバイオーネ
prate,おしゃべり
counteracting,対抗する
lengthens,長くなる
fla,フラ
auteuil,オートゥイユ
millikan,ミリカン
herbaceous,草本性の
dprk,北朝鮮
embalmers,遺体防腐処理業者
issuance,発行
franchisee,フランチャイズ加盟店
equivocation,曖昧な表現
auto-rickshaw,オートリキシャ
carbonation,炭酸
widdy,ウィディ
expansionist,拡張主義
aif,エイフ
oun,ウン
rocket-powered,ロケット推進
colonialists,植民地主義者
gowdy,ゴーディ
geophysicist,地球物理学者
bombe,ボンベ
midmorning,午前中
reaffirms,再確認する
poh,ポー
toiletry,トイレタリー
cutoffs,カットオフ
wive,妻
allemande,ドイツ
kuh,くっ
hyp,ヒプ
deeps,深淵
andong,安東
limbering,体をほぐす
loftier,より高尚な
espadrilles,エスパドリーユ
oxcart,牛車
grandaddy,おじいちゃん
hmos,hmos
mog,モグ
loudness,ラウドネス
warangal,ワランガル
hellbent,徹底的に
touts,客引き
appalachians,アパラチア山脈
twining,つる
undervalue,過小評価されている
ansar,アンサール
farrington,ファリントン
destructiveness,破壊性
knesset,クネセト
genuflect,ひざまずく
grebe,カイツブリ
nema,ネマ
indiscrete,区別のない
chuck-a-luck,チャック・ア・ラック
groundlings,グラウンドリングス
hore,ホア
soldiered,兵士として
estee,エスティ
undershirts,アンダーシャツ
yarmulkes,ヤムルケ
mula,ムラ
suny,太陽
fanzine,ファンジン
stickier,粘着性が高い
playfair,プレイフェア
cash-and-carry,現金払い・持ち帰り
phalange,指骨
drubbing,大敗
emptor,買い手
punchbowl,パンチボウル
etu,エトゥ
anglos,アングロサクソン
straight-out,ストレートに
thigpen,ティグペン
carn,カーン
stinginess,けちん坊
navigates,ナビゲートする
vukovar,ヴコヴァル
hypertrophy,肥大
changsha,長沙
abraded,擦り切れた
ennoble,高貴な
hudgens,ハジェンズ
gifu,岐阜
re-test,再検査
cowpokes,カウボーイ
evisceration,内臓摘出
desantis,デサンティス
boac,ボアック
dx,dx
foyt,フォイト
pskov,プスコフ
malodorous,悪臭を放つ
pushkar,プシュカル
kims,キムズ
borderland,国境地帯
plautus,プラウトゥス
brickle,ブリックル
sete,セテ
yerevan,エレバン
donnybrook,ドニーブルック
pattison,パティソン
rosier,バラ色の
parabellum,パラベラム
headdresses,頭飾り
deflation,デフレ
sported,着用
prize-giving,表彰式
ball-busting,ボールバッシング
entitlements,権利
shonen,少年
dogfighting,ドッグファイト
boilermakers,ボイラー製造工
fuel-efficient,燃費効率が良い
sintra,シントラ
blumenthal,ブルーメンタール
initialized,初期化済み
watermarks,透かし
peeples,ピープルズ
leven,レベン
expedience,便宜
archiving,アーカイブ
telegrapher,電信技師
dockworkers,港湾労働者
vocalization,発声
paducah,パデューカ
libidinous,性欲の強い
wale,クジラ
anguilla,ウナギ
materializing,具体化する
spreaders,散布機
beatlemania,ビートルマニア
remainders,残り
ascertaining,確認する
pentagrams,五芒星
caucuses,党員集会
sango,サンゴ
arpeggio,アルペジオ
scheffer,シェファー
palaeontologists,古生物学者
breanna,ブリアナ
colossally,途方もなく
cmb,cmb
exotics,エキゾチック
lesueur,レスーア
lumsden,ラムズデン
cladding,外装材
bramley,ブラムリー
gastroenterologist,消化器専門医
serums,血清
earth-shaking,地球を揺るがす
wap,ワップ
fertilisers,肥料
coste,コスト
nabors,ネイバーズ
berton,バートン
re-use,再利用
pupillary,瞳孔
csl,CSL
mult,マルチ
ten-point,10ポイント
recharges,充電
adjusters,査定人
impairs,損なう
beany,ビーニー
edmondson,エドモンドソン
ribeira,リベイラ
deutscher,ドイツ語
meigs,メイグス
newbold,ニューボールド
capstan,巻き上げ機
moga,モガ
doral,ドラル
conveyancing,不動産譲渡
all-expense,全額負担
festooned,飾り付けた
rechargeable,充電式
destino,目的地
hurr,うーん
imbecility,愚かさ
lenten,四旬節
reimann,ライマン
herning,ヘリング
widmer,ウィドマー
kenilworth,ケニルワース
sonderkommando,ゾンダーコマンド
fusilier,フュージリア兵
inimical,敵対的な
jalopies,ポンコツ車
dull-witted,頭の鈍い
callback,折り返し電話
guanajuato,グアナファト
grossness,グロテスクさ
piedras,ピエドラス
chiding,叱責
double-barreled,二連式
profundity,深遠さ
carrefour,カルフール
limpets,カサガイ
pha,ファ
trembler,震え
skinniest,最も痩せた
partings,別れ
plunderers,略奪者
velodrome,ベロドローム
reevaluation,再評価
ill-will,悪意
keelhaul,キールホール
enea,エネア
postnatal,生後
chairlift,チェアリフト
a-fib,心房細動
mockingbirds,マネシツグミ
bellew,ベリュー
logbooks,ログブック
persecutes,迫害する
hoag,ホーグ
camshaft,カムシャフト
slipway,船台
pocketbooks,ポケットブック
unsporting,スポーツマンシップに反する
sella,セラ
borek,ボレク
redemptive,救済的な
morison,モリソン
goodby,さようなら
licensee,ライセンシー
ansley,アンスリー
pepperidge,ペパリッジ
pugnacious,好戦的な
kiss-off,別れを告げる
vandalising,破壊行為
kraal,クラール
burnished,磨き上げられた
reawakening,再覚醒
lahood,ラフード
bootblack,ブーツブラック
dratted,ちくしょう
perspex,パーペックス
perseid,ペルセウス座
flournoy,フルノイ
morts,モーツ
stonecutter,石工
insulates,断熱する
interviewees,インタビュー対象者
boyden,ボーデン
gianluigi,ジャンルイージ
off-the-wall,型破りな
shive,ナイフ
chrono,クロノ
avellino,アヴェッリーノ
heightening,高める
irreverence,不敬
korps,軍団
grammer,文法
wakefulness,覚醒状態
transits,トランジット
air-condition,エアコン
recusing,忌避する
unbalance,不均衡
myocarditis,心筋炎
lockets,ロケット
free-thinking,自由な発想
jackhammers,削岩機
dovecote,鳩小屋
hopwood,ホップウッド
giang,ジャン
lingonberry,リンゴンベリー
andresen,アンドレセン
free-throw,フリースロー
karis,カリス
almond-shaped,アーモンド形
snake-like,ヘビのような
ahs,ああ
mid-june,6月中旬
manstein,マンシュタイン
murs,ムルス
immunoglobulin,免疫グロブリン
marcellin,マルセリン
chickering,ひよこ
aau,オー
patera,パテラ
leb,レブ
sayles,セイルズ
hase,ハセ
fissile,分裂性
roundness,丸み
antifungal,抗真菌剤
denatured,変性
hirsute,毛深い
stringers,ストリンガー
corpulent,肥満体
recommit,再コミットメント
soothsayers,占い師
merchantman,商船
unacknowledged,認められていない
seabass,シーバス
dwarfish,矮小な
brutalizing,残虐な
extortionate,法外な
reichert,ライヒェルト
exultant,歓喜に満ちた
abbotts,修道院長
magistracy,治安判事
hade,ハデ
floodlight,投光器
timelessness,時代を超越した
godunov,ゴドゥノフ
freedmen,解放奴隷
conditionally,条件付き
nepean,ネピアン
namibian,ナミビア
shortwave,短波
tryon,試着
offhand,さりげなく
preternatural,超自然的
short-circuiting,短絡
svp,svp
shirkers,怠け者
fea,恐怖
guider,ガイド
furth,さらに
speedsters,スピードスター
pleasantville,プレザントビル
nebs,ネブス
cost-benefit,費用対効果
parliamentarians,国会議員
firestarter,火起こし
slickest,最も滑らかな
marxist-leninist,マルクス・レーニン主義
safford,サフォード
houle,ホール
addi,アディ
rums,ラム酒
adda,アッダ
oratorio,オラトリオ
subcontracting,下請け
three-wheeled,三輪
eteocles,エテオクレス
herat,ヘラ
first-years,1年生
blow-dried,ブロードライ
assessors,評価者
jep,ジェップ
pauling,ポーリング
patt,パット
leafing,葉
high-hat,ハイハット
pocatello,ポカテロ
carbon-14,炭素14
eratosthenes,エラトステネス
samsun,サムスン
honorarium,謝礼
toadies,おべっか使い
bedspreads,ベッドカバー
b-i-n-g-o,ビンゴ
large-hearted,心の広い
word-of-mouth,口コミ
big-band,ビッグバンド
respondents,回答者
impermeable,不浸透性
aurangzeb,アウラングゼーブ
heavers,重機
parisien,パリジャン
wun,ワン
abramovich,アブラモビッチ
pleyel,プレイエル
plurality,複数
repackaged,再パッケージ化
plame,プレーム
alfano,アルファノ
renewables,再生可能エネルギー
michell,ミシェル
coincidently,偶然にも
pinwheels,風車
brampton,ブランプトン
compacts,コンパクト
wherefores,その理由
sambas,サンバ
pathologies,病理
checkins,チェックイン
forewarn,事前に警告する
metamorphoses,変態
comrades-in-arms,戦友たち
lawmaker,議員
zepp,ゼップ
rebelliousness,反抗心
gana,ガナ
joffe,ジョフィ
shopgirl,ショップガール
proudfoot,誇り高き足
gossett,ゴセット
anodyne,鎮痛剤
zydeco,ザイデコ
ting-a-ling,チリンチリン
asd,asd
scaphoid,舟状骨
dingdongs,ディンドン
rapprochement,和解
tech-savvy,テクノロジーに精通している
stockinged,ストッキング
bulgar,ブルガリア
stabled,厩舎
pollster,世論調査員
deactivates,無効化する
tuchman,タッチマン
double-o,ダブルオー
niemann,ニーマン
inconveniently,不便なことに
menashe,メナシェ
aal,アール
delectation,喜び
bedtimes,就寝時間
leadin,導入
multibillion,数十億ドル
gadgetry,小道具
boreal,北方林
peaty,泥炭質の
hoopoe,ヤツガシラ
weiser,ヴァイザー
mainlining,メインライニング
gunmetal,ガンメタル
dulcimer,ダルシマー
fleecy,フリース素材
rickert,リッカート
forerunners,先駆者
beecroft,ビークロフト
belatedly,遅ればせながら
geode,晶洞
walz,ワルツ
internationalism,国際主義
subjection,服従
trainor,トレーナー
nevil,ネビル
ejaculates,射精する
agribusiness,農業ビジネス
enfin,ついに
galadriel,ガラドリエル
sportsmanlike,スポーツマンシップに溢れた
spillway,放水路
misidentified,誤認
jaxon,ジャクソン
pixilated,ピクセル化された
drag-out,引き延ばし
grommet,ハトメ
equilateral,正三角形
rauschenberg,ラウシェンバーグ
arango,アランゴ
fader,フェーダー
parapsychologist,超心理学者
wegman,ウェグマン
overreacts,過剰反応する
biodiesel,バイオディーゼル
venner,ヴェナー
yardbirds,ヤードバーズ
hesperus,ヘスペラス
ahe,あー
mcclanahan,マクラナハン
csa,CSA
assesses,評価する
guar,グアー
abstracted,抽象化された
immolate,焼身自殺する
prenatal,出生前
sufis,スーフィー教徒
advisedly,意図的に
qualm,不安
paralyses,麻痺
disbeliever,不信心者
single-cell,単一細胞
hogtied,手足を縛られた
litigators,訴訟弁護士
balanchine,バランシン
polson,ポルソン
patenting,特許取得
brillant,素晴らしい
jernigan,ジャーニガン
quetta,クエッタ
bone-setter,骨接ぎ師
groundsman,グラウンドキーパー
frittering,無駄遣い
sarmiento,サルミエント
sasso,サッソ
tamm,タム
luddites,ラッダイト運動
milliliter,ミリリットル
saleable,販売可能
rottenest,最も腐った
brigantine,ブリガンティン
blois,ブロワ
electioneering,選挙運動
nilson,ニルソン
vfx,VFX
towelettes,ウェットティッシュ
pleura,胸膜
warehousing,倉庫保管
winemakers,ワインメーカー
impugning,非難する
counterinsurgency,対反乱作戦
soulmate,ソウルメイト
peccadilloes,軽微な過ち
jahn,ヤーン
perjuring,偽証
merseyside,マージーサイド
scrim,スクリム
malayan,マレー
forecasters,予報士
lir,リル
anther,葯
occassion,機会
undercuts,アンダーカット
faustian,ファウスト的
no-frills,飾り気のない
fashioning,成形
lightspeed,光速
mra,mra
intersex,インターセックス
tattooist,タトゥーアーティスト
hager,ヘイガー
checklists,チェックリスト
haemophilia,血友病
lock-on,ロックオン
four-dimensional,四次元
god-king,神王
nominates,指名する
ort,港
sedge,スゲ
bendigo,ベンディゴ
yd,ヤード
swayne,スウェイン
outtake,未公開シーン
